"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Lisboa Opulent Tinto","","","1805867",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849","","","","","","12 Knights","Wine","","johnsonbrothers","Milton's Distributing Co Inc","Portugal"
"Revolutionary Red Blend Limited Edition","","","1419605",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552588/7d18acf8100ae77bb9343.png?1676698765","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Cabernet Sauvignon Double Black Bourbon Barrel Aged Lodi Limited Edition","","","1689159",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3251705/acccddaf6217e29ccc7b5.png?1723150710","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Cabernet Sauvignon Double Black Lodi Limited Edition","","","1829968",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3006594/bc1448456e561d074b366.png?1709239186","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Chardonnay Buttery 1924 Double Gold Limited Edition","","","1079298",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2389734/9c87ccda4ba4a60bac6fe.png?1658144877","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Double Black Red Wine Blend Lodi Limited Edition","","","1233445",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252851/ce92764f1dc43bce755ac.png?1650349818","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Limited Edition 1924 Whiskey Barrel Aged Red Blend","","","1537177",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3153725/c522826f491c0ba77b2e8.png?1717087279","","","","","","1924 Wines","Wine","","johnsonbrothers","Delicato Family Vineyards","United States"
"Gem of Kentucky Straight Bourbon Whiskey","","","1431369",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series American Oak Kentucky Straight Bourbon Whiskey","","","1562461",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series French Oak Kentucky Straight Bourbon Whiskey","","","1686897",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Kiawah Blend Kentucky Straight Bourbon Whiskey","","","1856026",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Phoenix Blend Kentucky Straight Bourbon Whiskey","","","1017537",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2415745/9697f6a6c96db73b62f33.png?1660214578","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Tribute Blend Kentucky Straight Bourbon Whiskey","","","1251426",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2661090/37b6514f35e1a2e2c350e.png?1686837519","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Shiraz Barossa Valley","","","1581768",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2782804/920caf494462436d3ef08.png?1696332934","","","","","","3 Rings","Wine","","johnsonbrothers","Quintessential, Llc","Australia"
"Cabernet Sauvignon Bourbon Barrel Aged Small Batch Paso Robles","","","1677159",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253310/4bc00d556e92e50fbd855.png?1650370448","","","","","","5th And Bowie","Wine","","johnsonbrothers","Milton's Distributing Co Inc","United States"
"Zinfandel","","","1518951",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1755843/9a079c3bfc514a7f05eb0.png?1606881997","","","","","","A. Rafanelli Vineyard","Wine","","johnsonbrothers","A Rafanelli","United States"
"Acclaimed Red Blend Napa Valley","","","1551595",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2149824/7d5bb8fbc4c998026bf1c.png?1641554185","","","","","","Acclaimed","Wine","","johnsonbrothers","Bracus Imports LLC","United States"
"Cabernet Sauvignon Rutherford","","","1236477",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1319844/4999e660ea794933dae67.png?1571914931","","","","","","Acclaimed","Wine","","johnsonbrothers","Bracus Imports LLC","United States"
"Natural Spring Water","","","1814181",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
