name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Manchuela Bobal,"(Cert. Organic) 100% Bobal. Cherry red with violet undertones. Varietal notes of wild mountain herbs, black and red fruit, a touch of spice and balsamic; minerals predominate. Fresh, fleshy and intense. The finish is consistent and long, leaving a refreshing acidity. ",,1724881,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2443171/83e49a457ff7143892577.png?1663219339,,https://johnsonbrothers.storefronts.site/p/H4O6T,,,,11 Pinos,Wine,Still,Red,,johnson brothers,The Sorting Table,Spain,Alcohol,Wine,Still,Red
Lisboa Opulent Tinto,"Intense Ruby color. Complex and Opulent in the nose, with fruity (ripe red Fruits) And Spicy Aromas. Elegant, with a velvety texture and very well balanced this is a round bodied wine with smooth tannins long and pleasant finish.",,1805867,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849,,https://johnsonbrothers.storefronts.site/p/9U5RP,,,,12 Knights,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,Portugal,Alcohol,Wine,Still,Red
American Single Malt Whiskey,"18th Street Distillery from United States, provided by 18th Street Distillery. Enjoy the unique taste and quality.",,1339027,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248054/5b1b40980251af633b2b6.png?1649658514,,https://johnsonbrothers.storefronts.site/p/FZSH0,,,,18th Street Distillery,Spirit,Whiskey,Other,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Whiskey,Other
Bourbon Whiskey 110 Proof,"Appearance : Dark charred caramel.

Aromas : Bold & Assertive, Nutty Notes, Cereal Notes, Sweet.",,1382747,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279509/d370899203450fde707a6.png?1651530687,,https://johnsonbrothers.storefronts.site/p/C02GC,,,,18th Street Distillery,Spirit,Whiskey,Bourbon,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Whiskey,Bourbon
Gin,Citrus and spice forward Gin. Distilled with at least ten different botanicals. Light and refreshing.,,1026769,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/463418/01cd9bcc541a5cafb6cab.png?1540214731,,https://johnsonbrothers.storefronts.site/p/A3S8A,,,,18th Street Distillery,Spirit,Gin,Specialty,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Gin,Specialty
Rum,"Appearance : Bright.

Aromas : Perfectly balanced tropical notes with subtle hints of sugar cane.",,1458133,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279476/548c5f8e6e7744375aff2.png?1651528582,,https://johnsonbrothers.storefronts.site/p/H8NU2,,,,18th Street Distillery,Spirit,Rum,Rum,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Rum,Rum
Rye Whiskey 100,"Our signature 90 proof Rye Whiskey, but with a touch more bite to put some hair on your chest. Perfect proof for mixing in cocktails without being lost. Tasting notes: baking spices, caramelized sugar, campfire smoke, black pepper.",,1931146,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/488325/bef8dc669650fecefa3cc.png?1541110322,,https://johnsonbrothers.storefronts.site/p/ORLIU,,,,18th Street Distillery,Spirit,Whiskey,Rye,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Whiskey,Rye
Small Batch Four Grain Bourbon Whiskey,"18th Street Distillery from United States, provided by 18th Street Distillery. Enjoy the unique taste and quality.",,1871650,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2795146/3ec8fcd67a85c74d84ae0.png?1697112554,,https://johnsonbrothers.storefronts.site/p/FCVHY,,,,18th Street Distillery,Spirit,Whiskey,Bourbon,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Whiskey,Bourbon
Vodka,"Aromas : Rich, full-bodied and complex, followed by a hint of sweetness.",,1192122,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1065770/868832395808b71d938b5.png?1563185665,,https://johnsonbrothers.storefronts.site/p/WLVP8,,,,18th Street Distillery,Spirit,Vodka,Vodka,,johnson brothers,18th Street Distillery,United States,Alcohol,Spirit,Vodka,Vodka
Blueberry Cosmic Crisp Cider,"Crafted with Northwest blueberries and Cosmic Crisp apples, these rockin’ electric blues will transport you straight across the galaxy.",,1166723,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252889/2e48045956c196fe2b0e5.png?1650349854,,https://johnsonbrothers.storefronts.site/p/48V86,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
