name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Cabernet Sauvignon Paso Robles,"100 Nails Ranch Cabernet Sauvignon exudes layered notes of violet, sage, blueberry, blackberry and vanilla. Firm acidity with robust tannins brings a structured texture that builds to a long, concentrated finish.",,1152204,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874,,https://johnsonbrothers.storefronts.site/p/0QZ4B,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Chardonnay Sonoma County,"Hand sorted grapes are sourced from prime vineyards within the Russian River and Alexander Valleys and gently whole cluster pressed. Aged nine months in 100% French oak. Exudes a lemon citrus core with pear and crisp apple matched with an integrated hint of brioche and toast.

With a focused purity in acidity and a rounded mouthfeel, the finish is elegant and lingering.",,1983146,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382,,https://johnsonbrothers.storefronts.site/p/GW8DE,,,,100 Nails Ranch,Wine,Still,White,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,White
Pinot Noir Central Coast,"100 Nails Ranch from United States, provided by 1821 Fine Wine & Spirits. Enjoy the unique taste and quality.",,1478092,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391,,https://johnsonbrothers.storefronts.site/p/SMQ4R,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Bourbon Barrel-Aged Gold Rush Red California,"The California Gold Rush was a period of courage, bravado and curiosity. It was with these characteristics in mind that we crafted Gold Rush Red. Grapes chosen from the golden hills and valleys of California were blended to create this bold, adventurous testament to that intrepid spirit.",,1862735,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097,,https://johnsonbrothers.storefronts.site/p/RM4UZ,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Bourbon Barrel-Aged California,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1659371,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415,,https://johnsonbrothers.storefronts.site/p/DOAO9,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Chardonnay American Barrel Aged,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1118274,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732,,https://johnsonbrothers.storefronts.site/p/IXXOU,,,,1000 Stories Wines,Wine,Still,White,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,White
Pinot Noir American Barrel Aged California,"Appearance & color : Brilliant, deep garnet red color with slight purple tint.
Aroma : Raspberry, cherry, pomegranate, violet, rose petal, mushroom.
Palate : Medium-bodied with rich mid-palate and soft tannin structure.",,1392203,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253,,https://johnsonbrothers.storefronts.site/p/4LXNA,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Zinfandel Bourbon Barrel Aged,"The wine has a deep, rich purple color. An intense raspberry fruit is on the nose, with black pepper spice and a touch of cloves and dried herbs. The palate is full with ripe tannins, big black and red fruits, followed by an array of spices.",,1569408,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418303/3e645083fcb2d70d877d8.png?1538449374,,https://johnsonbrothers.storefronts.site/p/Z5LXN,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvingon Napa Valley,"Enticing aromas of cranberries and plum continue through to the palate and are balanced by dusty spices and a touch of incense. Dense and rich, this Napa Valley Cabernet Sauvignon has concentrated blueberry and strawberry flavors with an intermingling of caramel. Silky, fine-grained tannins lead to a long and sumptuous finish.",,1661418,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1837513/9064b002e0db77c4e8dfa.png?1616735303,,https://johnsonbrothers.storefronts.site/p/1SMMK,,,,1881 Napa,Wine,Still,Red,,johnson brothers,Boisset America,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Limited Edition South Eastern Australia (Frankenstein Label),"19 Crimes from Australia, provided by Treasury Wine Estates. Enjoy the unique taste and quality.",,1069433,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2648366/6109b2b18085dfd1d1cbe.png?1686289049,,https://johnsonbrothers.storefronts.site/p/CWERY,,,,19 Crimes,Wine,Still,Red,,johnson brothers,Treasury Wine Estates,Australia,Alcohol,Wine,Still,Red
Cabernet Sauvignon South Eastern Australia,"Firm and full on the palate with flavors of red currants, dark cherries and chocolate; complemented with vanilla.",,1088559,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248078/a91a5eed08ebd315c8834.png?1649658560,,https://johnsonbrothers.storefronts.site/p/224EG,,,,19 Crimes,Wine,Still,Red,,johnson brothers,Treasury Wine Estates,Australia,Alcohol,Wine,Still,Red
Cali Cocktails Long Beach Lemonade,"19 Crimes from United States, provided by Treasury Wine Estates. Enjoy the unique taste and quality.",,1393092,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2758907/f6931c28e9752c28b6b62.png?1694420309,,https://johnsonbrothers.storefronts.site/p/H5V6E,,,,19 Crimes,Wine,Flavored/Fruit,Specialty,,johnson brothers,Treasury Wine Estates,United States,Alcohol,Wine,Flavored/Fruit,Specialty
