"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Cabernet Sauvignon Paso Robles","","","1152204",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Chardonnay Sonoma County","","","1983146",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Pinot Noir Central Coast","","","1478092",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Bourbon Barrel-Aged Gold Rush Red California","","","1862735",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Cabernet Sauvignon Bourbon Barrel-Aged California","","","1659371",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Chardonnay American Barrel Aged","","","1118274",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Pinot Noir American Barrel Aged California","","","1392203",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Zinfandel Bourbon Barrel Aged","","","1569408",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418303/3e645083fcb2d70d877d8.png?1538449374","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Cabernet Sauvingon Napa Valley","","","1661418",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1837513/9064b002e0db77c4e8dfa.png?1616735303","","","","","","1881 Napa","Wine","","johnsonbrothers","Boisset America","United States"
"Cabernet Sauvignon Limited Edition South Eastern Australia (Frankenstein Label)","","","1069433",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2648366/6109b2b18085dfd1d1cbe.png?1686289049","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Cabernet Sauvignon South Eastern Australia","","","1088559",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248078/a91a5eed08ebd315c8834.png?1649658560","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Cali Cocktails Long Beach Lemonade","","","1393092",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2758907/f6931c28e9752c28b6b62.png?1694420309","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Cali Cocktails Smokin' Strawberry Margarita","","","1738962",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2761375/5f26289f60a9fd0681acc.png?1694516838","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Cali Smooth Silky Red Blend","","","1985474",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3117891/959f11909768c748086a2.png?1715228459","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Chard Martha's California","","","1140198",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246075/8b93d2e275f1fb9ae7689.png?1649325030","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Chard Martha's Lighter California","","","1974539",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2488053/e65afef411a0139dca7c3.png?1669114001","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Hard Chard South Eastern Australia","","","1185086",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248196/9ba9044a3d3c5694d9dc0.png?1649663374","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Pinot Noir The Punishment South Eastern Australia","","","1235253",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248214/c08f4343433e38bb1e297.png?1649663396","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Red Wine South Eastern Australia","","","1340211",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552591/2bc6263aa957a4e958e2f.png?1676698772","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Sauvignon Block South Eastern Australia","","","1123308",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248359/1d84dae77fae40fe8e790.png?1649666833","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Shiraz South Eastern Australia","","","1601991",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248380/2c07c186460caba0ef7b4.png?1649666952","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","Australia"
"Snoop Dogg Cali Gold California","","","1652149",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2474093/829c009a959dbfd5a981b.png?1666957323","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Snoop Dogg Cali Red California","","","1518968",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2552230/7d1bab5a4e75510835f96.png?1676636498","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Snoop Dogg Cali Rosé California","","","1195719",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248393/64707c2a56889ed83ddd4.png?1649666979","","","","","","19 Crimes","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
