name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1734981,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1455876,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
Añejo Tequila 100% de Agave,"It is double distilled for a smoother, cleaner flavor and aged in French and American oak barrels for more than a year. The result is a rich, luxurious Tequila with notes of toasted oak and nutty toffee followed by a long peppery spice finish. ",,1497778,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727,,https://johnsonbrothers.storefronts.site/p/45FKJ,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1525066,6,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1525623,6,1.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1766512,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1654516,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1835537,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Blanco Tequila 100% de Agave,"The best-selling 100% agave premium tequila, 1800® Blanco follows the original formula created in the year 1800. 1800 Blanco is crystal clear with blond highlights. Its aroma is soft, sweet, floral with fruit, spice, black peppercorns and agave notes. The smooth, clean and balanced flavor has hints of sweet prune and roasted pepper. 1800 Blanco has a medium finish with fruity pepper fade. Best served straight, chilled or on the rocks. Garnish with a slice of lime.",,1633686,60,50.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516,,https://johnsonbrothers.storefronts.site/p/PVSPQ,,,,1800 Tequila,Spirit,Tequila,Blanco,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Blanco
Cristalino Añejo Tequila 100% de Agave,"An ultra-premium clear Añejo Tequila finished in port wine casks. 1800® Cristalino is a beautiful contradiction. It is aged in French and American oak barrels, married together, then rested in port wine casks. Finally, it is meticulously filtered to crystal clear clarity while retaining the depth and complexity of Añejo along with the silky smoothness of a Claro.",,1308702,6,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1595710/00ac54bfb91a78e57850e.png?1616728740,,https://johnsonbrothers.storefronts.site/p/9UDGH,,,,1800 Tequila,Spirit,Tequila,Añejo,,johnson brothers,Proximo Spirits,Mexico,Alcohol,Spirit,Tequila,Añejo
