name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Moscato + Peach,"Bold, Moscato Sparkling Arione + peach pulp from Italy
Fragrant, with notes of peach and light citrus sensations.",,1862174,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2245767/30f4799e8d3450bbcdf32.png?1649314286,,https://johnsonbrothers.storefronts.site/p/5BR2P,,,,(M)2ama,Wine,Flavored/Fruit,Fruit,,johnson brothers,Misa Imports Inc,Italy,Alcohol,Wine,Flavored/Fruit,Fruit
Lisboa Opulent Tinto,"Intense Ruby color. Complex and Opulent in the nose, with fruity (ripe red Fruits) And Spicy Aromas. Elegant, with a velvety texture and very well balanced this is a round bodied wine with smooth tannins long and pleasant finish.",,1805867,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849,,https://johnsonbrothers.storefronts.site/p/9U5RP,,,,12 Knights,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,Portugal,Alcohol,Wine,Still,Red
Barrel Aged Bleuveré Cider,"The vibrant blend is fermented and aged in toasted oak barrels with apple eau de vie, resulting in a rich, fruit-forward tribute to our traditional Pommeau with a twist. Swirling aromatics of fruit, spice, earth and wood are infused with a kiss of lavender, while the taste of ripe berries completes the profile.",,1760254,6,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2433592/91edb0830883708b62b57.png?1662034554,,https://johnsonbrothers.storefronts.site/p/AXKNY,,,,2 Towns Ciderhouse,Cider,Cider,Cider,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Cider,Cider
Blueberry Cosmic Crisp Cider,"Crafted with Northwest blueberries and Cosmic Crisp apples, these rockin’ electric blues will transport you straight across the galaxy.",,1166723,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252889/2e48045956c196fe2b0e5.png?1650349854,,https://johnsonbrothers.storefronts.site/p/48V86,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
Brightcider Hard Apple Cider,"Radiant and balanced, BrightCider shines with Newtown Pippin apples, the pioneer variety that defined the cider palate of the Northwest.",,1305040,1,15.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861,,https://johnsonbrothers.storefronts.site/p/K9Y7W,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
Brightcider Hard Apple Cider,"Radiant and balanced, BrightCider shines with Newtown Pippin apples, the pioneer variety that defined the cider palate of the Northwest.",,1116399,1,5.16,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861,,https://johnsonbrothers.storefronts.site/p/K9Y7W,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
Brightcider Hard Apple Cider,"Radiant and balanced, BrightCider shines with Newtown Pippin apples, the pioneer variety that defined the cider palate of the Northwest.",,1084211,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861,,https://johnsonbrothers.storefronts.site/p/K9Y7W,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
Cosmic Crisp Imperial Cider,"Friends from two nearby towns banded together on a mission to bring cider back to the people -true craft cider made using whole fruit, and no shortcuts.",,1337956,1,15.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859,,https://johnsonbrothers.storefronts.site/p/7DFH5,,,,2 Towns Ciderhouse,Cider,Cider,Cider,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Cider,Cider
Cosmic Crisp Imperial Cider,"Friends from two nearby towns banded together on a mission to bring cider back to the people -true craft cider made using whole fruit, and no shortcuts.",,1665222,1,5.16,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859,,https://johnsonbrothers.storefronts.site/p/7DFH5,,,,2 Towns Ciderhouse,Cider,Cider,Cider,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Cider,Cider
Cosmic Crisp Imperial Cider,"Friends from two nearby towns banded together on a mission to bring cider back to the people -true craft cider made using whole fruit, and no shortcuts.",,1768416,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859,,https://johnsonbrothers.storefronts.site/p/7DFH5,,,,2 Towns Ciderhouse,Cider,Cider,Cider,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Cider,Cider
Crimson Bliss Fruit Cider,"2 Towns Ciderhouse from United States, provided by 2 Towns Ciderhouse. Enjoy the unique taste and quality.",,1487278,24,12.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2430214/1ea4551187fc558db0a98.png?1661772033,,https://johnsonbrothers.storefronts.site/p/1UL93,,,,2 Towns Ciderhouse,Cider,Sparkling,Sparkling,,johnson brothers,2 Towns Ciderhouse,United States,Alcohol,Cider,Sparkling,Sparkling
