"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Moscato + Peach","","","1862174",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2245767/30f4799e8d3450bbcdf32.png?1649314286","","","","","","(M)2ama","Wine","","johnsonbrothers","Misa Imports Inc","Italy"
"Lisboa Opulent Tinto","","","1805867",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849","","","","","","12 Knights","Wine","","johnsonbrothers","Milton's Distributing Co Inc","Portugal"
"Barrel Aged Bleuveré Cider","","","1760254",6,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2433592/91edb0830883708b62b57.png?1662034554","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Blueberry Cosmic Crisp Cider","","","1166723",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252889/2e48045956c196fe2b0e5.png?1650349854","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Brightcider Hard Apple Cider","","","1305040",1,15.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Brightcider Hard Apple Cider","","","1116399",1,5.16,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Brightcider Hard Apple Cider","","","1084211",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Cosmic Crisp Imperial Cider","","","1337956",1,15.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Cosmic Crisp Imperial Cider","","","1665222",1,5.16,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Cosmic Crisp Imperial Cider","","","1768416",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252892/fd39c3b9e11cb86df28f6.png?1650349859","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
