"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Nemea Monopati","","","1498737",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259521/e38c99093ba4c949ecfe8.png?1650628652","","","","","","Aivalis","Wine","","johnsonbrothers","Dionysos Imports Inc","Greece"
"Corinthia Dry Red Wine","","","1865101",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262441/dbd43882b7ef14b927b22.png?1650886953","","","","","","Apelia","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Roditis Dry Rosé Wine","","","1860180",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262436/98489c2eed9f5c201e5ff.png?1650886946","","","","","","Apelia","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Ouzo Aphrodite Liqueur","","","1863844",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2285051/f8a4129d0124245b8f376.png?1651822607","","","","","","Barbayanni","Spirit","","johnsonbrothers","Prestige Beverage Group","Greece"
"Ouzo Blue","","","1843601",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2285056/b349e4062e38855d9bec6.png?1651822623","","","","","","Barbayanni","Spirit","","johnsonbrothers","Prestige Beverage Group","Greece"
"Red Wine Mendoza","","","1749575",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2318481/51e9f1f27a628bf0a691b.png?1654159303","","","","","","Broke Ass","Wine","","johnsonbrothers","Prestige Beverage Group","Argentina"
"Côtes de Provence Rosé","","","1540921",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2334934/174cb78e46c0d4446b761.png?1655104736","","","","","","Champs de Provence","Wine","","johnsonbrothers","Prestige Beverage Group","France"
"Cabernet Sauvignon Mendoza","","","1298861",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2222117/a4878db9d9610f284d41c.png?1647265032","","","","","","Conquista","Wine","","johnsonbrothers","Prestige Beverage Group","Argentina"
"Malbec Mendoza","","","1561790",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2354753/d711fd3939b3e2bd08186.png?1655887422","","","","","","Conquista","Wine","","johnsonbrothers","Prestige Beverage Group","Argentina"
"Malbec Oak Cask Mendoza","","","1369019",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2222106/9aa74b1d7af4da458e480.png?1647265024","","","","","","Conquista","Wine","","johnsonbrothers","Prestige Beverage Group","Argentina"
"Special V Cognac","","","1832938",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361021/8c0adbeaa8b025b820e74.png?1656337170","","","","","","Davidoff Cognac","Spirit","","johnsonbrothers","Prestige Beverage Group","France"
"Special V Cognac","","","1125371",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361021/8c0adbeaa8b025b820e74.png?1656337170","","","","","","Davidoff Cognac","Spirit","","johnsonbrothers","Prestige Beverage Group","France"
"VSOP Cognac","","","1101658",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/743938/6cff603867678a81d3813.png?1550006296","","","","","","Davidoff Cognac","Spirit","","johnsonbrothers","Prestige Beverage Group","France"
"VSOP Cognac","","","1459891",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/743938/6cff603867678a81d3813.png?1550006296","","","","","","Davidoff Cognac","Spirit","","johnsonbrothers","Prestige Beverage Group","France"
"Muscat Tsipouro Of Tirnavos Grape Marc Brandy","","","1427809",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361164/b9a84b5a68c3ba32e4ea7.png?1656338231","","","","","","Dekaraki","Spirit","","johnsonbrothers","Prestige Beverage Group","Greece"
"10 Year Old Methexis Cigar Barrel Aged Mature Grape Brandy","","","1985566",3,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367679/04917fd2da233bc0d9dc1.png?1656596688","","","","","","Domaine Costa Lazaridi","Spirit","","johnsonbrothers","Domaine Costa Lazaridi SA","Greece"
