name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Moscato + Peach,"Bold, Moscato Sparkling Arione + peach pulp from Italy
Fragrant, with notes of peach and light citrus sensations.",,1862174,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2245767/30f4799e8d3450bbcdf32.png?1649314286,,https://johnsonbrothers.storefronts.site/p/5BR2P,,,,(M)2ama,Wine,Flavored/Fruit,Fruit,,johnson brothers,Misa Imports Inc,Italy,Alcohol,Wine,Flavored/Fruit,Fruit
Chardonnay Central Coast,"Our Chardonnay is a rich and elegant wine with decadent layers of butter, cream, bright citrus and vanilla. A mild summer and a dry, temperate fall combined with light coastal winds produced fruit full of flavor.",,1587990,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2280571/4b17d52e9232c9fd63c15.png?1651610256,,https://johnsonbrothers.storefronts.site/p/0D3Q0,,,,10 Span Vineyards,Wine,Still,White,,johnson brothers,The Wine Group,United States,Alcohol,Wine,Still,White
Pinot Noir Central Coast,"The warm days and cool nights of California’s Central Coast provide optimal growing conditions to produce complex, sun-drenched fruit for our Pinot Noir. This wine offers a heady aroma of cherries that carries through to the palate, then opens up to a touch of red currants and a hint of spice.",,1949152,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246412/dcc031a0c002bfdfe8b89.png?1649337778,,https://johnsonbrothers.storefronts.site/p/P1ODZ,,,,10 Span Vineyards,Wine,Still,Red,,johnson brothers,The Wine Group,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Paso Robles,"100 Nails Ranch Cabernet Sauvignon exudes layered notes of violet, sage, blueberry, blackberry and vanilla. Firm acidity with robust tannins brings a structured texture that builds to a long, concentrated finish.",,1152204,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874,,https://johnsonbrothers.storefronts.site/p/0QZ4B,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Chardonnay Sonoma County,"Hand sorted grapes are sourced from prime vineyards within the Russian River and Alexander Valleys and gently whole cluster pressed. Aged nine months in 100% French oak. Exudes a lemon citrus core with pear and crisp apple matched with an integrated hint of brioche and toast.

With a focused purity in acidity and a rounded mouthfeel, the finish is elegant and lingering.",,1983146,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382,,https://johnsonbrothers.storefronts.site/p/GW8DE,,,,100 Nails Ranch,Wine,Still,White,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,White
Pinot Noir Central Coast,"100 Nails Ranch from United States, provided by 1821 Fine Wine & Spirits. Enjoy the unique taste and quality.",,1478092,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391,,https://johnsonbrothers.storefronts.site/p/SMQ4R,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Bourbon Barrel-Aged Gold Rush Red California,"The California Gold Rush was a period of courage, bravado and curiosity. It was with these characteristics in mind that we crafted Gold Rush Red. Grapes chosen from the golden hills and valleys of California were blended to create this bold, adventurous testament to that intrepid spirit.",,1862735,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097,,https://johnsonbrothers.storefronts.site/p/RM4UZ,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Bourbon Barrel-Aged California,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1659371,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415,,https://johnsonbrothers.storefronts.site/p/DOAO9,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Chardonnay American Barrel Aged,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1118274,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732,,https://johnsonbrothers.storefronts.site/p/IXXOU,,,,1000 Stories Wines,Wine,Still,White,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,White
Pinot Noir American Barrel Aged California,"Appearance & color : Brilliant, deep garnet red color with slight purple tint.
Aroma : Raspberry, cherry, pomegranate, violet, rose petal, mushroom.
Palate : Medium-bodied with rich mid-palate and soft tannin structure.",,1392203,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253,,https://johnsonbrothers.storefronts.site/p/4LXNA,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Zinfandel Bourbon Barrel Aged,"The wine has a deep, rich purple color. An intense raspberry fruit is on the nose, with black pepper spice and a touch of cloves and dried herbs. The palate is full with ripe tannins, big black and red fruits, followed by an array of spices.",,1569408,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418303/3e645083fcb2d70d877d8.png?1538449374,,https://johnsonbrothers.storefronts.site/p/Z5LXN,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
