"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Moscato + Peach","","","1862174",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2245767/30f4799e8d3450bbcdf32.png?1649314286","","","","","","(M)2ama","Wine","","johnsonbrothers","Misa Imports Inc","Italy"
"Chardonnay Central Coast","","","1587990",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2280571/4b17d52e9232c9fd63c15.png?1651610256","","","","","","10 Span Vineyards","Wine","","johnsonbrothers","The Wine Group","United States"
"Pinot Noir Central Coast","","","1949152",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246412/dcc031a0c002bfdfe8b89.png?1649337778","","","","","","10 Span Vineyards","Wine","","johnsonbrothers","The Wine Group","United States"
"Cabernet Sauvignon Paso Robles","","","1152204",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Chardonnay Sonoma County","","","1983146",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Pinot Noir Central Coast","","","1478092",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Bourbon Barrel-Aged Gold Rush Red California","","","1862735",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Cabernet Sauvignon Bourbon Barrel-Aged California","","","1659371",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Chardonnay American Barrel Aged","","","1118274",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Pinot Noir American Barrel Aged California","","","1392203",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
