name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Bourbon Barrel-Aged Gold Rush Red California,"The California Gold Rush was a period of courage, bravado and curiosity. It was with these characteristics in mind that we crafted Gold Rush Red. Grapes chosen from the golden hills and valleys of California were blended to create this bold, adventurous testament to that intrepid spirit.",,1862735,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097,,https://johnsonbrothers.storefronts.site/p/RM4UZ,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Bourbon Barrel-Aged California,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1659371,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415,,https://johnsonbrothers.storefronts.site/p/DOAO9,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Chardonnay American Barrel Aged,"1000 Stories Wines from United States, provided by Fetzer Vineyards. Enjoy the unique taste and quality.",,1118274,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732,,https://johnsonbrothers.storefronts.site/p/IXXOU,,,,1000 Stories Wines,Wine,Still,White,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,White
Pinot Noir American Barrel Aged California,"Appearance & color : Brilliant, deep garnet red color with slight purple tint.
Aroma : Raspberry, cherry, pomegranate, violet, rose petal, mushroom.
Palate : Medium-bodied with rich mid-palate and soft tannin structure.",,1392203,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253,,https://johnsonbrothers.storefronts.site/p/4LXNA,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Zinfandel Bourbon Barrel Aged,"The wine has a deep, rich purple color. An intense raspberry fruit is on the nose, with black pepper spice and a touch of cloves and dried herbs. The palate is full with ripe tannins, big black and red fruits, followed by an array of spices.",,1569408,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418303/3e645083fcb2d70d877d8.png?1538449374,,https://johnsonbrothers.storefronts.site/p/Z5LXN,,,,1000 Stories Wines,Wine,Still,Red,,johnson brothers,Fetzer Vineyards,United States,Alcohol,Wine,Still,Red
Sauvignon Blanc,"Bright yellow with green reflections. Dry, zesty, lemony citrus aromas. Citrus fruit on the palate, well balanced, with a crisp and refreshing acidity.",,1093514,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/241859/920767c8f2b152e7e67d9.png?1528471372,,https://johnsonbrothers.storefronts.site/p/CHP8L,,,,1749 Wines,Wine,Still,White,,johnson brothers,Bronco Wine Company,France,Alcohol,Wine,Still,White
Napa Valley Red Blend Anonymous,"Color : Deep Dark Midnight Purple Card with Red Hues.
Nose : The nose is fruity rich with dark plum aromas.
Palate: On the front this is a fruit forward wine. As the wine moves to the mid palate the flavors of black cherry, cassis and ripe blackberry are distinctly present creating a pleasantly complex combination of ripe fresh fruits with just a faint hint of barrel oak. The sip finishes with a mild lingering but refreshing sweetness.
Finish : The finish of the Napa Valley Red Blend is long with a round, supple & lush mouth feel. The finish is lively & hearty with a rich, complex velvety finish.",,1292547,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/919419/83842b87845788435d8a1.png?1616726947,,https://johnsonbrothers.storefronts.site/p/RGRSG,,,,1849 Wine Company,Wine,Still,Red,,johnson brothers,"Stratus Wine & Spirits, LLC",United States,Alcohol,Wine,Still,Red
Pinot Noir Carneros,"Its opulent Bing cherry, Burgundy plum, rose and mineral expression, our Pinot Noir sets the standard in the Carneros region. Silky tannins structure the wine's harmonious flavors, while oak spices persist through the finish.",,1446107,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/342389/3ac387297fc5e2929b7b0.png?1616723632,,https://johnsonbrothers.storefronts.site/p/U2GE7,,,,Acacia Vineyard,Wine,Still,Red,,johnson brothers,Treasury Wine Estates,United States,Alcohol,Wine,Still,Red
Cabernet Sauvignon Coombsville,"Ackerman Family Vineyards from United States, provided by Ackerman Family Vineyards. Enjoy the unique taste and quality.",,1662079,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729184/8b71556ee1c4acb847960.png?1692184971,,https://johnsonbrothers.storefronts.site/p/SR9L5,,,,Ackerman Family Vineyards,Wine,Still,Red,,johnson brothers,Ackerman Family Vineyards,United States,Alcohol,Wine,Still,Red
Memoir Red Wine Napa Valley,"Ackerman Family Vineyards from United States, provided by Ackerman Family Vineyards. Enjoy the unique taste and quality.",,1387474,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729185/c3faee421d3fa2b21a2ad.png?1692184982,,https://johnsonbrothers.storefronts.site/p/MUDRN,,,,Ackerman Family Vineyards,Wine,Still,Red,,johnson brothers,Ackerman Family Vineyards,United States,Alcohol,Wine,Still,Red
Sauvignon Blanc Napa Valley,"Ackerman Family Vineyards from United States, provided by Ackerman Family Vineyards. Enjoy the unique taste and quality.",,1471306,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2814086/f31582f7f9c8dcb3b1709.png?1698383243,,https://johnsonbrothers.storefronts.site/p/KYA5R,,,,Ackerman Family Vineyards,Wine,Still,White,,johnson brothers,Ackerman Family Vineyards,United States,Alcohol,Wine,Still,White
Pinot Noir Sonoma Coast,"Admire from United States, provided by DK Wine Group. Enjoy the unique taste and quality.",,1128382,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3211627/2d2431516e44efb580fd2.png?1720672468,,https://johnsonbrothers.storefronts.site/p/SW42I,,,,Admire,Wine,Still,Red,,johnson brothers,DK Wine Group,United States,Alcohol,Wine,Still,Red
Baden Riesling Valley Of The Monkey,"This tangy Riesling is loaded with fresh fruit aromas and an elegant, balanced interplay of sweetness and acidity. ",,1944314,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2790045/36d2f7eb7af14090d8bed.png?1696840828,,https://johnsonbrothers.storefronts.site/p/3X4SS,,,,Affentaler,Wine,Still,White,,johnson brothers,Niche Import Co,Germany,Alcohol,Wine,Still,White
