"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Bourbon Barrel-Aged Gold Rush Red California","","","1862735",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2556421/609916ed7ed6c6cfb6619.png?1677181097","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Cabernet Sauvignon Bourbon Barrel-Aged California","","","1659371",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246816/0ab9f05aff7fcb3efe11b.png?1649399415","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Chardonnay American Barrel Aged","","","1118274",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2325801/f23b1c68b42f82f162d51.png?1654662732","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Pinot Noir American Barrel Aged California","","","1392203",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247528/cced5b102de6af42a764f.png?1649422253","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Zinfandel Bourbon Barrel Aged","","","1569408",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418303/3e645083fcb2d70d877d8.png?1538449374","","","","","","1000 Stories Wines","Wine","","johnsonbrothers","Fetzer Vineyards","United States"
"Sauvignon Blanc","","","1093514",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/241859/920767c8f2b152e7e67d9.png?1528471372","","","","","","1749 Wines","Wine","","johnsonbrothers","Bronco Wine Company","France"
"Napa Valley Red Blend Anonymous","","","1292547",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/919419/83842b87845788435d8a1.png?1616726947","","","","","","1849 Wine Company","Wine","","johnsonbrothers","Stratus Wine & Spirits, LLC","United States"
"Pinot Noir Carneros","","","1446107",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/342389/3ac387297fc5e2929b7b0.png?1616723632","","","","","","Acacia Vineyard","Wine","","johnsonbrothers","Treasury Wine Estates","United States"
"Cabernet Sauvignon Coombsville","","","1662079",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729184/8b71556ee1c4acb847960.png?1692184971","","","","","","Ackerman Family Vineyards","Wine","","johnsonbrothers","Ackerman Family Vineyards","United States"
"Memoir Red Wine Napa Valley","","","1387474",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729185/c3faee421d3fa2b21a2ad.png?1692184982","","","","","","Ackerman Family Vineyards","Wine","","johnsonbrothers","Ackerman Family Vineyards","United States"
