name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Cabernet Sauvignon Paso Robles,"100 Nails Ranch Cabernet Sauvignon exudes layered notes of violet, sage, blueberry, blackberry and vanilla. Firm acidity with robust tannins brings a structured texture that builds to a long, concentrated finish.",,1152204,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874,,https://johnsonbrothers.storefronts.site/p/0QZ4B,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Chardonnay Sonoma County,"Hand sorted grapes are sourced from prime vineyards within the Russian River and Alexander Valleys and gently whole cluster pressed. Aged nine months in 100% French oak. Exudes a lemon citrus core with pear and crisp apple matched with an integrated hint of brioche and toast.

With a focused purity in acidity and a rounded mouthfeel, the finish is elegant and lingering.",,1983146,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382,,https://johnsonbrothers.storefronts.site/p/GW8DE,,,,100 Nails Ranch,Wine,Still,White,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,White
Pinot Noir Central Coast,"100 Nails Ranch from United States, provided by 1821 Fine Wine & Spirits. Enjoy the unique taste and quality.",,1478092,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391,,https://johnsonbrothers.storefronts.site/p/SMQ4R,,,,100 Nails Ranch,Wine,Still,Red,,johnson brothers,1821 Fine Wine & Spirits,United States,Alcohol,Wine,Still,Red
Lisboa Opulent Tinto,"Intense Ruby color. Complex and Opulent in the nose, with fruity (ripe red Fruits) And Spicy Aromas. Elegant, with a velvety texture and very well balanced this is a round bodied wine with smooth tannins long and pleasant finish.",,1805867,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849,,https://johnsonbrothers.storefronts.site/p/9U5RP,,,,12 Knights,Wine,Still,Red,,johnson brothers,Milton's Distributing Co Inc,Portugal,Alcohol,Wine,Still,Red
Premium Bloody Mary Mix,"2 Dads from United States, provided by 2 Dads. Enjoy the unique taste and quality.",,1006502,6,32.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1968953/72f21f4ddf59f5e148976.png?1624019778,,https://johnsonbrothers.storefronts.site/p/3CQJN,,,,2 Dads,Mixers,Non-alcoholic,Non-alcoholic,,johnson brothers,2 Dads,United States,Alcohol,Mixers,Non-alcoholic,Non-alcoholic
Premium Bloody Mary Mix,"2 Dads from United States, provided by 2 Dads. Enjoy the unique taste and quality.",,1904215,12,32.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1968953/72f21f4ddf59f5e148976.png?1624019778,,https://johnsonbrothers.storefronts.site/p/3CQJN,,,,2 Dads,Mixers,Non-alcoholic,Non-alcoholic,,johnson brothers,2 Dads,United States,Alcohol,Mixers,Non-alcoholic,Non-alcoholic
Premium Jalapeño Margarita Mix,"2 Dads from United States, provided by 2 Dads. Enjoy the unique taste and quality.",,1464020,12,32.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2202567/2e5f10c807d8042589b40.png?1645615108,,https://johnsonbrothers.storefronts.site/p/D0FHP,,,,2 Dads,Mixers,Non-alcoholic,Non-alcoholic,,johnson brothers,2 Dads,United States,Alcohol,Mixers,Non-alcoholic,Non-alcoholic
Gem of Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1431369,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687,,https://johnsonbrothers.storefronts.site/p/JO023,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series American Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1562461,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243,,https://johnsonbrothers.storefronts.site/p/FECMQ,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series French Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1686897,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058,,https://johnsonbrothers.storefronts.site/p/FFLQU,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Kiawah Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1856026,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175,,https://johnsonbrothers.storefronts.site/p/6U30H,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Sneakerhead Blend Kentucky Straight Bourbon Whiskey 104 Proof,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1168260,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3173507/47533e2bd93d26fae4674.png?1718255073,,https://johnsonbrothers.storefronts.site/p/KIMZV,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
