ada,sku,name,proof,size,pack,base_price,license_price,retail_price,group,Level 1 category,Level 2 category,Level 3 category
321,127,BANKER'S CLUB BLEND,80,750,12,5.75,5.46,6.44,Alcohol,,,
321,121,BANKER'S CLUB BLEND,80,1000,12,7.12,6.75,7.96,Alcohol,,,
321,128,BANKER'S CLUB BLEND,80,1750,6,12.49,11.87,13.99,Alcohol,,,
321,287,BEAM'S 8 STAR BLEND,80,750,12,6.07,5.76,6.79,Alcohol,,,
321,89830,BEAM'S 8 STAR BLEND,80,1000,12,7.59,7.2,8.49,Alcohol,,,
321,288,BEAM'S 8 STAR BLEND,80,1750,6,12.93,12.29,14.49,Alcohol,,,
321,283,BEAM'S 8 STAR BLEND PL,80,375,24,3.2,3.05,3.59,Alcohol,,,
321,10301,BREUCKELEN 77 WHISKEY RYE-CORN,90,750,6,44.63,42.41,50,Alcohol,spirits,Brandy & Cognac,Brandy De Jerez
321,987,CALVERT EXTRA,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,988,CALVERT EXTRA,80,1750,6,16.95,16.11,18.99,Alcohol,,,
321,1507,CARSTAIRS WHITE SEAL,80,750,12,5.7,5.42,6.39,Alcohol,wine,Champagne & Sparkling,
321,932,CARSTAIRS WHITE SEAL,80,1000,12,7.28,6.91,8.15,Alcohol,wine,Champagne & Sparkling,
321,1508,CARSTAIRS WHITE SEAL,80,1750,6,11.95,11.36,13.39,Alcohol,wine,Champagne & Sparkling,
321,2607,FLEISCHMANN'S PREFERRED,80,750,12,5.62,5.32,6.28,Alcohol,wine,Champagne & Sparkling,
321,2608,FLEISCHMANN'S PREFERRED,80,1750,6,11.95,11.36,13.39,Alcohol,wine,Champagne & Sparkling,
321,7380,FLEISCHMANN'S PREFERRED PL,80,750,12,5.62,5.32,6.28,Alcohol,wine,Champagne & Sparkling,
321,3107,G & W FIVE STAR,80,750,12,5.8,5.5,6.49,Alcohol,,,
321,3101,G & W FIVE STAR,80,1000,12,7.59,7.2,8.49,Alcohol,,,
321,3108,G & W FIVE STAR,80,1750,6,12.49,11.87,13.99,Alcohol,,,
321,93610,G & W FIVE STAR PL,80,200,48,2.1,1.98,2.34,Alcohol,,,
321,3103,G & W FIVE STAR PL,80,375,24,3.3,3.13,3.69,Alcohol,,,
321,3097,G & W FIVE STAR PL,80,750,12,5.8,5.5,6.49,Alcohol,,,
321,3147,G & W SEVEN STAR,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,3148,G & W SEVEN STAR,80,1750,6,14.28,13.56,15.99,Alcohol,,,
321,10932,HIGH WEST CAMPFIRE,92,750,6,49.78,47.29,55.75,Alcohol,,,
321,4083,IMPERIAL,80,375,24,3.12,2.95,3.48,Alcohol,,,
321,4087,IMPERIAL,80,750,12,5.8,5.5,6.49,Alcohol,,,
321,96215,IMPERIAL,80,1000,12,7.76,7.37,8.69,Alcohol,,,
321,4088,IMPERIAL,80,1750,6,12.49,11.87,13.99,Alcohol,,,
321,12379,JAMES OLIVER AMERICAN WHISKEY,86,750,12,26.78,25.44,29.99,Alcohol,spirits,Brandy & Cognac,Brandy De Jerez
321,10850,JEFFERSONS CHEFS COLLABORATION,92,750,6,41.94,39.85,46.98,Alcohol,,,
321,4400,KESSLER,80,50,120,0.88,0.85,1,Alcohol,,,
321,4407,KESSLER,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,4401,KESSLER,80,1000,12,11.61,11.02,12.99,Alcohol,,,
321,4408,KESSLER,80,1750,6,17.86,16.95,19.99,Alcohol,,,
321,4402,KESSLER PL,80,200,48,2.66,2.54,2.99,Alcohol,,,
321,4403,KESSLER PL,80,375,24,4.89,4.66,5.49,Alcohol,,,
321,4417,KESSLER PL,80,750,12,8.03,7.62,8.99,Alcohol,,,
321,10498,KESSLER SPICED,70,1000,12,11.61,11.02,12.99,Alcohol,,,
321,10308,KESSLER SPICED PL,70,1750,6,17.86,16.95,19.99,Alcohol,,,
321,10221,KOVAL FOUR GRAIN,94,750,6,46.41,44.1,51.99,Alcohol,,,
321,10918,OOLA WAITSBURG BBN WHISKEY,94,750,12,35.66,33.89,39.95,Alcohol,spirits,Brandy & Cognac,Brandy De Jerez
321,11988,PINCKNEY BEND RESTED WHISKEY,100,750,12,37.74,35.85,42.27,Alcohol,spirits,Brandy & Cognac,Brandy De Jerez
321,12441,REBEL YELL AMERICAN WHISKEY,90,750,6,22.32,21.2,24.99,Alcohol,spirits,Brandy & Cognac,Brandy De Jerez
321,84483,SEAGRAM'S 7 CROWN,80,50,120,0.87,0.81,0.96,Alcohol,,,
321,2043,SEAGRAM'S 7 CROWN,80,100,48,2.49,2.37,2.79,Alcohol,,,
321,6922,SEAGRAM'S 7 CROWN,80,200,48,3.37,3.19,3.76,Alcohol,,,
321,6923,SEAGRAM'S 7 CROWN,80,375,24,5.53,5.25,6.19,Alcohol,,,
321,6927,SEAGRAM'S 7 CROWN,80,750,12,10.7,10.17,11.99,Alcohol,,,
321,6921,SEAGRAM'S 7 CROWN,80,1000,12,13.37,12.69,14.96,Alcohol,,,
321,6928,SEAGRAM'S 7 CROWN,80,1750,6,20.53,19.5,22.99,Alcohol,,,
321,6947,SEAGRAM'S 7 CROWN PL,80,750,12,10.7,10.17,11.99,Alcohol,,,
321,6290,SEAGRAM'S 7 CROWN DARK HONEY,71,1000,12,17.86,16.95,19.99,Alcohol,,,
321,6288,SEAGRAM'S 7 CROWN DRK HONEY PL,71,50,120,0.87,0.81,0.96,Alcohol,,,
321,72587,SEAGRAMS 7 CRWN DRK HNY/2-50ML,70,750,12,14.28,13.56,15.99,Alcohol,,,
321,7748,SEAGRAM'S 7 CROWN STONE CHERRY,71,750,12,14.28,13.56,15.99,Alcohol,,,
321,7749,SEAGRAM'S 7 CROWN STONE CHERRY,71,1000,12,17.86,16.95,19.99,Alcohol,,,
321,72586,SEAGRAM'S 7 CRWN CHERRY/2-50ML,71,750,12,14.28,13.56,15.99,Alcohol,,,
321,72750,SEAGRAM'S 7 VARIETY W/2-50ML,71,750,12,10.7,10.17,11.99,Alcohol,,,
321,5690,SEAGRAM'S 7 CROWN 75TH ANN,86.8,750,12,12.05,11.44,13.49,Alcohol,,,
321,7563,TOWN CLUB,80,375,24,3.3,3.13,3.69,Alcohol,,,
321,7567,TOWN CLUB PL,80,750,12,6.24,5.93,6.99,Alcohol,,,
321,7568,TOWN CLUB PL,80,1750,6,12.49,11.87,13.99,Alcohol,,,
321,7607,TRAVELERS CLUB BLEND,80,750,12,6.07,5.76,6.79,Alcohol,,,
321,93030,TRAVELERS CLUB BLEND,80,1750,6,12.93,12.29,14.49,Alcohol,,,
321,7707,WILLIAM PENN,80,750,12,5.75,5.46,6.44,Alcohol,,,
321,7708,WILLIAM PENN,80,1750,6,12.49,11.87,13.99,Alcohol,,,
321,10696,COLLIER & MCKEEL,86,750,6,40.17,38.17,45,Alcohol,,,
321,9154,GEORGE DICKEL BARREL SELECT,86,750,12,40.16,38.16,44.99,Alcohol,,,
321,10608,GEORGE DICKEL BARREL-14 YR,106,750,12,58.03,55.12,64.99,Alcohol,,,
321,10609,GEORGE DICKEL BARREL-9 YR,103,750,12,40.16,38.16,44.99,Alcohol,,,
321,6441,GEORGE DICKEL CASCADE HOLLOW,80,750,12,15.16,14.41,16.99,Alcohol,,,
321,92080,GEORGE DICKEL OLD #12,90,750,12,22.32,21.2,24.99,Alcohol,,,
321,72548,GEORGE DICKEL OLD #12 W/2-50ML,90,750,12,22.32,21.2,24.99,Alcohol,,,
321,6739,GEORGE DICKEL OLD #8,80,750,12,21.41,20.35,23.99,Alcohol,,,
321,6741,GEORGE DICKEL OLD #8,80,1750,6,34.82,33.07,38.99,Alcohol,,,
321,72584,GEORGE DICKEL OLD #8 W/2-50ML,80,750,12,21.41,20.35,23.99,Alcohol,,,
321,72652,GEORGE DICKEL VARIETY W/2-50ML,80,750,12,22.32,21.2,24.99,Alcohol,,,
321,10844,PRICHARD'S TENNESSEE WHISKEY,80,750,6,33.91,32.23,37.99,Alcohol,spirits,Whiskey,Tennessee Whiskey
,,,,,,,,,Alcohol,,,
321,88026,ANCIENT AGE,80,750,12,9.82,9.32,10.99,Alcohol,,,
