description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Canola Fry Oil is a versatile and high-performance cooking oil that is ideal for deep frying and other high-heat cooking applications. Made from 100% pure canola oil, this oil has a high smoke point that allows it to maintain its quality and stability even under high temperatures. This oil is also low in saturated fat and high in heart-healthy unsaturated fats, making it a healthier option compared to other types of oils. It has a mild taste and a neutral flavor profile that won't interfere with the taste of your food. Canola Fry Oil is perfect for cooking up crispy fried foods like french fries, chicken wings, and tempura, and is also great for saut�ing and baking.",Canola Frying Oil,GS221,1x35 LB Case packaging,1x35 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/gs221_0.jpg,41618500025,,,https://www.chefswarehouse.com/products/GS221/,PACKER,Bakery & Bread,Cookies & Brownies,,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/gs221_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Canola & Vegetable Oils"",""sub-category"":""Canola & Vegetable Oils"",""sub-sub-category"":""Canola & Vegetable Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Cookies & Brownies"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GS221-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""1x35 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS221""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS221-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x35 LB Case""}}],""businessUnit"":""200001""}]}"
"Unsalted Butter is a premium quality dairy product that brings a rich, creamy taste and texture to your cooking and baking. This butter is made from the highest quality cream, which is carefully churned to create a smooth and velvety texture. Unsalted Butter has a pure and natural taste that is perfect for adding to your favorite recipes. Its rich flavor and creamy texture make it perfect for spreading on bread, melting on vegetables or meats, or using as a base for sauces, soups, and baked goods. This butter is free from any added salt or artificial additives, making it a healthy and natural option for your cooking and baking needs.",80% Unsalted Butter Prints,BB170,36 x 1 LB Case packaging,36 x 1 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/butter/bb170_0.jpg,,,,https://www.chefswarehouse.com/products/BB170/,GRAND RESERVE,Bakery & Bread,Pies,,GRASSLAND DAIRY PRODUCTS INC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/butter/bb170_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Butter"",""sub-category"":""Butter"",""sub-sub-category"":""Butter"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Pies"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_BB170-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""36 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BB170""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BB170-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""36 x 1 LB Case""}}],""businessUnit"":""200001""}]}"
"Pan Coating spray is a high-quality and convenient cooking spray that's perfect for preventing food from sticking to your cooking surfaces. This spray is perfect for baking, grilling, and saut�ing.",Pan Coating Spray,GS209,6 x 14 Oz Case packaging,6 x 14 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/shortening-spray-oils/gs209_0.jpg,8037814021,,,https://www.chefswarehouse.com/products/GS209/,VEGALENE,Bakery & Bread,Cookies & Brownies,,PLZ CORP,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/shortening-spray-oils/gs209_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Shortening & Spray Oils"",""sub-category"":""Shortening & Spray Oils"",""sub-sub-category"":""Shortening & Spray Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Cookies & Brownies"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GS209-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 14 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS209""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS209-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 14 Oz Case""}}],""businessUnit"":""200001""}]}"
"10% olive oil and 90% canola oil blend is a versatile cooking oil that is made by combining pure olive oil with canola oil, which gives it a light, mild flavor and a high smoke point, making it ideal for a wide range of culinary applications.",10% Olive and Canola Oil Blend,GO196,6x1 Gallon BC packaging,6x1 Gallon BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go196_0.jpg,7.85E+11,,,https://www.chefswarehouse.com/products/GO196/,SPOLETO,Bakery & Bread,Cheesecake,,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go196_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Pure & Blended Oils"",""sub-category"":""Pure & Blended Oils"",""sub-sub-category"":""Pure & Blended Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Cheesecake"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GO196-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO196""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO196-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_GO196-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO196""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO196-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
"25% olive oil and 75% canola oil blend is a versatile cooking oil that is made by combining pure olive oil with canola oil. The blend contains 25% olive oil and 75% canola oil, which gives it a light, mild flavor and a high smoke point, making it ideal for a wide range of culinary applications.",25% Olive and Canola Oil Blend,GO195,6x1 Gallon BC packaging,6x1 Gallon BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go195_0.jpg,7.85E+11,,,https://www.chefswarehouse.com/products/GO195/,SPOLETO,Bakery & Bread,Bread,Buns,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/pure-blended-oils/go195_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Pure & Blended Oils"",""sub-category"":""Pure & Blended Oils"",""sub-sub-category"":""Pure & Blended Oils"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Bread"",""Level 3 category"":""Buns"",""product_variants"":[{""code"":""JDE_GO195-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO195""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO195-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_GO195-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO195""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO195-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
"From ancient Egypt to modern times, the fragrant flavor of sesame seeds has been loved and used for various dishes around the world. Recently, since having their components analyzed, they have also attracted attention as a health food. Kadoya Sesame Mills founded in 1858 with more than 150 years history is the top brand of Japan manufacturing products with select sesame seeds, including sesame oil, due to unique methods. Based on the safety and reliability associated with our brand, we have developed a wide variety of products for both home and professional use, offering fragrant flavor and the promise of health to meal-tables all over the world.",Sesame Seed Oil,GO174,10 x 3.5 LB Case packaging,10 x 3.5 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/go174_0.jpg,1.00E+13,,,https://www.chefswarehouse.com/products/GO174/,KADOYA,Bakery & Bread,Croissants,,KADOYA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/go174_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Nut & Seed Oils"",""sub-category"":""Nut & Seed Oils"",""sub-sub-category"":""Nut & Seed Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Croissants"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GO174-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""10 x 3.5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO174""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO174-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""10 x 3.5 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_GO174-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""10 x 3.5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO174""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO174-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""10 x 3.5 LB Case""}}],""businessUnit"":""200001""}]}"
"This very clean and neutral tasting Mediterranean grapeseed oil is cold extracted from the seeds of grapes. Spoleto grapeseed oil is an excellent vessel for carrying other flavors and is particularly suited for high-heat sauteeing or stir-frying, due to its high smoke point of approximately 420 �F.",Grapeseed Oil,BC701701N,4 x 3 L Case packaging,4 x 3 L Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/bc701701n_0.jpg,,,,https://www.chefswarehouse.com/products/BC701701N/,SPOLETO,Bakery & Bread,Leaveners & Stabilizers,,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/nut-seed-oils/bc701701n_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Nut & Seed Oils"",""sub-category"":""Nut & Seed Oils"",""sub-sub-category"":""Nut & Seed Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Leaveners & Stabilizers"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_BC701701N-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BC701701N""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BC701701N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""},{""code"":""JDE_BC701701N-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 3 L Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BC701701N""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BC701701N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 3 L Case""}}],""businessUnit"":""200001""}]}"
"Clarified butter, also known as ghee, is a type of butter that's been heated to remove the milk solids and water. The result is a pure and golden liquid that has a higher smoke point than regular butter, making it ideal for high-heat cooking and frying. Clarified butter has a rich and nutty flavor and aroma that's perfect for adding depth and complexity to a wide range of dishes. It's a staple in many cuisines, including Indian, Middle Eastern, and French, and is a popular ingredient in many traditional dishes.",Clarified Butter,BB101,4x5 LB TUB BC packaging,4x5 LB TUB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/butter/bb101_0.jpg,0 79176 09445 8,,,https://www.chefswarehouse.com/products/BB101/,WUTHRICH,Bakery & Bread,Taco & Tostada Shells,,GRASSLAND DAIRY PRODUCTS INC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/butter/bb101_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Butter"",""sub-category"":""Butter"",""sub-sub-category"":""Butter"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Taco & Tostada Shells"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_BB101-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x5 LB TUB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BB101""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BB101-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB TUB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_BB101-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x5 LB TUB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BB101""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BB101-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x5 LB TUB BC""}}],""businessUnit"":""200001""}]}"
"Grand Reserve 83% butter is a premium butter made with high-quality fresh cream and a higher butterfat content than regular butter. It has a smooth, creamy texture and a rich, buttery flavor that is ideal for use in baking, cooking, or as a finishing touch for dishes. This butter has a higher smoke point than regular butter, making it a great choice for high-heat cooking and frying. It can also be used to make sauces, pastries, and other baked goods that require a high-quality, flavorful butter.",83% Unsalted Butter Prints,BB104,36 x 1 LB Case packaging,36 x 1 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/butter/bb104_0.jpg,,,,https://www.chefswarehouse.com/products/BB104/,GRAND RESERVE,Bakery & Bread,Pastry Shells,,GRASSLAND DAIRY PRODUCTS INC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/butter/bb104_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Butter"",""sub-category"":""Butter"",""sub-sub-category"":""Butter"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Pastry Shells"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_BB104-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""36 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BB104""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BB104-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""36 x 1 LB Case""}}],""businessUnit"":""200001""}]}"
"Canola oil is a versatile cooking oil that is made from the seeds of the canola plant. Canola oil has a mild flavor and a high smoke point, making it suitable for a variety of cooking methods including frying, baking, and sautéing.",Canola Oil,GO127,6x1 Gallon Case packaging,6x1 Gallon Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go127_0.jpg,41618500162,,,https://www.chefswarehouse.com/products/GO127/,PACKER,Bakery & Bread,Sweeteners,,SOVENA USA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/canola-vegetable-oils/go127_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Canola & Vegetable Oils"",""sub-category"":""Canola & Vegetable Oils"",""sub-sub-category"":""Canola & Vegetable Oils"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 category"":""Bakery & Bread"",""Level 2 category"":""Sweeteners"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GO127-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x1 Gallon Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GO127""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GO127-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x1 Gallon Case""}}],""businessUnit"":""200001""}]}"
