description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
12 x 750 mL Case,Vanilla Syrup,VN186004,,12x750 ML BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/vn186004_0.jpg,7.38E+11,,,https://www.chefswarehouse.com/products/VN186004/,MONIN,,,,MONIN,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/vn186004_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Cocoa"",""product_variants"":[{""code"":""JDE_VN186004-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12x750 ML BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN186004""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN186004-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12x750 ML BC""}}],""businessUnit"":""200001""},{""code"":""JDE_VN186004-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""12x750 ML BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN186004""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN186004-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12x750 ML BC""}}],""businessUnit"":""200001""}]}"
Chocolate Syrup,Chocolate Syrup,GS560,,24x24 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/gs560_0.jpg,34000312405,,,https://www.chefswarehouse.com/products/GS560/,HERSHEY,,,,HERSHEY,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/gs560_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Coffee"",""product_variants"":[{""code"":""JDE_GS560-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""24x24 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS560""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS560-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""24x24 Oz Case""}}],""businessUnit"":""200001""}]}"
Syrup is made with the best White Elderflower blossoms. It has the smell and taste of fresh fruit. Gluten-free. Alcohol Free. All-natural. Amazing syrup for making delicious cocktails.,White Elderflower Syrup,81978,,6x16.9 Oz BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/81978_0.png,11368018132,,,https://www.chefswarehouse.com/products/81978/,DARBO,,,,DARBO,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/81978_0.png"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Dispensed Beverages"",""product_variants"":[{""code"":""JDE_81978-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x16.9 Oz BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""81978""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_81978-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x16.9 Oz BC""}}],""businessUnit"":""200001""},{""code"":""JDE_81978-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x16.9 Oz BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""81978""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_81978-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x16.9 Oz BC""}}],""businessUnit"":""200001""}]}"
"Using pure Madagascar vanilla ensures that our Vanilla Syrup will bring high-quality, rich flavor to drinks and desserts. This popular, versatile flavor brings smooth warmth to beverages of every kind.",Vanilla Syrup,916052,,4 x 750 mL Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/916052_0.jpg,1.07E+13,,,https://www.chefswarehouse.com/products/916052/,MONIN,,,,MONIN,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/916052_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Healthcare Beverages"",""product_variants"":[{""code"":""JDE_916052-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 750 mL Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""916052""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_916052-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 750 mL Case""}}],""businessUnit"":""200001""}]}"
12 x 750 mL Case,Chocolate Syrup,926782,,12 x 750 mL Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/926782_0.jpg,7.38E+11,,,https://www.chefswarehouse.com/products/926782/,MONIN,,,,MONIN INC,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/926782_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Juice"",""product_variants"":[{""code"":""JDE_926782-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12 x 750 mL Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""926782""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_926782-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 750 mL Case""}}],""businessUnit"":""200001""},{""code"":""JDE_926782-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""12 x 750 mL Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""926782""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_926782-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 750 mL Case""}}],""businessUnit"":""200001""}]}"
12 x 750 mL Case,Pumpkin Spice Syrup,10104241,,12x750 ML BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/10104241_0.jpg,7.38E+11,,,https://www.chefswarehouse.com/products/10104241/,MONIN,,,,MONIN,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/10104241_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Ready to Drink"",""product_variants"":[{""code"":""JDE_10104241-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12x750 ML BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10104241""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10104241-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12x750 ML BC""}}],""businessUnit"":""200001""},{""code"":""JDE_10104241-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""12x750 ML BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10104241""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10104241-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12x750 ML BC""}}],""businessUnit"":""200001""}]}"
Chocolate Syrup,Chocolate Syrup,GS505,,4x1 Gallon BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/gs505_0.jpg,70216110008,,,https://www.chefswarehouse.com/products/GS505/,FOX'S,,,,FOXS UBET,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/gs505_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Soft Drinks"",""product_variants"":[{""code"":""JDE_GS505-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS505""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS505-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x1 Gallon BC""}}],""businessUnit"":""200001""},{""code"":""JDE_GS505-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4x1 Gallon BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GS505""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GS505-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4x1 Gallon BC""}}],""businessUnit"":""200001""}]}"
Cinnamon Syrup,Cinnamon Syrup,MONIN927,,12 x 25.4 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/monin927_0.jpg,,,,https://www.chefswarehouse.com/products/MONIN927/,MONIN,,,,,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/beverages-syrups-flavors-/monin927_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":"""",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Sports Drinks"",""product_variants"":[{""code"":""JDE_MONIN927-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""U""},""text"":""Case"",""weight"":""12 x 25.4 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""MONIN927""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_MONIN927-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 25.4 Oz Case""}}],""businessUnit"":""200001""},{""code"":""JDE_MONIN927-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""U""},""text"":""Piece"",""weight"":""12 x 25.4 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""MONIN927""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_MONIN927-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 25.4 Oz Case""}}],""businessUnit"":""200001""}]}"
12 x 4 Oz Case,Orgeat Almon Syrup,931910,,12 x 4 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/bitters-/931910_0.jpg,7.92E+11,,,https://www.chefswarehouse.com/products/931910/,FEE BROTHERS,,,,FEE BROTHERS INC,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/bitters-/931910_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Organic"",""text"":""Organic"",""abbreviation"":""Organic""},""category"":""Beverages Syrups & Flavors"",""sub-category"":""Beverages Syrups & Flavors"",""sub-sub-category"":""Bitters"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Syrups"",""product_variants"":[{""code"":""JDE_931910-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12 x 4 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""931910""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_931910-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 4 Oz Case""}}],""businessUnit"":""200001""},{""code"":""JDE_931910-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""12 x 4 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""931910""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_931910-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 4 Oz Case""}}],""businessUnit"":""200001""}]}"
"Tapioca Pearls are small, spherical beads made from cassava flour, which is derived from the root of the cassava plant. They are most commonly used to make a popular dessert called Bubble Tea, where they are added to sweetened tea to create a chewy texture. Tapioca Pearls are often cooked in sugar syrup or sweetened tea, which gives them a slightly sweet flavor and a chewy, gelatinous texture. They are available in a variety of sizes, from small to large, and can be dyed to add visual appeal to drinks.",Large Tapioca Pearls,GB181,,12 x 7 Oz Case,,,,,"https://www.chefswarehouse.com/siteassets/pim-images/juices,-puree-milks/gb181_0.jpg",70147005015,,,https://www.chefswarehouse.com/products/GB181/,HEARTLINE FOODS,,,,HEARTLINE FOODS,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/juices,-puree-milks/gb181_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Beverages Syrups & Flavors"",""sub-category"":""Starches"",""sub-sub-category"":""Juices, Puree & Milks"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Beverage"",""Level 2 Category"":""Tea"",""product_variants"":[{""code"":""JDE_GB181-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12 x 7 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GB181""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GB181-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 7 Oz Case""}}],""businessUnit"":""200001""}]}"
