description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Sliced Italian Prosciutto is a popular and delicious cured meat that originated in Italy. It is made from the hind leg of the pig, which is dry-cured and aged for several months to develop its unique flavor and texture. The process of making prosciutto involves salting and air-drying the meat, which results in a lean and tender texture that is slightly salty and savory. Sliced Italian Prosciutto is typically served thinly sliced, and can be enjoyed on its own or used as a topping for pizza, salads, sandwiches, and other dishes.",Sliced Prosciutto Italiano Import,10464204N,,4 x 1 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/10464204n_0.jpg,,,,https://www.chefswarehouse.com/products/10464204N/,NATURA ANTICA,,Cheese,,NATURA ANTICA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/10464204n_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Prosciutto"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Prosciutto"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10464204N-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""4 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10464204N""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10464204N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 1 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10464204N-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10464204N""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10464204N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 1 LB Case""}}],""businessUnit"":""200001""}]}"
"Using only two ingredients, pork and sea salt, True Story’s prosciutto is dry-aged in the Poconos Mountains for a minimum of 10 months. Made with just pork and sea salt, True Story’s prosciutto is dry-aged in the Pocono Mountains of Pennsylvania for up to 10 months. Made with a mix of Heritage Breeds. Humanely raised on U.S. family farms. Never treated with antibiotics or hormones – ever! Fed 100% vegetarian diet.",Sliced Prosciutto,10815289,,6 x 1 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/10815289_0.jpg,8.50E+11,,,https://www.chefswarehouse.com/products/10815289/,TRUE STORY,,Cheese,,TRUE STORY,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/10815289_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Prosciutto"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Prosciutto"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10815289-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10815289""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10815289-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 1 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10815289-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10815289""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10815289-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 1 LB Case""}}],""businessUnit"":""200001""}]}"
"SPICY SPREADABLE SALAMI - It all started here. ‘Nduja, the spicy, spreadable salami. The crown jewel of our Calabrian roots and the signature product on which our company was founded. Pork, peppers, and sea salt. Perfect with bread, pizza, pasta, eggs, or wherever you want savory spice. Delicious simplicity.",Spreadable Salami,10442996,,5x1 LB BC CW,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10442996_0.jpg,8.67E+11,,,https://www.chefswarehouse.com/products/10442996/,TEMPESTA,,Cheese,,NDUJA ARTISANS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10442996_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10442996-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""5x1 LB BC CW"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10442996""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10442996-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""5x1 LB BC CW""}}],""businessUnit"":""200001""},{""code"":""JDE_10442996-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""5x1 LB BC CW"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10442996""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10442996-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""5x1 LB BC CW""}}],""businessUnit"":""200001""}]}"
"Palacios Chorizo is a traditional Spanish cured sausage that is made from a blend of pork, garlic, and smoked paprika. This particular variety is mild, making it a great choice for those who enjoy the distinctive flavor of chorizo but prefer less spiciness. The sausage is dry-cured and ready to eat without any additional cooking. It is perfect for snacking or using as an ingredient in a variety of dishes, such as omelets, pasta, or soups.",Mild Chorizo Salami,1202PAL1000,,14 x 7.9 oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/1202pal1000_0.jpg,6.48E+11,,,https://www.chefswarehouse.com/products/1202PAL1000/,PALACIOS,,Cheese,,PALACIOS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/1202pal1000_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_1202PAL1000-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""14 x 7.9 oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""1202PAL1000""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_1202PAL1000-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""14 x 7.9 oz Case""}}],""businessUnit"":""200001""},{""code"":""JDE_1202PAL1000-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""14 x 7.9 oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""1202PAL1000""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_1202PAL1000-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""14 x 7.9 oz Case""}}],""businessUnit"":""200001""}]}"
"A coarsely chopped, all-pork salame, Molinari & Sons Net Sopressata's distinctive taste is rooted in whole peppercorns and red wine. It perfectly complements a delicious Reggiano cheese.",Soppressata Salami,VN050810,,7x4 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10142635_0.jpg,7.63E+11,,,https://www.chefswarehouse.com/products/VN050810/,PG MOLINARI,,Cheese,,P.G. MOLINARI & SONS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10142635_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_VN050810-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""7x4 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050810""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050810-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""7x4 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_VN050810-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""7x4 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050810""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050810-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""7x4 LB BC""}}],""businessUnit"":""200001""}]}"
"Prosciutto di Parma, a premium quality Italian cured ham that is renowned for its delicate and savory flavor. This exquisite ham is made from the hind legs of specially bred and raised pigs, and has been aged for at least 14 months to develop its unique flavor. Prosciutto di Parma has a beautiful pink color and a sweet aroma that is reminiscent of the Italian countryside. It has a rich and buttery texture that melts in your mouth, with a delicate and savory flavor that is perfect for a variety of dishes. Prosciutto di Parma is a versatile ingredient that can be used in many ways. It is perfect for wrapping around melon, figs, or other fruits, as well as for adding to sandwiches, pizzas, and salads. It can also be enjoyed on its own as a delicious appetizer.",14 Month Prosciutto Italiano,M330,,13 LB Piece,,,,,https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/m330_0.jpg,,,,https://www.chefswarehouse.com/products/M330/,NATURA ANTICA,,Cheese,,CIBO ITALIA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/prosciutto/m330_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Prosciutto"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Prosciutto"",""supplier_name"":"""",""country_of_origin"":""Italy"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M330-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""13 LB Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M330""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M330-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""13 LB Piece""}}],""businessUnit"":""200001""}]}"
"Fra' Mani Handcrafted Salumi's Classic Mortadella is made with prime cuts from the leg, shoulder, and belly, carefully trimmed by hand. Minutely fine-ground, with no artificial additives. Speckled with small cubes of pork jowl, the firmest and most flavorful fat on the hog. Slow-roasted for 10 hours with dry heat and finished with a breath of natural fruitwood smoke. Like the classic version of Mortadella di Bologna, Fra' Mani Classic Mortadella contains no pistachio nuts. Each piece is about 6 pounds.",Mortadella,M147,,2x6 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/m147_0.jpg,9.09E+13,,,https://www.chefswarehouse.com/products/M147/,FRA'MANI,,Cheese,,FRA'MANI,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/smoked-cooked-meats-/m147_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Smoked & Cooked Meats"",""sub-category"":""Smoked & Cooked Meats"",""sub-sub-category"":""Smoked & Cooked Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M147-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2x6 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M147""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M147-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x6 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_M147-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2x6 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M147""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M147-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x6 LB BC""}}],""businessUnit"":""200001""}]}"
All pork salame with whole fennel seed; dry cured. Great for a antipasto dish.,Fennel Finocchiona Salami,VN050490,,7 x 3-4 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10142512_0.jpg,7.63E+11,,,https://www.chefswarehouse.com/products/VN050490/,PG MOLINARI,,Cheese,,P.G. MOLINARI & SONS,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10142512_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_VN050490-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""7 x 3-4 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050490""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050490-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""7 x 3-4 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_VN050490-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""7 x 3-4 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN050490""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN050490-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""7 x 3-4 LB Case""}}],""businessUnit"":""200001""}]}"
"Soppressata is a tried-and-true favorite thanks to its exceptional flavor. Olli Salumeria Soppressata Salami delivers a bold taste, via garlic and peppercorns, that fits flawlessly in a mouthwatering sandwich.",Sopressata Salami,10313203N,,2 x 6 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10313203n_0.jpg,NOUPCONITEM,,,https://www.chefswarehouse.com/products/10313203N/,OLLI SALUMERIA,,Cheese,,OLLI SALUMERIA AMERICANA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/10313203n_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10313203N-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2 x 6 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10313203N""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10313203N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 6 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10313203N-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2 x 6 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10313203N""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10313203N-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2 x 6 LB Case""}}],""businessUnit"":""200001""}]}"
"Bernina beef bresaola is a 98% lean, raw and air-cured beef  produced from anatomic and lean beef cuts that are specially selected for their high quality. This bresaola is rubbed and seasoned with custom blends and  spices from the Valtellina region.",Bresaola Cured Beef,M145,,2.7 LB Piece,,,,,https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m145_0.jpg,7.73E+12,,,https://www.chefswarehouse.com/products/M145/,CITTERIO,,Cheese,,FRIGORAFICO TACUAREMBA S.A.,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/salami-cured-meats/m145_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Salami & Cured Meats"",""sub-category"":""Charcuterie"",""sub-sub-category"":""Salami & Cured Meats"",""supplier_name"":"""",""country_of_origin"":""Uruguay"",""Group"":""Food"",""Level 1 Category"":""Dairy & Eggs"",""Level 2 category"":""Cheese"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_M145-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2.7 LB Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""M145""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_M145-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""2.7 LB Piece""}}],""businessUnit"":""200001""}]}"
