description,name,sku,pack,size,gtin,name,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Philadelphia Original Cream Cheese traces its roots back to 1872, and it has been the standard of high quality cream cheese ever since. Today, it is made with five simple ingredients and is perfect for adding creaminess to recipes. You already love it for cheesecakes and dips, but be sure to give it a try for making creamy pasta sauce, delectable no-bake desserts, rich soups and much more. Local dairy farmers near Beaver Dam, WI and Lowville, NY supply Philly with fresh milk, which we combine with real cream. The entire process from farm to creamery takes just six days. But we don't stop at farm fresh milk and real cream. We also never add artificial preservatives, flavors or dyes in any of our cream cheese spreads. So in the end, everything just seems a little bit better with the creamy taste of Philly.",Cream Cheese Loaf,CC220,,6x3 LB BC,,Cream Cheese Loaf,,,,https://www.chefswarehouse.com/siteassets/pim-images/cream-cheese/cc220_0.jpg,2100061600,,,https://www.chefswarehouse.com/products/CC220/,PHILADELPHIA,,,,THE KRAFT HEINZ COMPANY,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/cream-cheese/cc220_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Cream Cheese"",""sub-category"":""Cream Cheese"",""sub-sub-category"":""Cream Cheese"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CC220-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CC220""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CC220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x3 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_CC220-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CC220""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CC220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x3 LB BC""}}],""businessUnit"":""200001""}]}"
"Produced in the heart of the Brie area, our Artisan Brie is a regional cheese of quality that is made by hand using traditional methods. Our cheese artisan, through extensive research, is able to offer this pasteurized cows' milk artisan brie with an extraordinary flavor and appearance found in only the finest cow's milk cheeses. The cheese is carefully aged for two weeks. Its extraordinary full cream flavor is indeed spectacular. For a cheeseboard, serve this brie at room temperature with slices of pear and a glass of herbaceous, dry pinot grigio or a fruity weissbier.",Brie Cheese,CB157,,1x1 K Piece,,Brie Cheese,,,,https://www.chefswarehouse.com/siteassets/pim-images/brie-triple-crème-/cb157_0.jpg,1.01E+13,,,https://www.chefswarehouse.com/products/CB157/,EIFFEL TOWER,,,,ATALANTA CORPORATION,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/brie-triple-crème-/cb157_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Brie & Triple Crème"",""sub-category"":""Cheese"",""sub-sub-category"":""Brie & Triple Crème"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CB157-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""1x1 K Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CB157""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CB157-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x1 K Piece""}}],""businessUnit"":""200001""}]}"
"This pasteurized Manchego is from a family-owned company based outside of Cuenca, Spain. After three months of aging, it is nutty, creamy, and full-flavored. The taste is full and fills the entire mouth. There is a nice balance between acid up front and the rich finish.",3-Month Manchego Cheese,CM105,,1x6 LB PC (2 PER Case),,3-Month Manchego Cheese,,,,https://www.chefswarehouse.com/siteassets/pim-images/hispanic-cheeses-/cm105_0.jpg,9.84E+13,,,https://www.chefswarehouse.com/products/CM105/,AURORA,,,,"FOREVER CHEESE, INC.",Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/hispanic-cheeses-/cm105_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Hispanic Cheeses"",""sub-category"":""Cheese"",""sub-sub-category"":""Hispanic Cheeses"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CM105-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""1x6 LB PC (2 PER Case)"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CM105""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CM105-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x6 LB PC (2 PER Case)""}}],""businessUnit"":""200001""}]}"
"With a superbly creamy texture and a slightly sweet, earthy flavor, this Burrata is a welcome addition to any appetizer, cheese board, or entrée. Hailing from Wisconsin, this cheese is prepared to order using cow’s milk from Midwest farmers. Its delightfully silken texture comes from bathing unspun mozzarella curds in fresh heavy cream and then sealing this blend inside a fresh mozzarella skin. Each piece is hand-crafted for precision and stored in water to prevent spoilage.",Burrata Cheese Ball,930710,,6 x 8 Oz (2-4oz) Case,,Burrata Cheese Ball,,,,https://www.chefswarehouse.com/siteassets/pim-images/mozzarella-burrata-/930710_0.jpg,31142001143,,,https://www.chefswarehouse.com/products/930710/,BELGIOIOSO,,,,BEGIOIOSO CHEESE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/mozzarella-burrata-/930710_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Mozzarella & Burrata"",""sub-category"":""Cheese"",""sub-sub-category"":""Mozzarella & Burrata"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_930710-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 8 Oz (2-4oz) Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""930710""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_930710-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 8 Oz (2-4oz) Case""}}],""businessUnit"":""200001""}]}"
"Grated Parmesan cheese, is a hard, nutty Italian cheese that is made from cow's milk. It is aged for at least two years to develop its distinctive flavor and texture, which are both complex and robust. Grated Parmesan cheese is a popular ingredient in Italian cuisine and is often used as a topping for pasta dishes, salads, soups, and pizzas. It has a granular texture that crumbles easily, and its intense flavor is perfect for adding depth and richness to a wide range of recipes.",Grated Parmesan Cheese,CP100,,5 LB Piece,,Grated Parmesan Cheese,,,,https://www.chefswarehouse.com/siteassets/pim-images/italian-style-cheeses-/cp100_0.jpg,10096021704,,,https://www.chefswarehouse.com/products/CP100/,CHEESE MERCHANTS,,,,CAPUTO,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/italian-style-cheeses-/cp100_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Italian Style Cheeses"",""sub-category"":""Cheese"",""sub-sub-category"":""Italian Style Cheeses"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CP100-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""5 LB Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CP100""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CP100-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""5 LB Piece""}}],""businessUnit"":""200001""}]}"
"Calabro Fresh Ricotta Cone is a high-quality and fresh cheese made from the finest cow's milk. It is a classic Italian cheese that is known for its light and fluffy texture, creamy taste, and versatility in the kitchen. The fresh ricotta is made by heating the whey left over from the production of other cheeses, and then adding fresh whole milk to create a curd. The curd is then drained and molded into a cone shape, which makes it easy to slice and serve. Calabro Fresh Ricotta Cone is perfect for a wide range of culinary applications, such as using it as a filling for pastries, as a topping for pizzas and bruschetta, or as an ingredient in pasta dishes. It can also be used in desserts, such as cannolis, tiramisu, and cheesecake.",Fresh Ricotta Cheese Cone,D128,,12 x 3 LB Case,,Fresh Ricotta Cheese Cone,,,,https://www.chefswarehouse.com/siteassets/pim-images/ricotta-mascarpone-/d128_0.jpg,71715001149,,,https://www.chefswarehouse.com/products/D128/,CALABRO,,,,CALABRO CHEESE CORP.,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/ricotta-mascarpone-/d128_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Ricotta & Mascarpone"",""sub-category"":""Cheese"",""sub-sub-category"":""Ricotta & Mascarpone"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_D128-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""12 x 3 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""D128""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_D128-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 3 LB Case""}}],""businessUnit"":""200001""}]}"
"This Gruyere King Cut Swiss Cheese Loaf is the culmination of centuries of Switzerland�s cheesemaking mastery. This cheese relies on fresh milk brought in twice daily from local farms, ensuring that you get the most high quality finished product. The cheese is then prepared in copper vats and left to mature in cellars, where expert cheesemakers closely watch the aging process for maximum flavor development. This gruyere boast hints of candied walnut as well as a touch of warm spice and dried fruits, resulting in a cheese that is just the slightest bit sweet with a luxuriously rich texture.",Gruyere King Cut Swiss Cheese Loaf,CG140,,6 LB Case,,Gruyere King Cut Swiss Cheese Loaf,,,,https://www.chefswarehouse.com/siteassets/pim-images/swiss-alpine-style-/cg140_0.jpg,71928000373,,,https://www.chefswarehouse.com/products/CG140/,EMMI,,,,EMMI ROTH KASE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/swiss-alpine-style-/cg140_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Swiss & Alpine Style"",""sub-category"":""Cheese"",""sub-sub-category"":""Swiss & Alpine Style"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CG140-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CG140""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CG140-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 LB Case""}}],""businessUnit"":""200001""}]}"
"Blue cheese crumbles are small pieces of blue cheese that have been crumbled or broken up for easy use in salads, dressings, and other dishes. Blue cheese is a type of cheese that is known for its distinctive, sharp flavor and creamy texture, with blue or green veins running through it. The crumbles are typically made from high-quality blue cheese, which is aged for several months to develop its characteristic flavor. They can be used to add a tangy, rich flavor to a wide variety of dishes, from salads and sandwiches to pizza and pasta.",Blue Cheese Crumbles,CB115,,1x5 LB PC (4 PER Case),,Blue Cheese Crumbles,,,,https://www.chefswarehouse.com/siteassets/pim-images/blue-cheeses-/cb115_0.jpg,75805203017,,,https://www.chefswarehouse.com/products/CB115/,STELLA,,,,STELLA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/blue-cheeses-/cb115_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Blue Cheeses"",""sub-category"":""Cheese"",""sub-sub-category"":""Blue Cheeses"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_CB115-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""1x5 LB PC (4 PER Case)"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CB115""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CB115-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""1x5 LB PC (4 PER Case)""}}],""businessUnit"":""200001""}]}"
"This 18-24 Month Parmesan Reggiano Cheese Wheel is edible proof that good things really do take time. This PDO cheese is crafted using cows milk from particular Italian regions including Parma and Bologna, allowing for a taste of tradition that is difficult to top. Aging yields an unmistakable sensation of umami and a robust nutty, vaguely fruity flavor. This cheese is lactose free and offers a hard, dense texture perfect for an indulgent snack or simple garnish. Pair with a glass of chilled Chianti or Sauvignon Blanc for a delightful after-dinner treat.",18-24 Month Parmesan Reggiano Cheese 1/4 Wheel,CP112,,20 LB Piece,,18-24 Month Parmesan Reggiano Cheese 1/4 Wheel,,,,https://www.chefswarehouse.com/siteassets/pim-images/italian-style-cheeses-/cp112_0.jpg,,,,https://www.chefswarehouse.com/products/CP112/,ITALIAN,,,,ZANETTI SPA,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/italian-style-cheeses-/cp112_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Italian Style Cheeses"",""sub-category"":""Cheese"",""sub-sub-category"":""Italian Style Cheeses"",""supplier_name"":"""",""country_of_origin"":""PEND"",""product_variants"":[{""code"":""JDE_CP112-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""20 LB Piece"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CP112""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CP112-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""20 LB Piece""}}],""businessUnit"":""200001""}]}"
"Domestic Feta is a popular cheese that is known for its tangy and salty flavor and crumbly texture. Made from high-quality cow's milk, this cheese is carefully crafted to create a delicious and versatile ingredient that is perfect for a variety of dishes. Domestic Feta is a versatile cheese that can be used in a variety of dishes, including salads, pasta dishes, and sandwiches. It can also be used as a topping for pizza or added to omelets and frittatas for added flavor and richness.",Feta Cheese,CF100,,2x8 LB BC,,Feta Cheese,,,,https://www.chefswarehouse.com/siteassets/pim-images/feta-greek-cheese/cf100_0.jpg,1.07E+13,,,https://www.chefswarehouse.com/products/CF100/,EUPHRATES,,,,EUPHRATES INC.,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/feta-greek-cheese/cf100_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Feta & Greek Cheese"",""sub-category"":""Cheese"",""sub-sub-category"":""Feta & Greek Cheese"",""supplier_name"":"""",""country_of_origin"":""United States"",""product_variants"":[{""code"":""JDE_CF100-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""2x8 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CF100""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CF100-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x8 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_CF100-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""2x8 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CF100""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CF100-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""2x8 LB BC""}}],""businessUnit"":""200001""}]}"
