description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Unsalted Butter is a premium quality dairy product that brings a rich, creamy taste and texture to your cooking and baking. This butter is made from the highest quality cream, which is carefully churned to create a smooth and velvety texture. Unsalted Butter has a pure and natural taste that is perfect for adding to your favorite recipes. Its rich flavor and creamy texture make it perfect for spreading on bread, melting on vegetables or meats, or using as a base for sauces, soups, and baked goods. This butter is free from any added salt or artificial additives, making it a healthy and natural option for your cooking and baking needs.",80% Unsalted Butter Prints,BB170,,36 x 1 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/butter/bb170_0.jpg,,,,https://www.chefswarehouse.com/products/BB170/,GRAND RESERVE,,Butter,,GRASSLAND DAIRY PRODUCTS INC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/butter/bb170_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Butter"",""sub-category"":""Butter"",""sub-sub-category"":""Butter"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Butter"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_BB170-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""36 x 1 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""BB170""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_BB170-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""36 x 1 LB Case""}}],""businessUnit"":""200001""}]}"
"Philadelphia Original Cream Cheese traces its roots back to 1872, and it has been the standard of high quality cream cheese ever since. Today, it is made with five simple ingredients and is perfect for adding creaminess to recipes. You already love it for cheesecakes and dips, but be sure to give it a try for making creamy pasta sauce, delectable no-bake desserts, rich soups and much more. Local dairy farmers near Beaver Dam, WI and Lowville, NY supply Philly with fresh milk, which we combine with real cream. The entire process from farm to creamery takes just six days. But we don't stop at farm fresh milk and real cream. We also never add artificial preservatives, flavors or dyes in any of our cream cheese spreads. So in the end, everything just seems a little bit better with the creamy taste of Philly.",Cream Cheese Loaf,CC220,,6x3 LB BC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/cream-cheese/cc220_0.jpg,2100061600,,,https://www.chefswarehouse.com/products/CC220/,PHILADELPHIA,,Cream Cheese,Cream Cheese,THE KRAFT HEINZ COMPANY,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/cream-cheese/cc220_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Cream Cheese"",""sub-category"":""Cream Cheese"",""sub-sub-category"":""Cream Cheese"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Cream Cheese"",""Level 3 category"":""Cream Cheese"",""product_variants"":[{""code"":""JDE_CC220-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CC220""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CC220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x3 LB BC""}}],""businessUnit"":""200001""},{""code"":""JDE_CC220-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6x3 LB BC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""CC220""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_CC220-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6x3 LB BC""}}],""businessUnit"":""200001""}]}"
"Coconut milk is a creamy and flavorful liquid made from the meat of coconuts. It is a popular ingredient in many cuisines, particularly in Southeast Asian and Caribbean dishes. The milk is made by grating the meat of a mature coconut and blending it with water, then straining the mixture to remove any remaining bits of coconut. Coconut milk can be used in a wide variety of dishes, from curries and soups to smoothies and baked goods.",Coconut Milk,VN148400,,6 x #10 Can Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy2/vn148400_0.jpg,44738075145,,,https://www.chefswarehouse.com/products/VN148400/,CHAOKOH,,Milk,,MCCORMICK,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy2/vn148400_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Plant Based Dairy"",""sub-category"":""Plant Based Dairy"",""sub-sub-category"":""Plant Based Dairy"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Milk"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_VN148400-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x #10 Can Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN148400""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN148400-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x #10 Can Case""}}],""businessUnit"":""200001""},{""code"":""JDE_VN148400-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6 x #10 Can Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""VN148400""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_VN148400-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x #10 Can Case""}}],""businessUnit"":""200001""}]}"
"Fage 5% is a high-quality Greek yogurt that is known for its rich and creamy texture, as well as its delicious and tangy flavor. This yogurt is made using all-natural ingredients, including milk and live active cultures, giving it a pure and authentic taste. This yogurt is perfect for using in a wide range of culinary applications.",Plain Greek Yogurt,D102,,6 x 1 KG Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/yogurt-cottage-cheese/d102_0.jpg,6.90E+11,,,https://www.chefswarehouse.com/products/D102/,FAGE,,Yogurt,Greek,FAGE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/yogurt-cottage-cheese/d102_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Yogurt & Cottage Cheese"",""sub-category"":""Dairy Products"",""sub-sub-category"":""Yogurt & Cottage Cheese"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Yogurt"",""Level 3 category"":""Greek"",""product_variants"":[{""code"":""JDE_D102-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 1 KG Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""D102""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_D102-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 1 KG Case""}}],""businessUnit"":""200001""},{""code"":""JDE_D102-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6 x 1 KG Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""D102""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_D102-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 1 KG Case""}}],""businessUnit"":""200001""}]}"
"Whole milk is a dairy product that is made from the milk of cows, and is one of the most commonly consumed types of milk around the world. Whole milk is called ""whole"" because it contains all of the fat and nutrients that are naturally found in milk, making it a rich and creamy beverage.",Whole Milk Gallon,DM110,,4 x 1 Gallon PC,,,,,https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/dm110_0.jpg,7989400133,,,https://www.chefswarehouse.com/products/DM110/,CREAM-O-LAND,,Milk,Whole (Dry),CREAM-O-LAND DAIRIES LLC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/dm110_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Milk & Cream"",""sub-category"":""Dairy Products"",""sub-sub-category"":""Milk & Cream"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Milk"",""Level 3 category"":""Whole (Dry)"",""product_variants"":[{""code"":""JDE_DM110-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""4 x 1 Gallon PC"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""DM110""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_DM110-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""4 x 1 Gallon PC""}}],""businessUnit"":""200001""}]}"
"Cabot sour cream is a tangy, creamy dairy product made from pasteurized milk and cream. It has a rich, smooth texture and a mildly sour taste that is perfect for enhancing the flavors of savory dishes or adding a touch of tanginess to sweet desserts. Cabot sour cream is great for topping baked potatoes, mixing into dips and dressings, or using as a base for creamy sauces. It is made without any artificial flavors or preservatives.",Sour Cream,10303734,,6 x 5 LB Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/sour-cream-crème-fraiche/10303734_0.jpg,78354201985,,,https://www.chefswarehouse.com/products/10303734/,CABOT CREAMERY,,Cream,Sour Cream,CABOT CREAMERY COOPERATIVE,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/sour-cream-crème-fraiche/10303734_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Sour Cream & Crème Fraiche"",""sub-category"":""Dairy Products"",""sub-sub-category"":""Sour Cream & Crème Fraiche"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Cream"",""Level 3 category"":""Sour Cream"",""product_variants"":[{""code"":""JDE_10303734-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""6 x 5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10303734""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10303734-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 5 LB Case""}}],""businessUnit"":""200001""},{""code"":""JDE_10303734-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""6 x 5 LB Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10303734""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10303734-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""6 x 5 LB Case""}}],""businessUnit"":""200001""}]}"
"40% Heavy Cream is a premium quality dairy product that brings a rich, luxurious taste and texture to your cooking and baking. With its high fat content of 40%, this cream has an incredibly rich and velvety texture that is perfect for adding to coffee, tea, or using as a base for sauces, soups, and desserts. It has a subtle sweetness and a smooth, silky finish that will elevate the flavor and texture of any dish.",40% Heavy Cream,DM116,,1 Quart Each,,,,,https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/dm116_0.jpg,75976002532,,,https://www.chefswarehouse.com/products/DM116/,GRAND RESERVE,,Cream,Heavy Whipping Cream,BEL CANTO FOODS LLC,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/dm116_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Milk & Cream"",""sub-category"":""Dairy Products"",""sub-sub-category"":""Milk & Cream"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Cream"",""Level 3 category"":""Heavy Whipping Cream"",""product_variants"":[{""code"":""JDE_DM116-200001"",""metadata"":{""unitOfMeasure"":""PC"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Piece"",""weight"":""1 Quart Each"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""DM116""}},{""field"":""product.uom"",""prefill"":{""value"":""Piece"",""options"":[{""text"":""Piece"",""value"":""Piece""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_DM116-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""PC""}},{""field"":""product.packSize"",""prefill"":{""value"":""1 Quart Each""}}],""businessUnit"":""200001""}]}"
"Sweetened condensed milk is a thick, rich and sweet dairy product that is made by removing most of the water from regular milk, and then adding sugar. It is commonly used as an ingredient in baking, and is popular in recipes for pies, cakes, and fudge, as well as in beverages like coffee and tea.",Sweetened Condensed Milk,GD205,,24x14 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/gd205_0.jpg,1.07E+13,,,https://www.chefswarehouse.com/products/GD205/,MAGNOLIA,,Milk,,EAGLE FAMILY FOOD GROUP,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/milk-cream/gd205_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Pasteurized"",""text"":""Pasteurized"",""abbreviation"":""Pasteurized""},""category"":""Milk & Cream"",""sub-category"":""Dairy Products"",""sub-sub-category"":""Milk & Cream"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Milk"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GD205-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""24x14 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GD205""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GD205-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""24x14 Oz Case""}}],""businessUnit"":""200001""}]}"
"So you’re a barista? Perfect. This carton of Barista Edition Oatmilk is made from liquid oats which means it isn’t overly sweet or excessively """"heavy"""". What it is, is fully foamable putting you in total control over the density and performance of your foam so you can showcase your latte art skillz, sorry we mean skills. Anyway, give it a try and see what you think.   So you’re not a barista? Also perfect. Just heat this Barista Edition Oatmilk in a container while giving it a whirl until it foams up nicely and then pour yourself a latte without cow’s milk. And if you don’t feel like a latte you might be happy to know that this product tastes just as amazing if you skip all the foaming and pour it right into your coffee or drink it straight out of the container or pour it on your granola or put it to work with your cooking skills. But let’s keep that between us non-baristas, okay?",Barista Oat Milk,10615236,,12 x 32 Oz Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy2/10615236_0.jpg,1.91E+11,,,https://www.chefswarehouse.com/products/10615236/,OATLY,,Milk,,OATLY,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy2/10615236_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":{""name"":""Kosher"",""text"":""Kosher"",""abbreviation"":""Kosher""},""category"":""Plant Based Dairy"",""sub-category"":""Plant Based Dairy"",""sub-sub-category"":""Plant Based Dairy"",""supplier_name"":"""",""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Milk"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_10615236-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""12 x 32 Oz Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""10615236""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_10615236-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""12 x 32 Oz Case""}}],""businessUnit"":""200001""}]}"
"Coconut Milk is a creamy and versatile ingredient commonly used in various cuisines worldwide. Made from fresh and ripe coconuts, this milk is naturally gluten-free, dairy-free, and vegan, making it an excellent substitute for dairy milk in many recipes. It has a smooth texture and a mildly sweet, nutty flavor that adds depth and richness to many dishes, including curries, soups, sauces, desserts, and smoothies",Grade A Coconut Milk,GD202,,24x13.5 Oz CAN Case,,,,,https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy-/gd202_0.jpg,4.00E+13,,,https://www.chefswarehouse.com/products/GD202/,MT THAI,,Milk,,MT THAI,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/plant-based-dairy-/gd202_0.jpg"",""avg_case_weight"":"""",""dietaryTags"":""sdf"",""category"":""Plant Based Dairy"",""sub-category"":""Plant Based Dairy"",""sub-sub-category"":""Plant Based Dairy"",""supplier_name"":"""",""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Dairy and Eggs"",""Level 2 category"":""Milk"",""Level 3 category"":"""",""product_variants"":[{""code"":""JDE_GD202-200001"",""metadata"":{""unitOfMeasure"":""CS"",""chefItemFlag"":false,""bto"":false,""supermarket"":false,""stockingType"":""P""},""text"":""Case"",""weight"":""24x13.5 Oz CAN Case"",""notifyFormPrefill"":[{""field"":""product.itemNumber"",""prefill"":{""value"":""GD202""}},{""field"":""product.uom"",""prefill"":{""value"":""Case"",""options"":[{""text"":""Case"",""value"":""Case""}]}},{""field"":""variant.code"",""prefill"":{""value"":""JDE_GD202-200001""}},{""field"":""product.uomcode"",""prefill"":{""value"":""CS""}},{""field"":""product.packSize"",""prefill"":{""value"":""24x13.5 Oz CAN Case""}}],""businessUnit"":""200001""}]}"
