description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"Nicknamed wheat-meat, this meat substitute is made from wheat gluten and celebrated for its texture and substantial protein content. This is a popular substitute for chicken, ideal for sandwiches, soups, or any dish where you would traditionally use chicken.",Ray's Seitan,927183,,2 x 5 LB Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/927183_0.jpg,74873300567,,,https://www.chefswarehouse.com/products/927183/,WESTSOY,,,,KEYSTONE NATURAL,Chefs' Warehouse,,"{""storage_type"":""Refrigerated"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/927183_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Kosher\"",\""text\"":\""Kosher\"",\""abbreviation\"":\""Kosher\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Appetizers"",""product_variants"":""[{\""code\"":\""JDE_927183-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""2 x 5 LB Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""927183\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_927183-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""2 x 5 LB Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"The most popular Neapolitan pizza in the world, which symbolizes the Italian flag with green basil, white mozzarella and red tomato sauce. Our pomodoro sauce is made from shining ruby red tomatoes fresh off the vines in Italy. Our Fior di Latte mozzarella is referred to as ""oro bianco"" which means ""white gold"" because of its high quality and when combined with the parmesan we include, creates magic in your mouth. Every pie is handmade in Naples, Italy and sustainably shipped right to your door.",Margherita Pizza,10535973,,10 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10535973_0.jpg,8 1001297100 3,,,https://www.chefswarehouse.com/products/10535973/,APIZZA VICTUS,,,,VICTUS LLC,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10535973_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Pasteurized\"",\""text\"":\""Pasteurized\"",\""abbreviation\"":\""Pasteurized\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""Italy"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""French Fries"",""product_variants"":""[{\""code\"":\""JDE_10535973-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10535973\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10535973-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
Swedish Beef Meatballs 62 oz,Swedish Beef Meatballs,F790,,4x62 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f790_0.jpg,1380030075,,,https://www.chefswarehouse.com/products/F790/,STOUFFERS,,,,NESTLE PROFESSIONAL,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f790_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Frozen Breakfast"",""product_variants"":""[{\""code\"":\""JDE_F790-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4x62 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""F790\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_F790-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4x62 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
Chicken Parmigiana is a Frozen Entrees product in the Frozen category.,Chicken Parmigiana,F783,,4x62 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f783_0.jpg,1380030179,,,https://www.chefswarehouse.com/products/F783/,STOUFFERS,,,,NESTLE PROFESSIONAL,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f783_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Frozen Entrees"",""product_variants"":""[{\""code\"":\""JDE_F783-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4x62 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""F783\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_F783-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4x62 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Fermented with a 12 yr old starter, Hand stretched, Baked with Charred edges. Topped with Crushed Plum Tomatoes, Fresh Mozzarella and Fresh Basil in a Beautifully designed Bag for Retail.",Sourdough Margherita Pizza,10762244,,10 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10762244_0.jpg,63287271214,,,https://www.chefswarehouse.com/products/10762244/,PROJECT PIZZA,,,,"ULTRA THIN READY TO BAKE PIZZA SHELLS, N.Y. ,LLC",Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10762244_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Organic\"",\""text\"":\""Organic\"",\""abbreviation\"":\""Organic\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Ice Cream"",""product_variants"":""[{\""code\"":\""JDE_10762244-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10762244\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10762244-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
Stouffers Salisbury Steak 96 oz,Salisbury Steak,F786S,,4x96 Oz Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f786s_0.jpg,1.00E+13,,,https://www.chefswarehouse.com/products/F786S/,STOUFFERS,,,,NESTLE PROFESSIONAL,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/f786s_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Pasta"",""product_variants"":""[{\""code\"":\""JDE_F786S-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""4x96 Oz Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""F786S\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_F786S-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""4x96 Oz Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"Our mozzarella pizza has been designed to be a “white canvas” to unleash your culinary creativity by allowing you to add any toppings or sauces that you like. If you are a mozzarella lover, it can also be enjoyed as is. Known in Italy as Oro Bianco our fior di Latte Mozzarella combines delicate taste with a smooth texture. It gently melts and leaves a taste that is bold, creamy, and faintly tart all at once. Every pie is handmade in Naples, Italy and sustainably shipped right to your door.",Mozzarella Pizza,10535949,,10 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10535949_0.jpg,,,,https://www.chefswarehouse.com/products/10535949/,APIZZA VICTUS,,,,VICTUS LLC,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10535949_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Pasteurized\"",\""text\"":\""Pasteurized\"",\""abbreviation\"":\""Pasteurized\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""Italy"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Pizza"",""product_variants"":""[{\""code\"":\""JDE_10535949-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10535949\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10535949-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"We took our signature Margherita pie and made it Certified Gluten-Free. Instead of using a common base, we combine three gluten-free bases to create our proprietary crust. Then we topped it with our traditional pomodoro sauce, Fior di Latte mozzarella, parmesan, and basil to complete a gluten-free Neapolitan masterpiece. Each pizza is handmade in Naples, Italy and sustainably shipped right to you.",Gluten-Free Neapolitan Margherita Pizza,10536044,,10 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10536044_0.jpg,8 1001297004 4,,,https://www.chefswarehouse.com/products/10536044/,TALIA,,,,VICTUS LLC,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10536044_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Pasteurized\"",\""text\"":\""Pasteurized\"",\""abbreviation\"":\""Pasteurized\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""Italy"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Specialty Potatoes"",""product_variants"":""[{\""code\"":\""JDE_10536044-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10536044\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10536044-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
French Bread Cheese Pizza is a Stuffings product in the Frozen category.,French Bread Cheese Pizza,10228877,,60 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10228877_0.jpg,,,,https://www.chefswarehouse.com/products/10228877/,TONYS,,,,SCHWAN'S FOOD SERVICE,Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10228877_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Stuffings"",""product_variants"":""[{\""code\"":\""JDE_10228877-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""60 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10228877\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10228877-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""60 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"12” Original Thin Crust, topped with Ground Tomato, Seasoning and Shredded Mozzarella in a Beautifully designed Bag for Retail.",NY Bar Pizza Pie,10762236,,10 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10762236_0.jpg,63287261214,,,https://www.chefswarehouse.com/products/10762236/,PROJECT PIZZA,,,,"ULTRA THIN READY TO BAKE PIZZA SHELLS, N.Y. ,LLC",Chefs' Warehouse,,"{""storage_type"":""Frozen"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/family-meals/10762236_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Pasteurized\"",\""text\"":\""Pasteurized\"",\""abbreviation\"":\""Pasteurized\""}"",""category"":""Family Meals"",""sub-category"":""Family Meals"",""sub-sub-category"":null,""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Food"",""Level 1 Category"":""Frozen"",""Level 2 Category"":""Appetizers"",""product_variants"":""[{\""code\"":\""JDE_10762236-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""10762236\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_10762236-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
