description,name,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"21"" Disposable Pastry Bags belongs to the Supplies & Equipment under Apparel & Uniforms and ApparelBeverage Cups.","21"" Disposable Pastry Bags",GB510A,,10x100 Count BC,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/gb510a_0.jpg,8.02E+11,,,https://www.chefswarehouse.com/products/GB510A/,CRESCENDO,,,,BEL CANTO FOODS LLC,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/gb510a_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""{\""name\"":\""Kosher\"",\""text\"":\""Kosher\"",\""abbreviation\"":\""Kosher\""}"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""ApparelBeverage Cups"",""product_variants"":""[{\""code\"":\""JDE_GB510A-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""10x100 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""GB510A\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_GB510A-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10x100 Count BC\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_GB510A-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""10x100 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""GB510A\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_GB510A-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""10x100 Count BC\""}}],\""businessUnit\"":\""200001\""}]""}"
Disposable Pastry Bag 18 Inch belongs to the Supplies & Equipment under Apparel & Uniforms and Beverage Lids.,Disposable Pastry Bag 18 Inch,929172,,1x100 Count Piece,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/929172_0.jpg,6.16E+11,,,https://www.chefswarehouse.com/products/929172/,THERMOHAUSER,,,,DISTRIBUTED BY TCW,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/929172_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies"",""sub-category"":""Baking Supplies"",""sub-sub-category"":""Baking Supplies "",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Beverage Lids"",""product_variants"":""[{\""code\"":\""JDE_929172-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1x100 Count Piece\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""929172\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_929172-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x100 Count Piece\""}}],\""businessUnit\"":\""200001\""}]""}"
Clear Acetate Sheet belongs to the Supplies & Equipment under Apparel & Uniforms and Bowls.,Clear Acetate Sheet,QZ112208,,1x50 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz112208_0.jpg,,,,https://www.chefswarehouse.com/products/QZ112208/,KOPYKAKE,,,,KOPYKAKE,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz112208_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Bowls"",""product_variants"":""[{\""code\"":\""JDE_QZ112208-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""1x50 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""QZ112208\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_QZ112208-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1x50 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
CHARGERS CREAM WHIPPERS ECO belongs to the Supplies & Equipment under Apparel & Uniforms and Carryout Bags.,CHARGERS CREAM WHIPPERS ECO,82671BN,,12x50 Count BC,, ,,,https://www.chefswarehouse.comundefined,9.00E+12,,,https://www.chefswarehouse.com/products/82671BN/,ISI,,,,ISI NORTH AMERICA,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.comundefined"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies"",""sub-category"":""Baking Supplies"",""sub-sub-category"":""Baking Supplies "",""supplier_name"":null,""country_of_origin"":""Austria"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Carryout Bags"",""product_variants"":""[{\""code\"":\""JDE_82671BN-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""12x50 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""82671BN\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_82671BN-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""12x50 Count BC\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_82671BN-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""12x50 Count BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""82671BN\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_82671BN-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""12x50 Count BC\""}}],\""businessUnit\"":\""200001\""}]""}"
"22"" Disposable Heavy Pastry Bags belongs to the Supplies & Equipment under Apparel & Uniforms and Coffee & Tea Filters.","22"" Disposable Heavy Pastry Bags",5502TH47300,,100 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/5502th47300_0.jpg,,,,https://www.chefswarehouse.com/products/5502TH47300/,THERMOHAUSER,,,,"THERMOHAUSER OF AMERICA, INC",Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/5502th47300_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies"",""sub-category"":""Baking Supplies"",""sub-sub-category"":""Baking Supplies "",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Coffee & Tea Filters"",""product_variants"":""[{\""code\"":\""JDE_5502TH47300-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""100 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""5502TH47300\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_5502TH47300-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""100 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"16"" Disposable Pastry Bags belongs to the Supplies & Equipment under Apparel & Uniforms and Containers.","16"" Disposable Pastry Bags",59966,,100 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/59966_0.jpg,,,,https://www.chefswarehouse.com/products/59966/,THERMOHAUSER,,,,"THERMOHAUSER OF AMERICA, INC",Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/59966_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Containers"",""product_variants"":""[{\""code\"":\""JDE_59966-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""100 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""59966\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_59966-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""100 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"24"" x 16"" Acetate Sheets belongs to the Supplies & Equipment under Apparel & Uniforms and Lids.","24"" x 16"" Acetate Sheets",GB993,,100 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/gb993_0.jpg,900316,,,https://www.chefswarehouse.com/products/GB993/,CHEF RUBBER,,,,CHEF RUBBER,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies-/gb993_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies"",""sub-category"":""Baking Supplies"",""sub-sub-category"":""Baking Supplies "",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Lids"",""product_variants"":""[{\""code\"":\""JDE_GB993-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""100 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""GB993\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_GB993-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""100 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
Creme Brulee Cup belongs to the Supplies & Equipment under Apparel & Uniforms and Pizza Boxes.,Creme Brulee Cup,QZ113417,,8x720 Count Case BC,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz113417_0.jpg,8.78E+11,,,https://www.chefswarehouse.com/products/QZ113417/,MATISSE,,,,BEL CANTO FOODS LLC,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz113417_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""PEND"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Pizza Boxes"",""product_variants"":""[{\""code\"":\""JDE_QZ113417-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""8x720 Count Case BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""QZ113417\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_QZ113417-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""8x720 Count Case BC\""}}],\""businessUnit\"":\""200001\""},{\""code\"":\""JDE_QZ113417-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""8x720 Count Case BC\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""QZ113417\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_QZ113417-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""8x720 Count Case BC\""}}],\""businessUnit\"":\""200001\""}]""}"
"2"" X 500' Clear Cake Band Roll belongs to the Supplies & Equipment under Apparel & Uniforms and Placemats.","2"" X 500' Clear Cake Band Roll",QZ112205,,1 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz112205_0.jpg,,,,https://www.chefswarehouse.com/products/QZ112205/,KOPYKAKE,,,,KOPYKAKE,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz112205_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""United States"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Placemats"",""product_variants"":""[{\""code\"":\""JDE_QZ112205-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""PC\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Piece\"",\""weight\"":\""1 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""QZ112205\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Piece\"",\""options\"":[{\""text\"":\""Piece\"",\""value\"":\""Piece\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_QZ112205-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""PC\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""1 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
"12"" Round Laminated Gold Straight Edge Cake belongs to the Supplies & Equipment under Apparel & Uniforms and Plates.","12"" Round Laminated Gold Straight Edge Cake",QZ118265,,100 Count Case,, ,,,https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz118265_0.jpg,6.25E+11,,,https://www.chefswarehouse.com/products/QZ118265/,ENJAY,,,,ENJAY CONVERTERS LTD,Chefs' Warehouse,,"{""storage_type"":""Dry"",""image_url"":""https://www.chefswarehouse.com/siteassets/pim-images/baking-supplies/qz118265_0.jpg"",""avg_case_weight"":null,""dietaryTags"":""sdf"",""category"":""Baking Supplies "",""sub-category"":""Baking Supplies "",""sub-sub-category"":""Baking Supplies"",""supplier_name"":null,""country_of_origin"":""Canada"",""Group"":""Non-Food"",""Level 1 Category"":""Supplies & Equipment"",""Level 2 Category"":""Apparel & Uniforms"",""Level 3 Category"":""Plates"",""product_variants"":""[{\""code\"":\""JDE_QZ118265-200001\"",\""metadata\"":{\""unitOfMeasure\"":\""CS\"",\""chefItemFlag\"":false,\""bto\"":false,\""supermarket\"":false,\""stockingType\"":\""P\""},\""text\"":\""Case\"",\""weight\"":\""100 Count Case\"",\""notifyFormPrefill\"":[{\""field\"":\""product.itemNumber\"",\""prefill\"":{\""value\"":\""QZ118265\""}},{\""field\"":\""product.uom\"",\""prefill\"":{\""value\"":\""Case\"",\""options\"":[{\""text\"":\""Case\"",\""value\"":\""Case\""}]}},{\""field\"":\""variant.code\"",\""prefill\"":{\""value\"":\""JDE_QZ118265-200001\""}},{\""field\"":\""product.uomcode\"",\""prefill\"":{\""value\"":\""CS\""}},{\""field\"":\""product.packSize\"",\""prefill\"":{\""value\"":\""100 Count Case\""}}],\""businessUnit\"":\""200001\""}]""}"
