description,sku,pack,size,gtin,name,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
,65644,,1 Each,,Organic Fuyu Persimmons,3.99,,,https://www.traderjoes.com/content/dam/trjo/products/m20701/65644.png,,,,https://www.traderjoes.com/home/products/pdp/organic-fuyu-persimmons-065644,,,,,,,,"{""item_title"":""Organic Fuyu Persimmons"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":116,""name"":""Fruits"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20701/65644.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20701/65644.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20701/65644.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20701/65644.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/65644.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/65644.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20701/65644.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Simple Simmons Organic Fuyu Persimmons\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20701/65644.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":1,""sales_uom_description"":""Each"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":3.99,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Backpack Ready"",""Cheese Board"",""Fall Faves"",""Midday Snacks""],""item_characteristics"":[""Organic""],""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"Sweet potatoes are often thought of as a holiday staple, but peeling and prepping 

pounds of potatoes can create quite a mess (not to mention tire out your hands). 

Trader Joe's has the answer with our 2lb bags of peeled and cut sweet potatoes!  

 

 Trader Joe's Cut Sweet Potatoes can be roasted to perfection with a bit of olive oil, 

salt and pepper, puréed into soups casseroles, breads, and muffins.  Try mashed as 

a healthy alternative to regular mashed potatoes! 

 

Take the hassle out of Thanksgiving dinner, let Trader Joe's do the prep work for 

you! Find them in our refrigerated case for $4.99 but hurry; these are only around for 

a limited time.",93857,,2 Lb,,Cut Sweet Potatoes,5.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/93857.png,,,,https://www.traderjoes.com/home/products/pdp/cut-sweet-potatoes-093857,,,,,,,,"{""item_title"":""Cut Sweet Potatoes"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/93857.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/93857.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/93857.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/93857.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/93857.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/93857.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/93857.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Cut Sweet Potatoes 2 lb\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20702/93857.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":2,""sales_uom_description"":""Lb"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":5.49,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Dinner Hack"",""Effortless Entertaining"",""Fall Faves"",""Let's Bake!""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"¿ 

Growing Region:  San Joaquin Valley, California",56059,,1 Each,,Jumbo Pomegranate,2.99,,,https://www.traderjoes.com/content/dam/trjo/products/m20701/56059.png,,,,https://www.traderjoes.com/home/products/pdp/jumbo-pomegranate-056059,,,,,,,,"{""item_title"":""Jumbo Pomegranate"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":116,""name"":""Fruits"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20701/56059.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20701/56059.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20701/56059.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20701/56059.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/56059.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/56059.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20701/56059.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Pomegranate\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20701/56059.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":1,""sales_uom_description"":""Each"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":2.99,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Cheese Board"",""Fall Faves"",""Finger Food""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"¿ 
 
Growing area:  Ventura County, CA 
 
Product Info: Lacinato kale, also known as Tuscan or Dinosaur Kale, is a member of 
the same family as cauliflower, broccoli and collard greens.  The Lacinato variety has 
dark blue-green leaves, with an ridged texture (like dinosaur skin!).  Like all kales, 
Trader Joe's Lacinato Kale is nutrient-dense, packed with vitamin C, calcium, fiber, 
antioxidants and beta-carotene.   
 
Taste:  Trader Joe's Lacinato Kale has a slightly sweeter and more delicate flavor than 
curly green kale.   
 
Uses:  Saute, boil or braise and then serve as-is, or incorporate into soups, stews, or 
any recipe that calls for greens.  Kale pairs well with a variety of sauces and spices.  
Get creative!  Toss the Kale with oil, sprinkle with salt and pepper and bake in the oven 
for some delicious Kale chips that will be the talk of the town!   
 
Why the tasting panel loved it:  Trader Joe's Lacinato Kale is a nutrient-dense, quick-
cooking AND great-tasting green that is cut, washed and ready to use!  It's a convenient 
and healthy side dish for a busy weeknight meal.",98082,,10 Oz,,Organic Tuscan Kale,2.79,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/98082.png,,,,https://www.traderjoes.com/home/products/pdp/organic-tuscan-kale-098082,,,,,,,,"{""item_title"":""Organic Tuscan Kale"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/98082.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/98082.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/98082.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/98082.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/98082.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/98082.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/98082.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Organic Tuscan Kale\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20702/98082.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":10,""sales_uom_description"":""Oz"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":2.79,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Alfresco Dining"",""Dinner Hack"",""Picnic"",""Put An Egg On It""],""item_characteristics"":[""Organic""],""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"In the early 1990s, an orchardist discovered a new kind of apple growing in his Minnesota Honeycrisp orchard. 
With a little detective work, he determined that local bees had taken the pollen from an unknown tree nearby 
and cross-pollenated it with Honeycrisp blossoms. The SugarBee® was born! 

Fast-forward to present day, and you, dear customers, can enjoy the crisp, firm texture and crunchy bite of 
SugarBees®. Their flavor hints at caramel and molasses, with distinct notes of honey-a fitting homage to their 
raison d'etre (reason for bee-ing, if you will). Snack on slices alongside a bowl of our Maple Spiced Nut Mix [sku 
75094] for an authentically autumnal treat. Or peel and slice these bee-uties to tuck into your seasonal pies, 
tarts, and turnovers. Yum! Pick your own from our produce shelves, while they're in season.

SugarBee® Apples",79142,,2 Lb,,Sugar Bee® Apples,4.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20701/79142.png,,,,https://www.traderjoes.com/home/products/pdp/sugar-bee®-apples-079142,,,,,,,,"{""item_title"":""Sugar Bee® Apples"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":116,""name"":""Fruits"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20701/79142.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20701/79142.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20701/79142.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20701/79142.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/79142.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/79142.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20701/79142.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Sugar Bee® Apples 2lb\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20701/79142.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":2,""sales_uom_description"":""Lb"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":4.49,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Backpack Ready"",""Cheese Board"",""Family Style""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"Delicata Squash is an oblong-shaped, yellow-green variety that's native to North and Central America. Sci-
entifically, it is Curcurbita pepo. Culinarily, it's a true treasure! Delicata is classified as a winter squash because 
when raw, its outer skin is hard like a butternut. Botanically, it's more closely related to summer squashes like 
zucchini; its skin isn't as tough as it first appears, and when you cook it, the skin becomes barely detectable. 
Because of this softer skin, Delicata doesn't store as well, or for as long, as other winter squash varieties, mak-
ing it an autumn treasure that's worth seeking out during its short tenure.

Because of its thin skin, Delicata Squash is easy to prepare in myriad ways. Its yellow-to-orange flesh is sweet, 
rich, and moist-so much so, in fact, that it's often called Sweet Potato Squash. It can be sliced lengthwise, 
seeds scooped out, and roasted, much like you'd do with an acorn or butternut squash. It can also be sliced 
into rounds (seeds removed from centers), seasoned simply with salt and pepper (or maple syrup or brown 
sugar) and baked. There's no need to peel-once cooked, it's easy to eat the skin. This particular squash also 
steams well, and can be cooked in the microwave to applause-worthy result. Also applause-worthy is our price 
of 99 cents for each Trader Joe's Delicata Squash. Because this is a truly seasonal fresh produce item, when 
it's gone, it'll be a while before it makes its way back. You'll find it in our fresh produce section.",50661,,1 Each,,Delicata Squash,1.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/50661.png,,,,https://www.traderjoes.com/home/products/pdp/delicata-squash-050661,,,,,,,,"{""item_title"":""Delicata Squash"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/50661.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/50661.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/50661.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/50661.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/50661.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/50661.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/50661.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Delicata Squash\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20702/50661.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":1,""sales_uom_description"":""Each"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":1.49,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Alfresco Dining"",""Fall Faves"",""Let's Bake!"",""Picnic"",""The \""X\"" Factor""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"It would be really romantic to say that Spaghetti Squash was cultivated in late Renaissance Italy, when Reu-
benesque human figures dominated frescoes, making for overly self-conscious citizens, who subsequently 
sought out low calorie, low carb versions of spaghetti noodles. In actuality, this Squash sometimes cleverly 
known as ""squaghetti,"" was simply named for its cooked texture, which resembles long, thin noodles.

Whether you motivation is ample nude figures in Flemish Renaissance paintings, or just the inability to fit into 
the jeans you wore last fall, Spaghetti Squash does provide a healthy and yummy, seasonal alternative to the 
typical plate of carbs.

To create a spaghetti substitute plate, simply cook your Squash until tender. Microwaving for 5-10 minutes 
works just fine, but you can also bake it in a 350 degree oven for 40 minutes, or until soft. After it cools a little, 
carefully cut the softened Spaghetti Squash in half lengthwise, remove the seeds, and use a fork to loosen the 
spaghetti-like fibers that have emerged during cooking. Next, lightly sauté the ""squaghetti"" with a little oil in a 
pan on the stovetop. This will allow some of the excess moisture to steam off. Finally, put it in a bowl and top 
with your favorite pasta sauce!

As we enter the season of holiday feasts, here's a meal that is not only delicious, but that can also serve to bal-
ance out all those extra helpings of potatoes and stuffing that you know you're going to have. Each Spaghetti 
Squash is just $2.29 in our West Coast stores, and $2.69 elsewhere. Buon Appetito!",91769,,1 Each,,Spaghetti Squash,2.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/91769.png,,,,https://www.traderjoes.com/home/products/pdp/spaghetti-squash-091769,,,,,,,,"{""item_title"":""Spaghetti Squash"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/91769.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/91769.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/91769.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/91769.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/91769.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/91769.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/91769.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Spaghetti Squash\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20702/91769.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":1,""sales_uom_description"":""Each"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":2.49,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Fall Faves"",""Let's Bake!""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"In the early 1990s, an orchardist discovered a new kind of apple growing in his Minnesota Honeycrisp orchard. 
With a little detective work, he determined that local bees had taken the pollen from an unknown tree nearby 
and cross-pollenated it with Honeycrisp blossoms. The SugarBee® was born! 

Fast-forward to present day, and you, dear customers, can enjoy the crisp, firm texture and crunchy bite of 
SugarBees®. Their flavor hints at caramel and molasses, with distinct notes of honey-a fitting homage to their 
raison d'etre (reason for bee-ing, if you will). Snack on slices alongside a bowl of our Maple Spiced Nut Mix [sku 
75094] for an authentically autumnal treat. Or peel and slice these bee-uties to tuck into your seasonal pies, 
tarts, and turnovers. Yum! Pick your own from our produce shelves, while they're in season.

SugarBee® Apples",78597,,1 Each,,Sugar Bee® Apple,1.29,,,https://www.traderjoes.com/content/dam/trjo/products/m20701/78597.png,,,,https://www.traderjoes.com/home/products/pdp/sugar-bee®-apple-078597,,,,,,,,"{""item_title"":""Sugar Bee® Apple"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":116,""name"":""Fruits"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20701/78597.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20701/78597.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20701/78597.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20701/78597.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/78597.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20701/78597.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20701/78597.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Sugar Bee® Apple\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20701/78597.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":1,""sales_uom_description"":""Each"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":1.29,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Backpack Ready"",""Fall Faves"",""Rain or Shine""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"¿ 

 
Growing area:  Leamington, Canada and 
Guanajuato, México",95153,,16 Oz,,Kumato Brown Tomatoes,3.69,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/95153.png,,,,https://www.traderjoes.com/home/products/pdp/kumato-brown-tomatoes-095153,,,,,,,,"{""item_title"":""Kumato Brown Tomatoes"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/95153.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/95153.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/95153.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/95153.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/95153.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/95153.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/95153.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""alt\"":\""Trader Joe's Kumato Brown Tomatoes\"",\""srcOriginal\"":\""/content/dam/trjo/products/m20702/95153.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":16,""sales_uom_description"":""Oz"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":3.69,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Alfresco Dining"",""Cut The Mustard"",""Picnic"",""Put An Egg On It""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
"""Thin-skinned"" isn't generally seen as a sought-after quality-unless you're talking about Yellow Squash. Its 
thin skin makes this summer squash ideal for slicing into ribbons and tossing with lemon juice, halved Organic 
Mixed Medley Cherry Tomatoes [sku 50214], and a few spoonfuls of TJ's Basil Pesto Sauce [sku 75825]. Beneath 
that bright yellow, thin-skinned exterior is slightly seedy, tender flesh that develops an ever-so-faint vegetal 
sweetness when roasted or sautéed, and holds up nicely when sliced into planks, drizzled with Organic Extra 
Virgin Garlic Flavored Olive Oil [sku 96177], and charred on the grill. Yellow Squash makes for a tasty, lower-
carb stand-in for pasta when spiralized and tossed with Rosatella Pasta Sauce [sku 76262], as well.

Because ""peak season"" changes depending on the growing region and season, we offer Yellow Squash from 
California as well as Mexico to ensure we can provide top-notch quality and flavor throughout the year. 
Regardless of where its grown, you're sure to enjoy the incredible value we offer on one-pound packages of 
Trader Joe's Yellow Squash. You'll find them in our refrigerators, every day.

Yellow Squash",32039,,16 Oz,,Yellow Squash,2.29,,,https://www.traderjoes.com/content/dam/trjo/products/m20702/32039.png,,,,https://www.traderjoes.com/home/products/pdp/yellow-squash-032039,,,,,,,,"{""item_title"":""Yellow Squash"",""category_hierarchy"":[{""id"":2,""name"":""Products"",""__typename"":""CategoryTree""},{""id"":8,""name"":""Food"",""__typename"":""CategoryTree""},{""id"":113,""name"":""Fresh Fruits & Veggies"",""__typename"":""CategoryTree""},{""id"":119,""name"":""Veggies"",""__typename"":""CategoryTree""}],""primary_image"":""/content/dam/trjo/products/m20702/32039.png"",""primary_image_meta"":{""url"":""/content/dam/trjo/products/m20702/32039.png"",""metadata"":""{\""src\"":\""/content/dam/trjo/products/m20702/32039.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""srcSet\"":[{\""src\"":\""/content/dam/trjo/products/m20702/32039.png/jcr:content/renditions/webp-640.webp\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/32039.png/jcr:content/renditions/webp-1280.webp\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/webp\""},{\""src\"":\""/content/dam/trjo/products/m20702/32039.png/jcr:content/renditions/cq5dam.web.640.640\"",\""media\"":\""(max-width: 847px)\"",\""type\"":\""image/png\""},{\""src\"":\""/content/dam/trjo/products/m20702/32039.png/jcr:content/renditions/cq5dam.web.1280.1280\"",\""media\"":\""(min-width: 848px)\"",\""type\"":\""image/png\""}],\""srcOriginal\"":\""/content/dam/trjo/products/m20702/32039.png\""}"",""__typename"":""ImageWithMeta""},""sales_size"":16,""sales_uom_description"":""Oz"",""price_range"":{""minimum_price"":{""final_price"":{""currency"":""USD"",""value"":2.29,""__typename"":""Money""},""__typename"":""ProductPrice""},""__typename"":""PriceRange""},""fun_tags"":[""Alfresco Dining"",""Fire Up The Grill"",""Fry It Up"",""Picnic""],""item_characteristics"":null,""__typename"":""SimpleProduct"",""dietaryTags"":"""",""product_variants"":[]}"
