description,sku,pack,size,gtin,name,retail_price,is_catch_weight,average_case_weight,image,manufacturer_sku,ordering_unit,is_broken_case,content_url,brand,level_1,level_2,level_3,manufacturer_name,distributor_name,unit_price,extra_data
"At a big, holiday dinner, every dish has its role. The role of the protein is to act as the anchor, to center the plate 
and give it focus. The role of the veggie side dish is to provide a complementary taste and textural contrast to 
the protein. And of course, one of the most important roles is that of¿ well¿ the roll! Whether it's in the form 
of a dinner roll, mini baguette, or biscuit, the always-stalwart starch is a vital, hearty, gravy-sopping component 
to any holiday meal-and Trader Joe's Cheesy Herby Biscuits serve as a sensationally savory way to ensure 
this role is filled at your feast. 

Made with buttery, flaky dough, flavored with aromatic herbs like rosemary and thyme, and studded with 
shreds of rich Parmesan and Cheddar, our Cheesy Herby Biscuits arrive at our store frozen, so they're easy 
to grab ahead of time without worrying they'll get stale before the big day. They also taste best when baked 
directly from frozen (no need to proof!), in an un-preheated oven set to 375°F for about 30 minutes-the 
gradual heating helps the Biscuits retain their buttery, cheesy texture. Flaky, flavorful, and formidable, Trader 
Joe's Cheesy Herby Biscuits are a fantastic way to fill the roll role at Thanksgiving, the year-end holidays, or 
any other get-together where food is at the forefront. 

Cheesy Herby Biscuits",78929,,12 Oz,,Cheesy Herby Biscuits,4.99,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/78929.png,,,,https://www.traderjoes.com/home/products/pdp/cheesy-herby-biscuits-078929,,,,,,,,"{item_title:Cheesy Herby Biscuits,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/78929.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/78929.png,metadata:{\src\:\/content/dam/trjo/products/m20602/78929.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/78929.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78929.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78929.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/78929.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Cheesy Herby Biscuits\,\srcOriginal\:\/content/dam/trjo/products/m20602/78929.png\},__typename:ImageWithMeta},sales_size:12,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:4.99,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Crack a Beer,Effortless Entertaining,Fall Faves,Family Style,Let's Bake!,Put An Egg On It],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Over the years, we've really grown our selection of Trader Joe's Italian-style pastas. In our freezers, you'll find a 
variety of noodle shapes and sauce options, from Spaghetti Carbonara [sku 75759] and Fettuccine Alfredo [sku 
41423] to Rigatoni Alla Contadina [sku 74185] and Penne Arrabbiata [sku 87813]. One thing these products all 
have in common-aside from being incredibly delicious values-is that they all serve more than one person 
(unless you're super hungry!). We decided it was time we created a single serving, frozen pasta dish, for when 
you're craving a hassle-free meal, but cooking just for one.

It starts with durum wheat Farfalle, a pasta shape not yet featured among our frozen pastas. These bowties 
are covered in a rich & spicy tomato sauce and paired with crumbles of savory Italian Chicken Sausage. To 
prepare, simply cook the Pasta from frozen according to the package instructions, plate it up, and enjoy! 

This Pasta dish is Spicy, but you're craving even more heat, try adding a spoonful of Italian Bomba Hot Pepper 
Sauce [sku 61934]. And if you want to add some fresh flair, we recommend some torn leaves of Organic Basil 
[sku 67343]. With or without these extras, you're in for a tasty meal... and we guarantee you won't have to worry 
about the leftovers. You'll find 12-ounce packages of Trader Joe's Farfalle Pasta with Italian Chicken Sausage 
in our freezers, every day.

Spicy Farfalle Pasta with Italian 
Chicken Sausage",78523,,12 Oz,,Spicy Farfalle Pasta with Italian Chicken Sausage,3.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/78523.png,,,,https://www.traderjoes.com/home/products/pdp/spicy-farfalle-pasta-with-italian-chicken-sausage-078523,,,,,,,,"{item_title:Spicy Farfalle Pasta with Italian Chicken Sausage,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/78523.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/78523.png,metadata:{\src\:\/content/dam/trjo/products/m20602/78523.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/78523.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78523.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78523.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/78523.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Spicy Farfalle Pasta with Italian Chicken Sausage\,\srcOriginal\:\/content/dam/trjo/products/m20602/78523.png\},__typename:ImageWithMeta},sales_size:12,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:3.49,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Dinner Hack,Mouth On Fire,Pair With Wine],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Can you please put the cheese back and get some greens instead? asks the veggie lover of the veggie skeptic 
as they peruse their neighborhood Trader Joe's. If loving cheese is wrong, I don't want to be right! the 
skeptic cries, appalled by such a demand. Suddenly, out of the corners of their eyes, they see it: Cheesy Creamy 
Greens & Veggies. They share a glance. They smile. They realize this rich, Veggie-laden delight is the culinary 
peacemaker of their dreams. 

Cheesy Creamy Greens & Veggies start on a luxurious note with a butter, flour, and nutmeg roux. Onions, 
garlic, and black pepper lend aromatics and spice, while dried porcini mushrooms contribute deep umami. 
Then come provolone and mozzarella. Melty and salty-sweet, they expertly put the cheese in Cheesy Creamy 
Greens & Veggies. And, of course, cooked spinach finds cruciferous comrades in earthy kale and crisp Brussels 
sprouts. The result is a rich, textured, and Veggie-packed side dish or quick dinner that heats from frozen in 
eight minutes or less. Each box yields about two cups prepared, so there's plenty to satisfy even the pickiest of 
eaters. You'll find Cheesy Creamy Greens & Veggies only during the holiday season-pick up a box and bridge 
the veggie divide while supplies last!

Cheesy Creamy Greens & Veggies",78810,,16 Oz,,Cheesy Creamy Greens & Veggies,4.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/78810.png,,,,https://www.traderjoes.com/home/products/pdp/cheesy-creamy-greens-&-veggies-078810,,,,,,,,"{item_title:Cheesy Creamy Greens & Veggies,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/78810.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/78810.png,metadata:{\src\:\/content/dam/trjo/products/m20602/78810.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/78810.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78810.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78810.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/78810.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Cheesy Creamy Greens & Veggies\,\srcOriginal\:\/content/dam/trjo/products/m20602/78810.png\},__typename:ImageWithMeta},sales_size:16,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:4.49,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Dinner Hack,Effortless Entertaining],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Rich and juicy with savory-sweet flavor, it's no wonder that Trader Joe's BBQ Teriyaki Chicken [sku 74961] has 
been a customer favorite since 2004. It's a complete meal alongside white rice and steamed veggies, but on days 
you can't be bothered to take out the rice cooker and the steamer basket, Teriyaki Chicken Bowls make for an 
extra speedy and equally delicious alternative.

Much like the classic Japanese preparations of Teriyaki Chicken, we like to keep it simple. Establishing the 
foundation is chunks of dark Chicken thigh meat-think dense and juicy, with especially Chicken-y flavor. As 
for the sauce, ginger, garlic, and lime juice lend aromatic tang, while soy sauce, toasted sesame oil, and sugar 
contribute quintessentially sweet, umami-laden Teriyaki flavor. 

To make it a complete meal, we lay the Chicken over a bed of Calrose rice, alongside broccoli, carrots, and bok 
choy. It's an all-in-one lunch or dinner that heats from frozen in the microwave in about four minutes. If you've 
got a second to spare, garnish your Bowl with sesame seeds and sliced green onions, or a squirt of Sriracha 
Sauce [sku 50828] for a spicy kick. 

Teriyaki Chicken Bowl",78275,,11.25 Oz,,Teriyaki Chicken Bowl,4.79,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/78275.png,,,,https://www.traderjoes.com/home/products/pdp/teriyaki-chicken-bowl-078275,,,,,,,,"{item_title:Teriyaki Chicken Bowl,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/78275.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/78275.png,metadata:{\src\:\/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Teriyaki Chicken Bowl\,\srcOriginal\:\/content/dam/trjo/products/m20602/78275.png\},__typename:ImageWithMeta},sales_size:11.25,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:4.79,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Dinner Hack],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Roti canai is a flatbread and curry dish that originated in India in the 1800s. In the decades after its inception, 
Southeast Asian countries like Brunei, Indonesia, Malaysia, Singapore, and Thailand developed their own 
variations. And now, Trader Joe's takes a spin on this classic combination with our Roti with Thai Red Curry.

You'll find three Roti in each box. They're made with wheat flour, sea salt, and rice bran oil & shortening for 
layered, flaky flatbreads. For the Red Curry, we mix together rich coconut milk with a considerably spicy Red 
Curry paste containing traditional Thai seasonings like lemongrass, birds eye chiles, spur chiles, Thai basil, 
and galangal (a cooling, pine-like spice, if you're unfamiliar). We finish things off with a light-yet-filling mix of 
green eggplant, cabbage, and potatoes. We'd say this vegan duo is ro-teeming with bright, complex flavors and 
wonderfully complementary textures. 

To prepare it, warm the Roti on a skillet, in the oven, or in the air fryer according to package directions. Then, 
thaw the Curry packet in warm water for 1-2 minutes before heating through in the microwave or on the stove. 
To eat it, tear off pieces of the Roti and use them to scoop up the Curry, or pour the Curry on top of the Roti. 
Enjoy as a quick and filling snack, or make it a flavorful dinner alongside a glass of zesty Emma Reichart Dry 
Riesling [sku 61437] or a can of light Simpler Times Lager [sku 62590].

Roti with Thai Red Curry",76535,,10.57 Oz,,Roti with Thai Red Curry,4.29,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/76535.png,,,,https://www.traderjoes.com/home/products/pdp/roti-with-thai-red-curry-076535,,,,,,,,"{item_title:Roti with Thai Red Curry,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/76535.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/76535.png,metadata:{\src\:\/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Roti with Thai Red Curry\,\srcOriginal\:\/content/dam/trjo/products/m20602/76535.png\},__typename:ImageWithMeta},sales_size:10.57,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:4.29,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Crack a Beer,Dinner Hack,Feeling Adventurous,In Lieu of Pizza,Mouth On Fire],item_characteristics:[Vegan],__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Risotto comes from the Italian word riso, which means rice in English. Now, you can't talk about risotto 
without mentioning its main ingredient, which is rice of course. Since the introduction of the grain, rice 
farming has been a major part of life for many Italian families. 

Trader Joe's Mushroom Risotto is imported from Italy and made by one of the best. The dish is authentic, 
creamy, savory, and extremely delicious! The riso is parcooked and combined with cream, slices of mushroom, 
onion, garlic, and extra Porcini mushroom seasoning. For a complete Italian dinner, light some candles, dim 
the lights and offer Trader Joe's Mushroom Risotto with a side of Focaccia Bread [sku 64435] and Balsamic 
Vinegar [sku 58036] or Italian President's Reserve [sku 30090] for dipping. Make the Risotto the star on the 
table as a main entree with your favorite protein and Caesar Salad [sku 05161]. 

Make your way to the freezers to enjoy this 16-ounce taste of Italy. 

 *Please check QIL to confirm current pricing.

Mushroom Risotto",33700,,16 Oz,,Mushroom Risotto,3.79,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/33700.png,,,,https://www.traderjoes.com/home/products/pdp/mushroom-risotto-033700,,,,,,,,"{item_title:Mushroom Risotto,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/33700.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/33700.png,metadata:{\src\:\/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Mushroom Risotto\,\srcOriginal\:\/content/dam/trjo/products/m20602/33700.png\},__typename:ImageWithMeta},sales_size:16,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:3.79,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Date Night,Dinner Hack,Pair With Wine],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Crème caramel, flan, rožata, purin, pudin karamel-the many variations of caramel-covered custard have 
many names around the world. Here at Trader Joe's, our creamy, coffee-imbued version goes by Coffee Panna 
Cotta, and is available in our refrigerated section for a limited time. 

Our Panna Cotta (Italian for cooked cream) is made for us in Texas by a Portugese company that specializes in 
the dessert. Our supplier combines the Panna Cotta starting lineup of cream, milk, and sugar with a generous 
amount of Coffee powder for intense Coffee flavor. While many Panna Cottas are gelatinous in texture, ours is 
decidedly creamy and more texturally akin to flan. Caramelized syrup sits in the bottom of the two individual 
foil cups in each package, finishing off the Panna Cotta with rich and toasty sweetness. 

To serve, peel back the lid, carefully run a knife around the perimeter of the Panna Cotta, flip it upside down 
onto a plate, and enjoy. Serve it with a glass of Chocolate Whole Milk [sku 61673] for a mocha-inspired dessert. 
Or, pay homage to this Panna Cotta's Portugese roots by pairing it with luscious and toasty Morgado Tawny 
Port [sku 47763]. 

Coffee Panna Cotta",75292,,7.04 Oz,,Coffee Panna Cotta,3.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20604/75292.png,,,,https://www.traderjoes.com/home/products/pdp/coffee-panna-cotta-075292,,,,,,,,"{item_title:Coffee Panna Cotta,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:107,name:Cool Desserts,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20604/75292.png,primary_image_meta:{url:/content/dam/trjo/products/m20604/75292.png,metadata:{\src\:\/content/dam/trjo/products/m20604/75292.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20604/75292.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20604/75292.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20604/75292.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20604/75292.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Coffee Panna Cotta\,\srcOriginal\:\/content/dam/trjo/products/m20604/75292.png\},__typename:ImageWithMeta},sales_size:7.04,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:3.49,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Date Night,Feeling Fancy,Treat Yourself],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Entertaining guests? How about just wondering what's for dinner? Our newest frozen appetizer answers both 
questions with fanciful fall flair. Introducing Trader Joe's Savory Squash Pastry Bites!

First things first-unwrap the Pastry Bites and place them on a baking sheet. After about 12 minutes in a 
400°F oven (or half that time in an air fryer), you'll be rewarded with a buttery Pastry crust teeming with a 
pumpkin & butternut Squash-forward filling, along with a Savory symphony of flavors courtesy of not one, but 
four different cheeses-namely, creamy mascarpone and ricotta, tangy feta, and pleasantly sharp Parmesan. 
Finished with chopped chives, these Pastry Bites lend an air of elegance to an appetizer platter or buffet spread 
for a harvest fête (don't forget the bubbly!), and are equally at home on a weeknight dinner plate alongside a 
crisp green salad topped with crumbled White Stilton® Cheese with Apple & Pear [sku 79157]. 

While these Savory Squash Pastry Bites may look upscale, their price is, happily, not! You'll find them in the 
freezers at your neighborhood Trader Joe's, for a limited time. 

Savory Squash Pastry Bites",79109,,9 Oz,,Savory Squash Pastry Bites,5.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20601/79109.png,,,,https://www.traderjoes.com/home/products/pdp/savory-squash-pastry-bites-079109,,,,,,,,"{item_title:Savory Squash Pastry Bites,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:98,name:Appetizers,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20601/79109.png,primary_image_meta:{url:/content/dam/trjo/products/m20601/79109.png,metadata:{\src\:\/content/dam/trjo/products/m20601/79109.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20601/79109.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20601/79109.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20601/79109.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20601/79109.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Savory Squash Pastry Bites\,\srcOriginal\:\/content/dam/trjo/products/m20601/79109.png\},__typename:ImageWithMeta},sales_size:9,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:5.49,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Effortless Entertaining,Fall Faves,Finger Food],item_characteristics:null,__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Trader Joe's sells Gluten Free Pizza Dough [sku 64663] if you're in the mood to make a pie from scratch. But if 
you're looking for a ready-to-bake, gluten free solution, look no further than Trader Joe's Gluten Free Cheese 
Pizza with a Cauliflower Crust. 

You've seen this kind of pie before, even in our freezers, so we can't exactly claim it's revolutionary. We can 
say that the delicious Gluten Free crust (first ingredient: Cauliflower) develops a nice crispness in just 10-12 
minutes in the oven. It handily delivers our tangy tomato sauce, and melty mozzarella & provolone cheeses 
right to your mouth. 

Perhaps what's most impressive about this Gluten Free Cheese Pizza is the possibilities. While we've engineered 
this pie to be enjoyable just as it is, it's also a blank canvas for your own pizza creativity. And with a Trader Joe's 
store full of toppings, it's safe to say, the possibilities are endless! 

Gluten Free Cheese Pizza with a 
Cauliflower Crust",78836,,11.6 Oz,,Gluten Free Cheese Pizza,5.49,,,https://www.traderjoes.com/content/dam/trjo/products/m20602/78836.png,,,,https://www.traderjoes.com/home/products/pdp/gluten-free-cheese-pizza-078836,,,,,,,,"{item_title:Gluten Free Cheese Pizza,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:101,name:Entrées & Sides,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20602/78836.png,primary_image_meta:{url:/content/dam/trjo/products/m20602/78836.png,metadata:{\src\:\/content/dam/trjo/products/m20602/78836.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20602/78836.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78836.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20602/78836.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20602/78836.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Gluten Free Cheese Pizza\,\srcOriginal\:\/content/dam/trjo/products/m20602/78836.png\},__typename:ImageWithMeta},sales_size:11.6,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:5.49,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Alfresco Dining,Crack a Beer,Dinner Hack,Family Style,Game Night,Rain or Shine],item_characteristics:[Gluten Free],__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
"Something's brewing in the Trader Joe's Freezer section. They're bite-sized, handheld, and elliptically shaped. 
They've got a chewy exterior and lush ice cream center. They taste like your morning cup of joe. Why, they're 
Coffee Mochi, here for a limited time!

Unlike other Mochi on the market made with synthetically derived flavors and high fructose corn syrup, 
the frozen filling in Trader Joe's Coffee Mochi gets its bold Coffee flavor and color from Coffee itself, and 
possesses a balanced sweetness thanks to real cane sugar. A hint of cocoa gives the sweet, chewy rice flour 
dough its rich brown hue, and adds a touch of chocolate on the palate to round out the robust Coffee notes. 

Coffee Mochi make for a delightful handheld pick-me-up that's best enjoyed after thawing for 3-4 minutes. 
That may seem like a long time, but you'll be hard pressed to eat just one anyway, so why not assemble a variety 
platter of these gluten free treats while you're at it? Reach for Vanilla [sku 64500], Strawberry [64499], and 
Green Tea [sku 64669] for a sweet, fruity, and aromatic Mochi mix! 

Coffee Mochi",78549,,6.8 Oz,,Coffee Mochi,4.99,,,https://www.traderjoes.com/content/dam/trjo/products/m20604/78549.png,,,,https://www.traderjoes.com/home/products/pdp/coffee-mochi-078549,,,,,,,,"{item_title:Coffee Mochi,category_hierarchy:[{id:2,name:Products,__typename:CategoryTree},{id:8,name:Food,__typename:CategoryTree},{id:95,name:From The Freezer,__typename:CategoryTree},{id:107,name:Cool Desserts,__typename:CategoryTree}],primary_image:/content/dam/trjo/products/m20604/78549.png,primary_image_meta:{url:/content/dam/trjo/products/m20604/78549.png,metadata:{\src\:\/content/dam/trjo/products/m20604/78549.png/jcr:content/renditions/cq5dam.web.1280.1280\,\srcSet\:[{\src\:\/content/dam/trjo/products/m20604/78549.png/jcr:content/renditions/webp-640.webp\,\media\:\(max-width: 847px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20604/78549.png/jcr:content/renditions/webp-1280.webp\,\media\:\(min-width: 848px)\,\type\:\image/webp\},{\src\:\/content/dam/trjo/products/m20604/78549.png/jcr:content/renditions/cq5dam.web.640.640\,\media\:\(max-width: 847px)\,\type\:\image/png\},{\src\:\/content/dam/trjo/products/m20604/78549.png/jcr:content/renditions/cq5dam.web.1280.1280\,\media\:\(min-width: 848px)\,\type\:\image/png\}],\alt\:\Trader Joe's Coffee Mochi\,\srcOriginal\:\/content/dam/trjo/products/m20604/78549.png\},__typename:ImageWithMeta},sales_size:6.8,sales_uom_description:Oz,price_range:{minimum_price:{final_price:{currency:USD,value:4.99,__typename:Money},__typename:ProductPrice},__typename:PriceRange},fun_tags:[Finger Food,Heat Wave,Treat Yourself],item_characteristics:[Gluten Free,Kosher],__typename:SimpleProduct,dietaryTags:,product_variants:[]}"
