"sku","title","description","primary_image","retail_price","tags","characteristics","nutrition"
"079121","Teeny Tiny Pecan Pies","The correct pronunciation of ""pecan"" may be up for debate, but Trader Joe's Teeny Tiny Pecan Pies are an 
undeniably delicious and endearing dessert. Like our Teeny Tiny Apple Pies [sku 77455], this nutty variety is 
made for us in Canada, with each pie measuring about three inches in diameter. A sweet brown sugar & Pecan 
filling is nestled in a flaky, buttery crust, topped with an (ironically named) Junior Mammoth pecan half, 
and baked until golden brown. Delightfully gooey with a soft bite, these petite pastries will satisfy Pecan Pie 
cravings without the commitment to a full-size pie. 

Teeny Tiny Pecan Pies are excellent right out of the box, and are especially delectable when heated in the 
oven, microwave, or air fryer, according to package directions. If you've got a second to spare, top yours with 
a flourish of Light Whipped Cream [sku 22791], or a teeny tiny scoop of French Vanilla Ice Cream [sku 78576]. 
With four pies per box, you can always enjoy them with friends and freshly-brewed cups of Joe Medium Roast 
Ground Coffee [sku 56332]. You'll find Teeny Tiny Pecan Pies in the bakery section, only during the holidays-
pick up a box while supplies last!

Teeny Tiny Pecan Pies","https://www.traderjoes.com/content/dam/trjo/products/m20105/79121.png","4.99","[""Date Night"",""Fall Faves"",""Feeling Fancy"",""Finger Food"",""Treat Yourself""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":""Per piece (45g)"",""serving_size"":""1 package (180g)"",""calories_per_serving"":""190 ""},{""display_sequence"":1,""panel_id"":2,""panel_title"":""Per package"",""serving_size"":""1 package (180g)"",""calories_per_serving"":""770 ""}]"
"079114","Dinner Rolls","Hard, stale bread certainly has a place at the dinner table in the form of salad croutons and poultry stuffing. 
When it comes to rolls, however, it's quite...sacrolligious. And yet, dry Dinner Rolls seem to prevail in grocery 
stores across the land. Not at Trader Joe's, though-we say ""no"" to roll mediocrity with our soft and moist 
Dinner Rolls.

Bite into one of these pull-apart Rolls, and you'll notice that they're incredibly moist compared to other store-
bought options. The secret? Potato flour! This spudsy superstar attracts and holds water better than other 
flours, so we add a bit of it to give Trader Joe's Dinner Rolls their especially soft texture. A touch of sugar lends 
subtle sweetness, making for craveable rolls that'll have you questioning if it's worth saving room for dinner. 

Dinner Rolls are most delicious when warmed in the oven for 3-5 minutes at 400°F. Place them in a basket 
atop holiday dinner tables and serve with Salted Butter Quarters [sku 06252], or tangy Cultured Salted Butter 
[sku 53720], if you're feeling fancy. They also excel as slider buns, and as carb companions to soup and salad 
dinners. You'll find Dinner Rolls in the bakery section through the holiday season, while supplies last. 

Dinner Rolls","https://www.traderjoes.com/content/dam/trjo/products/m20102/79114.png","2.99","[""Effortless Entertaining"",""Fall Faves"",""Family Style"",""Picnic"",""Put An Egg On It"",""Time-pressed""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 roll (43g)"",""calories_per_serving"":""120 ""}]"
"079110","Organic Fig & Honey Batard","Nothing says French bread like the iconic baguette seen in many a market tote bag. But what about this svelte 
bread's more rotund presentation: batard? We'd wager this lesser-known shape is equally delicious, especially 
when in the form of Trader Joe's savory-sweet Organic Fig & Honey Batard.

This Batard comes to us from a French bakery that specializes in Organic, artisanal bread. They mix dried 
Figs and Honey into traditional French bread dough for a bit of sweetness and pops of subtle fruit flavor. The 
dough is then shaped into an oblong loaf and baked until light golden brown. Soft and airy on the inside, it's 
best enjoyed after warming and crisping in the oven, according to package directions.

The sweetness of Organic Fig & Honey Batard makes it delightful on its own, and a wonderful match for 
strong and salty flavors. Slice to your desired thickness and keep it simple with a spread of Cultured Salted 
Butter [sku 53720], or take things up a notch with slices of Société Roquefort [sku 89767] and a glass of Joseph 
Händler Riesling [sku 99461]. You'll find Organic Fig & Honey Batard in the bakery section through the 
holiday season-pick up yours while supplies last!

Organic Fig & Honey Batard","https://www.traderjoes.com/content/dam/trjo/products/m20102/79110.png","4.99","[""Alfresco Dining"",""Date Night"",""Effortless Entertaining"",""Feeling Fancy"",""Pair With Wine""]","[""Organic""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""2 oz (56g/ about 1 inch slice)"",""calories_per_serving"":""140 ""}]"
"079708","Sourdough Boules","Trader Joe's has all the shapes in our bakery section: circular bagels; slender baguettes; flat-breads... We thought 
it was about time we got around to boules. Trader Joe's Sourdough Boules not only bring their unique ball 
shape, but they also bring delicious bread that rises to so many excellent eating occasions.

Our Boules are made with a wild yeast Sourdough starter and long fermentation, to build a light, airy crumb-
and to yield the slightly nutty, slightly tangy taste that one expects from sourdough. The seven-ounce, round 
loaves-about five inches in diameter by three inches tall-are baked until the crust is golden brown and 
delightfully chewy, with a satisfying, open crumb.

All these traits mean Trader Joe's Sourdough Boules are great sliced and toasted for breakfast with TJ's 
Cultured Salted Butter [sku 53720] and Organic Reduced Sugar Strawberry Preserves [sku 95227]. For lunch, try 
some topped with a Teeny Tiny Avocado [sku 75444]. Speaking of shapes, you can cut a Boule into cubes and 
toast them for the best croutons you've ever had on your salad! And if soup is on the menu, why not turn your 
Boule in to a bowl, then fill it with TJ's New England Clam Chowder [sku 55218]. However you choose to enjoy 
it, you're guaranteed to have a Boule!

Sourdough Boules","https://www.traderjoes.com/content/dam/trjo/products/m20102/79708.png","2.99",,,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""2 oz (56g/about 1/3 loaf)"",""calories_per_serving"":""120 ""}]"
"078928","Sea Salt Chocolate Chunk Cookies","Imagine sinking your teeth into the perfect cookie: first, there's the initial toothsome resistance of the crisp 
outer layer, and the sweet aromas of butter and vanilla. Then, that resistance gives way to the soft, chewy 
interior and full flavors of semisweet chocolate, brown sugar, and sea salt. Imagine the chocolate and soft 
cookie melting in your mouth, expressing all kinds of sweet and savory flavors as you wash it down with a 
chilled glass of milk (or non-dairy beverage). Now, what if we told you that this exact experience is readily 
available at your neighborhood Trader Joe's? Imagine no more: we present to you The Sea Salt Chocolate 
Chunk Cookie.
 
Now made using an updated recipe that results in an even softer, even fresher-feeling texture, each box contains 
six Sea Salt Chocolate Chunk Cookies that are big in both size and flavor. In fact, they're just about the perfect 
size and shape for making delicious cookie ice cream sandwiches, and the bits of coarse, crunchy Sea Salt 
interact wonderfully with a scoop of French Vanilla Ice Cream [sku 78576]. That said, if you're more in the 
mood for a simpler, solo Cookie experience, try warming one up in the microwave for a few seconds just prior 
to enjoying.

Sea Salt Chocolate Chunk Cookies","https://www.traderjoes.com/content/dam/trjo/products/m20105/78928.png","4.99","[""Backpack Ready"",""Family Style"",""Treat Yourself""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 cookie (50g)"",""calories_per_serving"":""210 ""}]"
"078925","Gluten Free Chocolate Chunk Cookies","Imagine sinking your teeth into the perfect chocolate chip cookie. First, there's the initial resistance of the 
cookie's crisp outer layer. Then, just as that resistance gives way to the cookie's soft, chewy interior, you're hit 
with a symphony of buttery, brown-sugary, and, of course, chocolatey flavor. ""It's pitch-perfect!"" You exclaim. 
""We agree,"" we respond, ""and it's gluten free."" Shocked, you reach for the box, and there it is, plain as day: 
Trader Joe's Gluten Free Chocolate Chunk Cookies with Sea Salt. Well, I'll be darned...

Now made using an updated recipe that results in an even softer, even fresher-feeling texture, these Gluten 
Free Chocolate Chunk Cookies are a true achievement in gluten free baking. Each box contains six Cookies 
made with a blend of oat flour, rice flour, tapioca starch, brown sugar, and plenty of butter. The real scene-
stealers, however, are the rich, semi-sweet Chocolate Chunks throughout and the coarse Sea Salt sprinkled on 
top. Together, they offer up an effortless harmony of sweet and salty-it's the kind of Cookie confluence that'll 
bring you back for another bite. And another. And another-thank goodness we're selling them six to a box. 
You'll find them in our bakery section.

Gluten Free Chocolate Chunk Cookies
with Sea Salt","https://www.traderjoes.com/content/dam/trjo/products/m20105/78925.png","4.99","[""Family Style"",""The \""X\"" Factor"",""Treat Yourself""]","[""Gluten Free""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 cookie (50g)"",""calories_per_serving"":""220 ""}]"
"077160","Gluten Free Baguette","In the world of bread, baguettes are serious business. In fact, the baguette has been deemed such an iconic part 
of France's culinary history, that the tradition of baguette-making was recently added to UNESCO's Intangible 
Cultural Heritage Lists, placing it in the same global esteem as Flamenco dance, Kabuki theatre, and yoga. With 
such a significant cultural presence, we thought it would be a shame if folks who don't eat gluten missed out on 
all the fun, which is why we're happy to introduce Trader Joe's Gluten Free Baguette to our bakery sections.

Made with a mix of tapioca starch and oat flour, as well as a bit of gluten free sourdough starter to give every 
bite a delightfully tangy, sourdough tinge, Trader Joe's Gluten Free Baguette strikes an artful balance between 
artisanal and rustic. We find it's best when warmed in an oven at 400°F for about ten minutes, after which its 
crust becomes particularly crisp, and the whole Baguette is ready for any situation that calls for a baguette. It 
makes an especially hearty sandwich bread (gluten-free bánh mì, anyone?), it makes great crostini when sliced 
into rounds and toasted, and can even just be torn or sliced into hunks and dipped with your favorite olive oil.

Gluten Free Baguette","https://www.traderjoes.com/content/dam/trjo/products/m20102/77160.png","4.99","[""Alfresco Dining"",""Cheese Board"",""Cut The Mustard"",""Effortless Entertaining"",""Pair With Wine"",""Put An Egg On It""]","[""Gluten Free""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""2 oz (56g/ 1/5 loaf)"",""calories_per_serving"":""120 ""}]"
"079616","Pumpkin Loaf","Need something to help you step into the fall spirit? It's easy-all you need is Trader Joe's Pumpkin Loaf! 
It starts, unsurprisingly, with Pumpkin purée, which gives the wheat flour-based Loaf an incredibly moist 
and not too dense crumb. A parade of spices-cinnamon, nutmeg, allspice, ginger, and cloves, to be exact-
intermingle with notes of vanilla to create the classic spice profile one would expect to find in autumnally-
inspired baked goods. Topping it off is a crowning layer of crunchy sugar and a generous dusting of aromatic, 
fall-forward spices, ensuring every bite is is imbued with the spirit of the season.
 
Almost as delightful as the Pumpkin Loaf itself is its open-and-enjoy nature-all you have to do is slice and 
serve, perhaps alongside a glass of iced Pumpkin Spice Flavored Cold Brew Concentrate Coffee [sku 79207] 
or a hot cup of Colombia Supremo Coffee [sku 50976]. If you've got a bit more time on your hands, you might 
toast a slice and  drizzle with Creamy Salted Almond Butter [sku 51436] and Pumpkin Butter [sku 06372]. 
Gilding the lily? Maybe. Scrumptiously satisfying? You bet! 

If all you need is Loaf, then make haste-these Pumpkin Loaves are limited to the fall season!

Pumpkin Loaf","https://www.traderjoes.com/content/dam/trjo/products/m20105/79616.png","4.99","[""Brunch All Day"",""Effortless Entertaining"",""Fall Faves"",""Treat Yourself""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1/8th loaf (54g)"",""calories_per_serving"":""190 ""}]"
"076605","Pumpkin Spice Mini Sheet Cake","It's no secret that our customers love the airy cake and decadent frosting that make up our Mini Sheet Cakes. 
Their smaller format and convenient reclosable lid (in addition to their aforementioned deliciousness) have 
cemented our collective belief that cake is not just for birthdays, but worthy of enjoyment all year long, in myriad 
flavors. 

Cake¿ er, case in point: Trader Joe's Pumpkin Spice Mini Sheet Cake. You'll fall for the moist, spongy crumb, 
flavored by pumpkin purée and warm spices, including cinnamon, nutmeg, and ginger. A rich, cream-cheese 
frosting is piped on top, lending an upscale bakery vibe and providing a classic flavor-pairing for the Pumpkin 
Spice profile.

Add some candles and deliver to your friends who have autumn birthdays. Serve at the conclusion of a casual fall 
meal along with freshly brewed TJ's Pumpkin Spice Coffee [sku 97234]. Or, cut it into bite-sized pieces, and serve it 
to yourself throughout the day-whenever you're walking by the kitchen. This Cake doesn't require refrigeration, 
so you can store it on the counter for quick & easy access!

Pumpkin Spice Mini Sheet Cake","https://www.traderjoes.com/content/dam/trjo/products/m20105/76605.png","5.49","[""Effortless Entertaining"",""Fall Faves"",""Family Style"",""Treat Yourself""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1/6 cake (85g)"",""calories_per_serving"":""310 ""}]"
"053843","Dark Chocolate Ganache Mini Sheet Cake","Cake is too often relegated to special occasions. That's partially because it takes too much time and effort to bake 
one for 'no particular reason.' Of course, premade cakes are always an option, but what's typically available for 
purchase is either too fancy (and expensive) for everyday enjoyment, or just poor quality. Trader Joe's Dark 
Chocolate Ganache Mini Sheet Cake is the yummy solution for people who crave quality cake-even when it's 
nobody's birthday.

This cake is ""Mini""-about 6 servings. It's a single layer of moist, flavorful chocolate cake made with buttermilk 
for extra richness. A delicious Dark Chocolate Ganache icing (made with butter, cream, & cream cheese) is 
generously spread on top, adding a decadent touch to this simple cake. Our Mini Sheet Cake is casual and 
small enough that your family can enjoy it as a special treat anytime. It's also fancy and big enough to serve at 
an intimate dinner party. (And, you can always add candles and an icing-message on top for a mini-birthday 
celebration.) No need to refrigerate-the re-closeable, clear-top lid helps to keep it fresh for up to six days. 

So, don't wait until it's someone's birthday before you enjoy your next slice of cake. Each 18-ounce Trader Joe's 
Dark Chocolate Ganache Mini Sheet Cake is just $4.49-the perfect price and the perfect size to justify a 
celebration everyday! You'll find it on our bakery tables.","https://www.traderjoes.com/content/dam/trjo/products/m20105/53843.png","4.99","[""Date Night"",""Effortless Entertaining"",""Family Style"",""Stuff of Dreams"",""Treat Yourself""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1/6 cake (85g)"",""calories_per_serving"":""310 ""}]"
