"sku","title","description","primary_image","retail_price","tags","characteristics","nutrition"
"060842","Egg Nog Whole Milk Greek Yogurt","Originating in medieval Britain, it wasn't until eggnog made its way to the American colonies that it received 
holiday hero status. George Washington even created his own recipe-although, somewhat embarrassingly, he 
didn't specify the exact number of eggs to add to said nog. In any case, with its warm spices and velvety texture, 
it's easy to see why eggnog became a classic seasonal flavor that transcended the original beverage and popped 
up in all manner of candies, cookies and treats in our stores through the years. And because we want to keep 
that tradition of innnovation going, we've developed Trader Joe's Eggnog Whole Milk Greek Yogurt.

Like our Avocado Citrus and Matcha yogurts, our Eggnog Yogurt starts with tart, thick, whole milk Greek 
yogurt that's packed with protein (11 grams per serving, to be exact). A flavored egg nog base filled with egg 
yolks, natural flavors and classic nutmeg spice is added, creating an even creamier texture and lending loads of 
eggnog flavor, along with its signature light-golden hue. And while it would be quite at home on a brunch buffet 
with warm coffee cake, or in a breakfast bowl with granola, it's sweet enough on its own for dessert.

You'll find 5.3-ounce cups of Trader Joe's Eggnog Whole Milk Greek Yogurt in our dairy case this holiday 
season. And to keep our tradition of value going, we're selling each kosher-certified cup for just $0.99.

10.30.
17","https://www.traderjoes.com/content/dam/trjo/products/m20303/60842.png","0.99","[""Alfresco Dining"",""Brunch All Day"",""Fall Faves"",""Merry-making"",""Midday Snacks"",""Rise & Shine""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (150g/5.3 oz)"",""calories_per_serving"":""180 ""}]"
"079482","Butter with Brown Sugar & Maple Syrup","Maple-mania at Trader Joe's knows no bounds during the fall-even our dairy case is getting in on the fun, 
with Trader Joe's Butter with Brown Sugar & Maple Syrup! It's made for us in small batches by a creamery 
with an uncommon knack for compound butters, who mixes rich brown sugar and deep, dark, grade-A maple 
syrup into smooth, salted butter. It all results in a sublimely sweet-savory flavor profile and oh-so-spreadable, 
punctuated-by-pops-of-sugar-crystal texture that simply screams ""autumn.""

Our Butter with Brown Sugar & Maple Syrup is a boon to breakfast dishes of all kinds, from the expected 
(placed on a stack of pancakes or waffles, spread over a toasted English Muffin [sku 14626] or flaky croissant) 
to the unconventional (melted over crispy Hashbrowns [sku 94769] or a cheesy omelet, used in a breakfast 
sausage sandwich or savory grits). That said, it's an excellent asset at the dinner table, too-especially with rolls 
during a holiday feast or family get-together. We recommend placing a pat on a freshly pan-seared or air-fried 
Salmon Fillet [sku 21717] and letting it melt, just prior to serving.

Butter with Brown Sugar & Maple Syrup","https://www.traderjoes.com/content/dam/trjo/products/m20302/79482.png","2.99","[""Brunch All Day"",""Fall Faves"",""Gild The Lily"",""Let's Bake!"",""Rain or Shine"",""The \""X\"" Factor""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""1 Tbsp. (14g)"",""calories_per_serving"":""80 ""}]"
"072270","Organic Pasture Raised Large Brown Eggs","Some would consider 'pasture-raised' to be the gold standard for chicken eggs. That's why we're excited to be 
making Organic Pasture-Raised Eggs available in some of our stores in the Southwest!

These Chino Valley Ranchers Pasture-Raised Eggs comes from certified organic, family-owned farms, where 
the chickens live outside most of the time, free to forage for bugs, seeds, or whatever they are inclined to eat. 
Even 'free-range' fowl don't get this kind of freedom! More specifically, Chino Valley Ranchers provide at least 
108 sq. ft. of pasture per bird, which is far, far beyond what the USDA requires for 'free range' chickens.

And this approach is not only beneficial for the birds, but it's also excellent for the eggs. These Organic Pasture-
Raised Eggs are large and brown, with rich, golden yolks, and outstanding flavor. If you're shopping at Trader 
Joe's in Arizona, California, Nevada, or Utah-you're in luck; you'll be able to find one-dozen cartons of these 
Pasture-Raised Eggs every day in your neighborhood store.

 *Please check QIL to confirm current pricing.

Chino Valley Ranchers Pasture Raised 
Organic Large Brown Eggs","https://www.traderjoes.com/content/dam/trjo/products/m20304/72270.png","5.99","[""Brunch All Day"",""Family Style"",""Put An Egg On It"",""Yes!""]","[""Kosher"",""Organic""]",
"078444","Vanilla Bean Whole Milk Greek Yogurt","Good news, Vanilla Bean Greek Whole Milk Yogurt fans! The Trader Joe's dairy section staple now comes in 
a generously sized 32-ounce tub with a resealable lid.

If you're not yet a fan, after one spoonful you'll be delighted by this Whole Milk Yogurt imbued with exquisite 
Vanilla flavor. Greek Yogurt, best known for its tart flavor and thick texture, becomes all the more velvety 
when made with Grade A Whole Milk, and boasts an impressive 12 grams of protein per serving. You'll notice 
those characteristic little black specks throughout the product-those are pieces of Vanilla Bean that deliver 
flavor you can see as well as taste (heavy on the taste), further buoyed by the addition of natural vanilla flavor.

Mix our Vanilla Bean Greek Yogurt with a hearty scoop of Just the Clusters Vanilla Almond Granola Cereal
[sku 81814] for an extra crunch and an easy breakfast or snack. Or, use this Yogurt in place of ice cream and
sprinkle in some Semi-Sweet Chocolate Chips [sku 04529] for a sweet, dessert-y treat.

We're offering 32-ounce tubs of Trader Joe's Vanilla Bean Whole Milk Greek Yogurt in our dairy case, every day.

Vanilla Bean Greek Whole Milk Yogurt","https://www.traderjoes.com/content/dam/trjo/products/m20303/78444.png","5.49","[""Alfresco Dining"",""Brunch All Day"",""Midday Snacks"",""Rain or Shine"",""Rise & Shine""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":null,""serving_size"":""3/4 Cup (170g)"",""calories_per_serving"":""180 ""}]"
"042890","Small Curd Cottage Cheese","At Trader Joe's, we truly depend on Customer feedback to inform our new product development. We also depend 
on it to let us know when an existing product might benefit from a small kaizen or two. Typically, products that 
fall into the latter category are products that our Customers already love, but that they might love even more ""if¿"" 

In the case of Trader Joe's Small Curd Cottage Cheese, a staple in our dairy box since 1993, Customers have told 
us (and showed us, in hard-earned dollars spent) that they love it. But they've also told us that they would love it 
even more if we were to remove certain ingredients from its recipe. So as of next week, in a classic TJ's case of, ""You 
asked-we listened!,"" Trader Joe's Small Curd Cottage Cheese will be the same smooth, creamy, lightly sweet & 
slightly tangy Cottage Cheese you love, minus the xanthan gum, the guar gum, and, most notably, the carrageenan. 

For clarification: carrageenans (or carrageenins) are a family of algae and seaweed-based thickeners, emulsifiers, 
and stabilizers, often used in dairy products to maintain textural consistency. We have no evidence to suggest that 
the carrageenan in this or any other private label product could be harmful - We don't sell products that we know 
to be unsafe, ever. But we also don't presume to make our Customers' dietary and shopping decisions for them. So, 
while arguments for a proposed kaizen are always valuable & considered, the simple fact that Customers are asking 
for it is reason enough to move forward and explore our options. 

Some more great news? Our Cottage Cheese might be better than ever, but our price is the same as it's always 
been-$3.19 for a 32-ounce tub. You'll find it in our dairy case.","https://www.traderjoes.com/content/dam/trjo/products/m20303/42890.png","3.99","[""Alfresco Dining"",""Brunch All Day"",""Picnic"",""Rise & Shine""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1/2 cup (113g)"",""calories_per_serving"":""110 ""}]"
"077291","Apricot Mango Greek Whole Milk Yogurt","Trader Joe's Apricot Mango Greek Yogurt is made with Grade A Whole Milk. This might conjure images of 
super fatty milk in your mind, but in truth, whole milk is just 'milk as it comes from the cow'-with none of 
its original milk fat removed. And that original milk fat isn't as much as one might think. Whole milk doesn't 
even contain twice as much milk fat as does 2% milk. Still, it's enough extra fat to give Whole Milk Yogurt a 
creamier texture-a trait that classic Greek yogurt really showcases.

Beyond the thick, creamy mouth feel, we've also included bits of apricot and mango, with additional fruit 
juices, to give this Yogurt a tinge of tropical flavor. There are also a host of live and active cultures (added after 
pasteurization) meant to help bolster the presence of ""good bacteria"" in your gut. 

Take a tub to work for an easy breakfast. Mix it with some Müesli [sku 56580] for a heartier snack. You can 
enjoy it anytime since you'll always find Apricot Mango Greek Yogurt in our refrigerators.

 *Please check QIL to confirm current pricing.

Apricot Mango Greek Whole Milk Yogurt","https://www.traderjoes.com/content/dam/trjo/products/m20303/77291.png","0.99","[""Alfresco Dining"",""Brunch All Day"",""Midday Snacks"",""Rise & Shine""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (150g)"",""calories_per_serving"":""200 ""}]"
"064401","Guava Passion Fruit Greek Whole Milk Yogurt","Our customers love to eat Greek yogurt, and we love to offer them Greek yogurt. It works out quite well, but 
such a successful, symbiotic relationship requires consistency and innovation on our part. So, from time to 
time, we like to infuse our reliably delicious Greek yogurt with all-new flavors. The latest? Trader Joe's Guava 
Passion Fruit Greek Whole Milk Yogurt. 

That's right-Guava Passion Fruit Greek Whole Milk Yogurt. When we sampled this particular flavor combo, 
it was Passion-Fruity love at first spoonful. Greek yogurt, best known for its tart flavor and thick texture, 
becomes all the more tangy, creamy, and craveable with the addition of real, sweet guava and bright, tropical 
passion fruit concentrate. It's a live-and-active-cultures-lover's dream come true. 

Know what else is a dream come true? The price. We're selling each 5.3 ounce cup of Trader Joe's Guava 
Passion Fruit Whole Milk Yogurt for 99¢, every single day-find it in our dairy cases. 

01.07.
19

JAN. - MAR.","https://www.traderjoes.com/content/dam/trjo/products/m20303/64401.png","0.99","[""Alfresco Dining"",""Brunch All Day"",""Rise & Shine""]","[""Kosher""]","[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (150g)"",""calories_per_serving"":""180 ""}]"
"078211","Raspberries & Cream Yogurt","There comes a time when all double acts must part ways, and go solo. That time has come for our combined 
Raspberries & Cream and Meyer Lemon & Cream Yogurt Cups [sku 56934]. Since their debut in 2020, this two-
flavor, six-pack of rich and flavorful yogurts has been such a hit with our customers, that our suppliers have 
had a hard time keeping up with demand. So, to make it easier to keep them in stock, Trader Joe's Raspberry 
& Cream Yogurt Cups and Trader Joe's Meyer Lemon & Cream Yogurt Cups [sku 78212] are officially striking 
it out on their own, in individual four-ounce cups. 

It's the same Yogurt you loved as a duo, now available in a single serving: sweet, creamy, and ever-so-slightly 
tart, with a nice, juicy note of Raspberry flavor in every spoonful. As ever, it makes a great option for a quick 
breakfast, a calcium-rich addition to a work or school lunch, and an always-excellent anytime sweet treat. For 
a little extra flavor and crunch, we recommend adding a bit of your favorite cereal or granola-our Just the 
Clusters Vanilla Almond Granola [sku 81814] or Muesli [sku 56580] are especially great choices. 

Raspberries & Cream Yogurt","https://www.traderjoes.com/content/dam/trjo/products/m20303/78211.png","0.69","[""Alfresco Dining"",""Brunch All Day"",""Rise & Shine""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (113g)"",""calories_per_serving"":""140""}]"
"078209","Vanilla & Cream Yogurt","There comes a time when all double acts must part ways, and go solo. That time has come for our combined 
Blueberries & Cream and Vanilla & Cream Yogurt Cups [sku 81463]. Since their debut back in 2006, this two-
flavor, six-pack of rich and flavorful yogurts has been such a hit with our customers, that our suppliers have 
had a hard time keeping up with demand. So, to make it easier to keep them in stock, Trader Joe's Vanilla & 
Cream Yogurt Cups and Trader Joe's Blueberries & Cream Yogurt Cups [sku 78210] are officially striking it out 
on their own, in individual four-ounce cups. 

It's the same Yogurt you loved as a duo, now available in a single serving: sweet, creamy, and ever-so-slightly 
tart, with an aromatic, unmistakable note of Vanilla throughout. As ever, it makes a great option for a quick 
breakfast, a calcium-rich addition to a work or school lunch, and an always-excellent anytime sweet treat. For 
a little extra flavor and crunch, we recommend adding a spoonful of your favorite cereal or granola-our Just 
the Clusters Maple Pecan Granola [sku 81809] or Muesli [sku 56580] are especially great choices. 

Vanilla & Cream Yogurt","https://www.traderjoes.com/content/dam/trjo/products/m20303/78209.png","0.69","[""Alfresco Dining"",""Brunch All Day"",""Stuff of Dreams""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (113g)"",""calories_per_serving"":""140""}]"
"078212","Meyer Lemon & Cream Yogurt","There comes a time when all double acts must part ways, and go solo. That time has come for our combined 
Raspberries & Cream and Meyer Lemon & Cream Yogurt Cups [sku 56934]. Since their debut in 2020, this 
two-flavor, six-pack of rich and flavorful yogurts has been such a hit with our customers, that our suppliers 
have had a hard time keeping up with demand. So, to make it easier to keep them in stock, Trader Joe's Meyer 
Lemon & Cream Yogurt Cups and Trader Joe's Raspberry & Cream Yogurt Cups [sku 78211] are officially 
striking it out on their own, in individual four-ounce cups. 

It's the same Yogurt you loved as a duo, now available in a single serving: sweet, creamy, and ever-so-slightly 
tart, with complementarily sweet and puckery note of Meyer Lemon throughout. As ever, it makes a great 
option for a quick breakfast, a calcium-rich addition to a work or school lunch, and an always-excellent 
anytime sweet treat. For a little extra flavor and crunch, we recommend adding a bit of your favorite cereal or 
granola-our Organic Toasted Coconut Granola [sku 57802] or Muesli [sku 56580] are especially great choices. 

Meyer Lemon & Cream Yogurt","https://www.traderjoes.com/content/dam/trjo/products/m20303/78212.png","0.69","[""Alfresco Dining"",""Brunch All Day"",""Rise & Shine"",""Yes!""]",,"[{""display_sequence"":0,""panel_id"":1,""panel_title"":"""",""serving_size"":""1 container (113g)"",""calories_per_serving"":""140""}]"
