"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"COLOMBIA Nariño Watermelon",,,"https://sparrowcoffee.com/web/image/product.product/88/image_1024/Nari%C3%B1o%20Watermelon?unique=e62abc3",,"16 oz","$ 23.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/narino-watermelon-92?page=2","This a one of the first experimental lots we have received from our long standing partner in Narino. With the first fermentation having fresh watermelon pieces in the tank along with the coffee, this experiment worked like a charm! From opening the bag you will smell the fresh watermelon and it will only get stronger as you brew. The initial flavor of the sip is sweet, almost candy like, moving quickly into juicy watermelon so fresh you can taste hints of the rind. With undertones of cashew and walnut this full bodied coffee is not to be missed. 
 

 

 

 It even makes a great fruity cold brew!",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Low\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Nut Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Double Anaerobic Washed""}"
"YEMEN Sana'a Manakaha",,,"https://sparrowcoffee.com/web/image/product.product/87/image_1024/Sana%27a%20Manakaha?unique=291a9a0",,"16 oz","$ 58.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/sana-a-manakaha-91?page=2","From Yemen's largest coffee growing region, the mountains in the Haraaz not only offer a beautiful view but also the ideal conditions for producing coffees with unique profiles. Roughly 1,500 families rely on coffee farming as their source of income. We were very happy to have found this beautiful crop of DNA verified Yemenia coffee. While not for everyone, this is truly a coffee for the coffee lovers. With notes of jasmine, white cherry, passion fruit, and a liquor-like finish.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Low\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Floral Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Natural""}"
"INDIA Chai Masala Tea",,,"https://sparrowcoffee.com/web/image/product.product/86/image_1024/Chai%20Masala%20Tea?unique=8bd3797",,"8 oz","$ 18.50",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/chai-masala-tea-90?page=2","This Chai Blend was crafted by our founder and a good friend many years ago. It is a fan favorite and the same blend that is served in our cafe! 
 

 

 

 This product is sold as is. Unfortunately we cannot off the personalized labels at this time.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""""}"
"BRAZIL Fazenda do Juquinha",,,"https://sparrowcoffee.com/web/image/product.product/84/image_1024/Fazenda%20do%20Juquinha?unique=f0724c8",,"16 oz","$ 19.50",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/fazenda-do-juquinha-88?page=2","Fazenda do Juquinha is located in Maria de Fé, known for being one of the coldest cities in Minas Gerais. It is run by two brothers in law, Ivan Prado de Melo & Weder Batista, who are the only long term employees of the farm. During harvest they employ between 20-25 locals to help. 
 

 

 

 Though they are new to coffee production, their dedication to leaving and cultivating pristine practices has allowed them to produce this amazing coffee. This was a coffee we found on our trip to Brazil in 2023, and the staff has been ecstatic to have such a different and pristine profile to taste and show case at our cafe. This Yellow Catuai has a much brighter acidity than we are accustomed to finding in our Brazils and a juicy tropical stone fruit character. Still possessing the traditional cocoa and nutty profile and rich body, this Brazil is a crowd pleaser to be sure.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Earth and Spice Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Natural""}"
"KENYA Privam Estate",,,"https://sparrowcoffee.com/web/image/product.product/83/image_1024/Privam%20Estate?unique=fd3de72",,"16 oz","$ 20.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/privam-estate-87?page=2","Kenya is well known for the unique flavor profile that was cultivated through the SL-28 and SL-34 varietals coupled with the volcanic terroir. Known for being full bodied and highly complex coffees, this crop from Embu County does not disappoint for anyone who loves the classic Kenyan coffee profile of black currant and tomato-like acidity.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Floral Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Washed""}"
"ETHIOPIA Dush Lemiso Uke",,,"https://sparrowcoffee.com/web/image/product.product/79/image_1024/Dush%20Lemiso%20Uke?unique=c6d04ac",,"16 oz","$ 35.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/dush-lemiso-uke-80","Since its inception in 1999, the Cup of Excellence has been an innovative, educational, and life changing program for coffee farmers. The annual competition was established both to offer farmers, particularly small holders who often lack the resources of large estates, an avenue to have their product professionally evaluated, showcased, and potentially purchased for premium retail_prices, and to incentivize a new generation of farmers to cultivate exceptional coffees. The competition is free to enter, and the top 40 coffees from each country (as chosen by a jury of experts) are auctioned with the top coffees commanding retail_prices well over 100.00 per pound.
 

 

 

 This beautiful, naturally processed Ethiopian coffee comes to us straight from the Cup of Excellence, where it received accolades for it's juicy body and complex notes of Orange Blossom, Plum, Lychee, Blueberry, Milk Chocolate, and Roasted Hazelnut. Dush Lemiso Uke is a 37 year old father of three children. He owns 0.15 hectares of land in Dawencho Kebele, Arbegona Woreda, Sidama region.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Floral Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Natural""}"
"BURUNDI Buhorwa",,,"https://sparrowcoffee.com/web/image/product.product/78/image_1024/Buhorwa?unique=3106e66",,"16 oz","$ 19.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/buhorwa-79","A history of poor agricultural practices throughout Burundi's colonial history has lead to inconsistent soil quality and tree health creating drastic variances in the quality of the crop from year to year. Because of this, when an exceptional Burundi finds its way to our cupping table we are beyond thrilled. This crisp, light bodied coffee is a great way to brighten your day. With hints of lemon cake, black tea, cranberry and apricot this coffee is utterly sippable.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  Light/ Medium\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Low\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Floral Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Washed""}"
"TANZANIA Hezya Peaberry",,,"https://sparrowcoffee.com/web/image/product.product/77/image_1024/Hezya%20Peaberry?unique=114ad45",,"16 oz","$ 20.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/hezya-peaberry-78","This beautiful peaberry coffee comes to us from the Hezya Agricultural Marketing Cooperative Society which collects from just under 300 farmers. Located in south western Tanzania between 1590-1671 MASL. This cooperative places a high priority on quality control which in turn has lead to the farmers earning a premium on their already beautiful coffees. We find this crop to be rich and smooth, with notes of raisin, toasted oats, brown sugar, and warm baking spice, making it perfect for cold weather.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Earth and Spice Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Washed""}"
"EL SALVADOR Monte Verde",,,"https://sparrowcoffee.com/web/image/product.product/74/image_1024/%5BR-ELS-N%5D%20Monte%20Verde?unique=ba4c1cb",,"16 oz","$ 21.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/r-els-n-monte-verde-75","Grown in the Santa Ana region of El Salvador at an elevation of 1450 MASL. The producer Rene Contreras works diligently to care for his workers and community as much as he does his coffee. The dedication to quality is felt through each sip. This lovely coffee is full bodied and juicy with hints of thyme, lemon, mixed berry jam as well as cocoa and cashew to round out the deeper notes.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Nut Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Natural""}"
"NICARAGUA Pacamara Dark Finca La Bendicion",,,"https://sparrowcoffee.com/web/image/product.product/50/image_1024/%5BR-NIC-PAM-N-D%5D%20Pacamara%20Dark%20Finca%20La%20Bendicion?unique=10641fb",,"16 oz","$ 19.00",,,,,,,,,,"Sparrow Coffee","https://sparrowcoffee.com/shop/r-nic-pam-n-d-pacamara-dark-finca-la-bendicion-50","Finca La Bendición sits at 1,300 MASL growing a diverse array of varietals. We at Sparrow have been particular to the Pacamaras grown here for some time now. The dedication to quality growing, harvesting, and processing is clear in the cup. With this slightly darker roast the juicy strawberry is transformed into a mixed berry jam note with a deeper body that leans into milk chocolate at the finish. If you're looking for a cozy cup with a brighter acidity, this is for you.",,"{""grind"":""G0 Whole Bean\n  G5 Flat-Bottom Drip (House Hold Machine)G1 6-gal Urns (American Metalware)G1 Toddy Cold BrewG2 3-gal Manual Urns (American Metalware)G2 Electric PercG3 ChemEx (Medium to Dark Roasts)G3 Espro French PressG3+ ChemEx (Light Roasts)G4 Fetco CBS-2060 Series (3-gal)G4 French Press (Dark and Medium Roasts)G4 Kone SS FilterG4+ AeroPressG4+ Bialetti Moka Stove Top (Medium Roasted)G4+ French Press (Light and Medium Roasts)G4+ Hario V60 DripperG4+ HighWave Coffee PressG5 Fetco Extractor Brewers (except 2060 series)G5+ Nel DripG5+ TechnivormG5+ Vacuum BrewG5+ Yama Cold Brew DripperG6 Hario Cold Brew DripperG6+ Cone Drip (Household Machine)G7- Bialetti Moka Stove Top (Lite Roasted)G7- Espresso (Household Machine)G7 Espresso (Dark Roasted) [18-22sec]G8 Espresso (Medium Roasted) [26-28sec]G9 Espresso (Lite Roasted) [30sec+]G9 Espresso on Slayer [40sec+]G9/9+ Turkish (Coffee and Amp; Sugar), GreekN/N/A"",""frshPersonalized"":""Standard Label / No Personalization\n  CongratulationsFeel Better SoonHappy AnniversaryHappy BirthdayHappy HolidaysHappy Father's DayHappy Mother's DayHappy ThanksgivingHappy Valentine's DayMerry ChristmasThank YouN/A\n  OTHER"",""flavour"":""Flavor\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Clarity\n  \n  \n  \n  \n  \n  \n  Low\n  \n  \n  \n  \n  \n  \n  \n  Acidity\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Body\n  \n  \n  \n  \n  \n  \n  High\n  \n  \n  \n  \n  \n  \n  \n  Development\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Aftertaste\n  \n  \n  \n  \n  \n  \n  Medium\n  \n  \n  \n  \n  \n  \n  \n  Flavor Profile\n  \n  \n  \n  \n  \n  \n  Fruit and Floral Forward\n  \n  \n  \n  \n  \n  \n  \n  Processed\n  \n  \n  \n  \n  \n  \n  Natural""}"
