"description","sku","pack","size","gtin","name","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level_1","level_2","level_3","manufacturer_name","distributor_name","unit_price","extra_data"
"N/A"," 98820","","20/ 10/ 1 EA","","COSMETIC RAZOR TOUCH'N BLOW LADYN KAI","","","","https://ecatalog.wismettacusa.com/upload/img/m/98820.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4272&branch=LOS","KAI","","","","","","","{""category"":""COSMETIC"",""itemNumber"":"" 98820"",""packSize"":""20/ 10/ 1 EA"",""minOrderQty"":""10"",""barcode"":""690953000020"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/98820.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4272&branch=LOS""}"
"N/A"," 99001","","1 PC","","PVC FOOD FILM 12X2000 SK","","","","https://ecatalog.wismettacusa.com/upload/img/m/10647310015b3259c8579089.73174712.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4178&branch=LOS","SK","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99001"",""packSize"":""1 PC"",""minOrderQty"":""1"",""barcode"":""00721844429818"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/10647310015b3259c8579089.73174712.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4178&branch=LOS""}"
"N/A"," 99002","","1 PC","","PVC FOOD FILM 18X2000 SK","","","","https://ecatalog.wismettacusa.com/upload/img/m/99002-1.JPG","","","","https://ecatalog.wismettacusa.com/product.php?id=4179&branch=LOS","SK","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99002"",""packSize"":""1 PC"",""minOrderQty"":""1"",""barcode"":""074410990022"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/99002-1.JPG"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4179&branch=LOS""}"
"N/A"," 99006C","","28/ 100 PC","","PAPER NAPKIN 2PLY 15X17 WHITE NP528PA","","","","https://ecatalog.wismettacusa.com/upload/img/m/3080770975c0eee98e17d68.43981872.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4182&branch=LOS","PAPERCRAFT","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99006C"",""packSize"":""28/ 100 PC"",""minOrderQty"":""1"",""barcode"":""073286610928"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/3080770975c0eee98e17d68.43981872.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4182&branch=LOS""}"
"N/A"," 99009","","6/ 1 GL","","DETERGENT LIQUID BLEACH 1GAL SK","","","","https://ecatalog.wismettacusa.com/upload/img/m/20693529105c0eeeb2c82293.71654722.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4148&branch=LOS","SK","","","","","","","{""category"":""DETERGENT"",""itemNumber"":"" 99009"",""packSize"":""6/ 1 GL"",""minOrderQty"":""1"",""barcode"":""N/A"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/20693529105c0eeeb2c82293.71654722.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4148&branch=LOS""}"
"N/A"," 99011","","10/ 1000 SH","","TEMPURA PAPER ROUND WHITE LACE 6 1000SH","","","","https://ecatalog.wismettacusa.com/upload/img/m/7078811605c0eeed4c8ae78.74823519.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4183&branch=LOS","SMITH LEE","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99011"",""packSize"":""10/ 1000 SH"",""minOrderQty"":""1"",""barcode"":""074031101647"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/7078811605c0eeed4c8ae78.74823519.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4183&branch=LOS""}"
"N/A"," 99112","","6/ 24/ 100 PR","","BAMBOO SKEWER 8 20CM 100PC","","","","https://ecatalog.wismettacusa.com/upload/img/m/17185827425c05a3c97227f7.87501378.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=4212&branch=LOS","RONGCHANG FOODSTUFF","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99112"",""packSize"":""6/ 24/ 100 PR"",""minOrderQty"":""24"",""barcode"":""074410991128"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/17185827425c05a3c97227f7.87501378.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4212&branch=LOS""}"
"N/A"," 99118","","10/ 24/ 100 PC","","BAMBOO SKEWER 6 15CM 100PC PREMIUM","","","","https://ecatalog.wismettacusa.com/upload/img/m/99118-1.JPG","","","","https://ecatalog.wismettacusa.com/product.php?id=4214&branch=LOS","RONGCHANG FOODSTUFF","","","","","","","{""category"":""KITCHEN ITEM OTHER ( PAPER, SKEWER )"",""itemNumber"":"" 99118"",""packSize"":""10/ 24/ 100 PC"",""minOrderQty"":""24"",""barcode"":""074410991180"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/99118-1.JPG"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4214&branch=LOS""}"
"N/A"," 99326","","40/ 100 PR","","CHOPSTICK WOOD 100PR C SK","","","","https://ecatalog.wismettacusa.com/upload/img/m/99326-1.JPG","","","","https://ecatalog.wismettacusa.com/product.php?id=4033&branch=LOS","SK","","","","","","","{""category"":""CHOPSTIC REGULAR"",""itemNumber"":"" 99326"",""packSize"":""40/ 100 PR"",""minOrderQty"":""1"",""barcode"":""074410993269"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/99326-1.JPG"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=4033&branch=LOS""}"
"L x W x H =  214mm x 154mm x 11mm (8.4"" x 6.1"" x 0.4""). 	Heat Resitant: No. 
TRANSPARENT INNER FITTING LID WHOSE CONTENTS ARE EASY TO SEE."," 99408","","12/ 50 PC","","SUSHI TRAY SHIN CZ-21 LID","","","","https://ecatalog.wismettacusa.com/upload/img/m/5144890095c51e17a003f54.21630891.jpg","","","","https://ecatalog.wismettacusa.com/product.php?id=3892&branch=LOS","CP","","","","","","","{""category"":""SUSHI TRAY"",""itemNumber"":"" 99408"",""packSize"":""12/ 50 PC"",""minOrderQty"":""1"",""barcode"":""N/A"",""mainImageUrl"":""https://ecatalog.wismettacusa.com/upload/img/m/5144890095c51e17a003f54.21630891.jpg"",""link"":""https://ecatalog.wismettacusa.com/product.php?id=3892&branch=LOS""}"
