"name","description","brand","category","sku","packSize","barcode","imageUrl","link"
"FLOUR SWEET MOCHIKO 50LB LOOSE #00023","","KODA","FLOUR","#00168","50 LB","074410001681","https://ecatalog.wismettacusa.com/upload/img/m/00168.jpg","https://ecatalog.wismettacusa.com/product.php?id=423&branch=LOS"
"RICE SHIRAKIKU CALROSE 20LB 24","","SK","CALROSE","#01004","20 LB","074410010072","https://ecatalog.wismettacusa.com/upload/img/m/5067217325b451ec54905c2.13206047.jpg","https://ecatalog.wismettacusa.com/product.php?id=258&branch=LOS"
"RICE SHIRAKIKU CALROSE 10LB 24","","SK","CALROSE","#01005","4/ 10 LB","074410603052","https://ecatalog.wismettacusa.com/upload/img/m/12219324195b759e2be2f462.11784590.jpg","https://ecatalog.wismettacusa.com/product.php?id=252&branch=LOS"
"RICE SHIRAKIKU CALROSE 5LB 24","","SK","CALROSE","#01006","8/ 5 LB","074410603069","https://ecatalog.wismettacusa.com/upload/img/m/18867968715c0eeb01758fb5.38349052.jpg","https://ecatalog.wismettacusa.com/product.php?id=254&branch=LOS"
"RICE SHIRAKIKU CALROSE 5LB 24","","SK","CALROSE","#01006K","8/ 5 LB","074410603069","https://ecatalog.wismettacusa.com/upload/img/m/243686768670416f42ee027.43872135.jpg","https://ecatalog.wismettacusa.com/product.php?id=103969&branch=LOS"
"RICE HITOMEBORE SG 4.4LB 24","","SK","SHORT GRAIN","#01018","8/ 4.4 LB","074410010188","https://ecatalog.wismettacusa.com/upload/img/m/01018-1.jpg","https://ecatalog.wismettacusa.com/product.php?id=292&branch=LOS"
"RICE BROWN SEKKA 15LB 24","","SK","BROWN RICE","#01020","15 LB","074410010201","https://ecatalog.wismettacusa.com/upload/img/m/21104517675b75a73796f494.18107372.jpg","https://ecatalog.wismettacusa.com/product.php?id=321&branch=LOS"
"RICE KOKUHO ROSE 10LB 24","","KOKUHO","MEDIUM GRAIN","#01023","4/ 10 LB","073234020073","https://ecatalog.wismettacusa.com/upload/img/m/18701841085c2ea4b7d19199.55760504.jpg","https://ecatalog.wismettacusa.com/product.php?id=269&branch=LOS"
"RICE KOKUHO ROSE 5LB 24","","KOKUHO","MEDIUM GRAIN","#01024","8/ 5 LB","073234020083","https://ecatalog.wismettacusa.com/upload/img/m/16407398325c0eeb62db26e8.80586555.jpg","https://ecatalog.wismettacusa.com/product.php?id=271&branch=LOS"
"RICE SHIRAKIKU CALROSE 15LB 24","","SK","CALROSE","#01035","15 LB","074410010355","https://ecatalog.wismettacusa.com/upload/img/m/264843505670d4316065967.25053841.jpg","https://ecatalog.wismettacusa.com/product.php?id=261&branch=LOS"
