"name","description","brand","category","sku","packSize","barcode","imageUrl","link"
"DISPENSER ASAHI KEG DBF-40SAC #10156","","ASAHI","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#00175","EA","N/A","https://ecatalog.wismettacusa.com/upload/img/m/13889180785c0970d859b606.29260172.jpg","https://ecatalog.wismettacusa.com/product.php?id=4236&branch=LOS"
"SOY SAUCE KIKKOMAN DISPENSER(EMPTY) LESS","","KIKKOMAN","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#19013","12 BTL","N/A","https://ecatalog.wismettacusa.com/upload/img/m/11430972515cd3090678f319.41241331.jpg","https://ecatalog.wismettacusa.com/product.php?id=4155&branch=LOS"
"SOY SAUCE KIKKOMAN DISPENSER(EMPTY) REG","","KIKKOMAN","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#19017","12 BTL","N/A","https://ecatalog.wismettacusa.com/upload/img/m/19017.JPG","https://ecatalog.wismettacusa.com/product.php?id=4153&branch=LOS"
"SOY SAUCE KIKKOMAN DISPENSER RED CAP","","KIKKOMAN","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#19017A","480/ 1 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/20460349266f5eabde74ab7.86602484.jpg","https://ecatalog.wismettacusa.com/product.php?id=4154&branch=LOS"
"NORI CAN HALF BLACK SK","","SK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50097","2/ 20/ 1 PC","074410500979","https://ecatalog.wismettacusa.com/upload/img/m/6435693675c50ac379341d3.07481875.jpg","https://ecatalog.wismettacusa.com/product.php?id=4157&branch=LOS"
"NORI CAN FULL BLACK SK","","SK","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50098","20/ 1 PC","074410500986","https://ecatalog.wismettacusa.com/upload/img/m/11443825855c50ac6358bf87.69342185.jpg","https://ecatalog.wismettacusa.com/product.php?id=4158&branch=LOS"
"TO GO BOX NEW LL-15-30 MUJI CP","","CP","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50323","1600 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/11178090795c3543d0700320.69642073.jpg","https://ecatalog.wismettacusa.com/product.php?id=4229&branch=LOS"
"TO GO BOX NEW LL-15-30 MATSU CP","","CP","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50324","1600 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/6780655175c3544be1237f6.61562848.jpg","https://ecatalog.wismettacusa.com/product.php?id=4230&branch=LOS"
"TO GO BOX NEW LL-22-30 MUJI CP","","CP","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50325","1200 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/10749928905c354559cd48b8.04110516.jpg","https://ecatalog.wismettacusa.com/product.php?id=4231&branch=LOS"
"TO GO BOX NEW LL-22-30 MATSU CP","","CP","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50326","1200 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/5784183465c35459babe137.74546366.jpg","https://ecatalog.wismettacusa.com/product.php?id=4232&branch=LOS"
"MAKI MACHINE ASM890A","","AUTEC","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#50776","1 EA","N/A","https://ecatalog.wismettacusa.com/upload/img/m/1886273654661978854d4708.35327062.jpg","https://ecatalog.wismettacusa.com/product.php?id=120440&branch=LOS"
"RICE COOKING NET","","ASAHI SOGYO","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#51939","30/ 1 PC","074410519391","https://ecatalog.wismettacusa.com/upload/img/m/12091308335b5648cc06b442.32820846.jpg","https://ecatalog.wismettacusa.com/product.php?id=4160&branch=LOS"
"SUSHI TRAY 10 KIN MINORI BODY GIKEN","","GIKEN","SUSHI TRAY","#52170","24/ 50 PC","074410521707","https://ecatalog.wismettacusa.com/upload/img/m/5385697135b75c6fa8b2b80.62837681.jpg","https://ecatalog.wismettacusa.com/product.php?id=3848&branch=LOS"
"SUSHI TRAY 8 LID GIKEN","","GIKEN","SUSHI TRAY","#52242","30/ 50 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/13721279515c0ee74908eeb7.53613990.jpg","https://ecatalog.wismettacusa.com/product.php?id=3846&branch=LOS"
"SUSHI OKE 3H MIKAGE BODY 31.8CM FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52465","12/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/20569697805c252d82efcfe7.24627270.jpg","https://ecatalog.wismettacusa.com/product.php?id=3851&branch=LOS"
"SUSHI OKE 3F MIKAGE LID FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52466","12/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/1598467275c252da563b055.02627012.jpg","https://ecatalog.wismettacusa.com/product.php?id=3852&branch=LOS"
"SUSHI OKE 4H MIKAGE BODY 36.8CM FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52467","10/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/2621673665c252dc8bff635.28470939.jpg","https://ecatalog.wismettacusa.com/product.php?id=3853&branch=LOS"
"SUSHI OKE 4F MIKAGE LID FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52468","10/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/5805127775c252de5e125b4.27772995.jpg","https://ecatalog.wismettacusa.com/product.php?id=3849&branch=LOS"
"SUSHI OKE 5H MIKAGE BODY 41.8CM FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52469","6/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/17839015485c252e009f9e22.52410231.jpg","https://ecatalog.wismettacusa.com/product.php?id=3850&branch=LOS"
"SUSHI OKE 5F MIKAGE LID FUKUSUKE","","FUKUSUKE","SUSHI TRAY","#52470","6/ 10 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/7171081395c252e163ec3d6.89635728.jpg","https://ecatalog.wismettacusa.com/product.php?id=3854&branch=LOS"
"ONIGIRI MAKER ASM575A AUTEC","","AUTEC","KITCHEN ITEM OTHER ( PAPER, SKEWER )","#53036","1 EA","N/A","https://ecatalog.wismettacusa.com/upload/img/m/201989207669805fe786046.47320142.jpg","https://ecatalog.wismettacusa.com/product.php?id=126247&branch=LOS"
"SUSHI TRAY KAMON YP-0.8 MH","","MING HONG","SUSHI TRAY","#53246","500 PC","N/A","https://ecatalog.wismettacusa.com/upload/img/m/456649434667da3a20da2c5.18796458.jpg","https://ecatalog.wismettacusa.com/product.php?id=90281&branch=LOS"
