"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Tempura Flour (Batter)","TEMPBAT",,"https://www.artisanspecialty.com/wp-content/uploads/TEMPBAT-3.jpg",,"2.2 lbs.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tempura-flour-batter/","Tempura is a Japanese dish where various vegetables and seafood are deep fried in a very light, iced batter. Tempura is different to other fried foods as the batter is often chilled before being used to give an extremely delicate crunch that feels much healthier than normal deep fried foods.",,"{""caseCount"":10,""shelfstable"":""Store in a cool place"",""origin"":""Korea""}"
"Panko Bread Crumbs","PANKO17",,"https://www.artisanspecialty.com/wp-content/uploads/PANKO17-3.jpg",,"20 lb. bag",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/panko-bread-crumbs/","Panko is a type of flaky breadcrumb. It’s commonly used in Asian cuisine, although it has become more popular and widely available in Western cooking. Panko has a light, airy, and delicate texture that helps it crisp as it cooks. It can be used as a crunchy topping to add texture to baked casseroles, like macaroni and cheese, as a breaded coating for fried foods, or as a binder for meatballs.",,"{""caseCount"":""1 each"",""shelfstable"":""Store in a dry place"",""origin"":""China""}"
"Gwa Pao","GWA2",,"https://www.artisanspecialty.com/wp-content/uploads/GWA2-1.jpg",,"10 pc.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/gwa-pao/","Gwa pao, also known as steamed bao, Taiwanese Hamburger, pork bellow buns, or ambiguously, bao, is a xiaochi dish originating from Fuzhou with similar variants found across China, and a popular Taiwanese street food.",,"{""caseCount"":20,""shelfstable"":""Yes"",""origin"":""""}"
"Yuzu Mayo","YUZUMA001",,"https://www.artisanspecialty.com/wp-content/uploads/YUZUMA001-1.jpg",,"290 grams",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/yuzu-mayo/","All natural and loaded with Yuzu, Hotaru Yuzu Mayo is a traditional Japanese Mayonnaise, meaning it is dense, firm, rich and luxurious. This is achieved by using high in acidity Yuzu Fruit as the acidifier and tons of eggs compared to the common Mayonnaise. This yields a style that is preferred by accomplished chefs.",,"{""caseCount"":12,""shelfstable"":"""",""origin"":""""}"
"Yuzu Marmalade","YUZUMAR1",,"https://www.artisanspecialty.com/wp-content/uploads/YUZUMAR1-3.jpg",,"580 grams",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/yuzu-marmalade/","Tart and sweet with a tinge of bitterness made from Yuzu fruit, sugar and honey. We love a dollop of this slathered on a slice of toasted dark bread. Try stirring a bit into a pan sauce for duck or pork. Whisk a spoonful into a dressing for a green salad or ceviche with fresh herbs. Spoon over ice cream or sorbet. Use a base for a tart with almond paste and fresh citrus.",,"{""caseCount"":6,""shelfstable"":""Store in a cool dry place"",""origin"":""Japan""}"
"Pink Sushi Ginger","PGIN",,"https://www.artisanspecialty.com/wp-content/uploads/PGIN-3.jpg",,"11 lbs.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pink-sushi-ginger/","Thinly sliced ginger that has been marinated in a solution of water and vinegar. Often served and eaten after sushi, and is sometimes called sushi ginger. It is considered to be essential in the presentation of sushi. It is used to cleanse the palate between eating different pieces of sushi, or alternatively before or after the meal.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Green Yuzu Koshu","YUZUK2",,"https://www.artisanspecialty.com/wp-content/uploads/YUZUK2-1.jpg",,"500 grams",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/green-yuzu-koshu/","A classic table condiment found throughout Japan, Yakami Orchards Yuzu Kosho has become a secred ingredient of America’s finest chefs. Fresh Yuzu Zest is combined with Fresh Chilies, Sea Salt and Konbu Seaweed to create a bright, spicy flavor profile with a subtle Umami finish. Incredible as a rub on meat and poultry, a wonderful condiment with sush, add a dab to marinades, salad dressings, soups or eggs, or even toss with pasta. A must try for any Japanese cuisine enthusiast.",,"{""caseCount"":6,""shelfstable"":"""",""origin"":""""}"
"Lychee in Syrup","LYCLG",,"https://www.artisanspecialty.com/wp-content/uploads/LYCLG-3.jpg",,"20 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/lychee-in-syrup/","Lychees are brightly colored strawberry shaped fruits with thin large skin and sweet musky aroma. The native Thai fruit, lychees are walnut sized succulent and juicy white fruit. Lychees are delicious with ice cream or in a fruity signature cocktail.",,"{""caseCount"":12,""shelfstable"":""Store in a cool place"",""origin"":""Local""}"
"Edamame Unpeeled","EDEM",,"https://www.artisanspecialty.com/wp-content/uploads/EDEM-3.jpg",,"16 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/edamame-unpeeled/","Edamame are young soy beans still in the pod, unpeeled. Because the beans are young and green when they are picked, edamame soybeans are soft and edible.",,"{""caseCount"":24,""shelfstable"":""Store in a freezer"",""origin"":""Taiwan""}"
"Dried Wasabi Peas","WASPEA",,"https://www.artisanspecialty.com/wp-content/uploads/WASPEA-3.jpg",,"5 lb",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/dried-wasabi-peas/","Wasabi peas are green peas that have been roasted and coated in a mixture of starch, sugar, salt, oil and wasabi. Wasabi peas are actually both salty, spicy and bursting with bold flavor. Eat wasabi peas in moderation, as they are extremely high in protein, along with following a healthy diet. Once rehydrated add wasabi peas into soups, wraps and even trail mix.",,"{""caseCount"":""Shelf Stable"",""shelfstable"":""Store in a Cool Dry Pantry"",""origin"":""""}"
"Yuzu Juice Unpasteurized","YUZUJ",,"https://www.artisanspecialty.com/wp-content/uploads/YUZUJ-3.jpg",,"25.36 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/yuzu-juice-unpasteurized/","It’s incredibly fragrant, but also super sour and tart, which means it’s not meant to be eaten as is. Instead, its zest and juice are used for flavoring in the kitchen. The flavors of sour orange, lemon and tangerine are great for salad dressings, cocktails and a dipping sauce or marinade.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Sudachi Juice Unpasteurized","SUDA",,"https://www.artisanspecialty.com/wp-content/uploads/SUDA-3.jpg",,"25.36 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sudachi-juice-unpasteurized/","Desired by the world’s finest chefs and mixologists, Yakami Orchard Sudachi Juice, is a first press using the whole fruit, capturing the intense floral aroma and tart, peppery flavor qualitites of ripe Sudachi Fruit. Sudachi Juice is a rare and vibrant ingredient perfect for cocktails and non-alcoholic drinks, vinaigrettes, ceviche, sauces and desserts or whenever a splash of fresh Sudachi Citrus will create the flavor complexity you desire in whatever creation demands the best.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Coconut Milk","COCMI",,"https://www.artisanspecialty.com/wp-content/uploads/COCMI-3.jpg",,"14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/coconut-milk/","Coconut milk is the liquid that comes from the grated meat of a mature coconut. The opacity and rich taste of coconut milk are attributed to its high oil content, most of which is saturated fat. Coconut milk is a popular food ingredient used in Southeast Asia, the Caribbean, and northern South America. Coconut milk can be used as a lactose-free, vegan milk substitute in countless capacities, use it as a healthier yet sweet tasting alternative to animal dairy products.",,"{""caseCount"":24,""shelfstable"":""Store case in a cool place"",""origin"":""Local""}"
"Thai Yellow Curry Paste","CPASY",,"https://www.artisanspecialty.com/wp-content/uploads/CPASY-7.jpg",,"35 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/thai-yellow-curry-paste/","Yellow Curry paste is another curry flavor that you may want to try. The yellow color comes from tumeric, one of the key ingredients. Other ingredients include: lemon grass, garlic, shallots, salt, galangal, dried red chilli, coriander seed, kaffir lime peel, cumin, cinnamon, mace, tumeric, and cardamon. Yellow curry paste is so versatile, you’ll want to try it with a variety of meat, seafood, vegetable, noodle, and even soup recipes.",,"{""caseCount"":""Shelf Stable"",""shelfstable"":""Refrigerate After Opening"",""origin"":""""}"
"Thai Red Curry Paste","CPASR",,"https://www.artisanspecialty.com/wp-content/uploads/CPASR-7.jpg",,"35 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/thai-red-curry-paste/","Red Curry Paste gets its color from the red chillis which are ground together with other ingredients as well as shrimp paste. It is a very hot curry, although it is sweeter than the other curries, it’s in the range such as red or yellow. It also contains lemongrass, garlic, salt, shallots, and galangal. Red curry is a popular Thai dish consisting of red curry paste cooked in coconut milk and added with meat such as chicken, beef, pork, duck or shrimp, or vegetarian protein source such as tofu.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Thai Green Curry Paste","CPASG",,"https://www.artisanspecialty.com/wp-content/uploads/CPASG-7.jpg",,"35 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/thai-green-curry-paste/","Green Curry Paste gets its color from the green chillis which are ground together with the other ingredients as well as shrimp paste. It is a very hot curry, as it is the base for the typical Thai green curry, although it is sweeter than the other curries it ranges from red or yellow. It also contains lemongrass, garlic, salt, shallots, and galangal. Add to your favorite meats or seafood, noodles, vegetables, tofu, or wheat gluten, this paste will create sumptuous curries.",,"{""caseCount"":""Shelf Stable"",""shelfstable"":""Refrigerate After Opening"",""origin"":""""}"
"Tahini Paste","TAHINI",,"https://www.artisanspecialty.com/wp-content/uploads/TAHINI-3.jpg",,"16 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tahini-paste/","Tahini is a paste made from ground sesame seeds. Tahini is one of the main ingredients in Middle Eastern dishes like hummus and babaganoush. It makes a wonderful base for salad dressings and adds great nutritional value and texture to smoothies. Spread on whole grain toast with a little bit of miso paste it makes a great addition to a savory sandwich.",,"{""caseCount"":""12 Per Case"",""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Harissa Paste","HARPAS002",,"https://www.artisanspecialty.com/wp-content/uploads/HARPAS002-1.jpg",,"14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/harissa-paste-2/","Inherited from Northern African culture, Harissa is a must have to cook any Moroccan or Tunisian meal such as couscous. Used as a black pepper, it seasons and personalizes your meals, thanks to its prestigious taste.",,"{""caseCount"":""12 per case"",""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Harissa Paste","HARPAS",,"https://www.artisanspecialty.com/wp-content/uploads/HARPAS-3.jpg",,"5.3 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/harissa-paste/","Harissa is a spicy and aromatic chile paste that’s a widely used staple in North African and Middle Eastern cooking. This paste is made from chilli peppers and other spices. Even if you love spicy food, harissa packs quite a punch, a little goes a long way.",,"{""caseCount"":""12 Per Case"",""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Harissa","HARISS",,"https://www.artisanspecialty.com/wp-content/uploads/HARISS-1.jpg",,"2.2 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/harissa/","This deeply fiery and aromatic pepper spread is a classic North African condiment often used to enhance soups, stews, grilled meats or greens and grain salads.",,"{""caseCount"":3,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Green Harissa","HARGRE",,"https://www.artisanspecialty.com/wp-content/uploads/HARGRE-1.jpg",,"2.2 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/green-harissa/","A fiery, lively, herbaceous Harissa crafted from green chili peppers, herbs and spices. A wonderful addition to stir-frys, roasted veggies or grilled meat.",,"{""caseCount"":3,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Wasabi Powder","WASPOW2",,"https://www.artisanspecialty.com/wp-content/uploads/WASPOW2-3.jpg",,"10 lb",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/wasabi-powder/","Wasabi, known as Japanese horseradish, is used as a spice and has an extremely strong flavor. This product is true wasabi, while evocative of common horseradish, is actually more subtle and complex.",,"{""caseCount"":""Shelf Stable"",""shelfstable"":""Store in a Cool Dry Pantry"",""origin"":""""}"
"Chinese Five Spice Powder","FIVSPI",,"https://www.artisanspecialty.com/wp-content/uploads/FIVSPI-3.jpg",,"16 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chinese-five-spice-powder/","Five spice may be used with fatty meats such as pork, duck or goose. It is used as a spice rub for chicken, duck, pork and seafood, in red cooking recipes, or added to the breading for fried foods. Contains anniseed, fennel, citrus peel, cinnamon and ginger.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Thin Soy Sauce","SOYS6",,"https://www.artisanspecialty.com/wp-content/uploads/SOYS6-1.jpg",,"19 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/thin-soy-sauce/","Thin soy sauce imported from Thailand. 50% soybean, 50% wheat flour.",,"{""caseCount"":12,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Teriyaki Sauce","TERIY1",,"https://www.artisanspecialty.com/wp-content/uploads/TERIY1-3.jpg",,"1 gallon",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/teriyaki-sauce/","Use it for your next stir-fry, dip grilled meats in it too, or drizzle it on a burger, or dip appetizers in it! This versatile sauce is as easy as it is delicious. This is a simple mixture of soy sauce, brown sugar, Sake, and mirin, cooked down until it becomes a semi-thick, spoon-coating sauce with a constant pull between sweet and salty.",,"{""caseCount"":4,""shelfstable"":""Store in a dry place"",""origin"":""""}"
"Tamari White Soy Sauce","SOYS4",,"https://www.artisanspecialty.com/wp-content/uploads/SOYS4-3.jpg",,"750 mL.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tamari-white-soy-sauce/","Complex aromas of earthy must, leather, fermented soy beans and White Pepper are present on the nose while flavor notes of Savory, Umami, Fungal and hints of Pine fill the palate. Used in Japan as a finishing Shoyu or as a stand-alone ingredient, Haku Matsutake Shoyu stands out among Japan s great Shoyus.",,"{""caseCount"":6,""shelfstable"":""Store in a dry place"",""origin"":""""}"
"Tamari Soy Sauce","TAMSOY3",,"https://www.artisanspecialty.com/wp-content/uploads/TAMSOY3-3.jpg",,"64 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tamari-soy-sauce/","Tamari is a wider class of soy sauces, and is made with no or very little wheat, while traditional soy sauce does contain wheat. It can be used in asian and non-asian cooking to add a full, savory, umami flavor to your dishes.",,"{""caseCount"":1,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Sweet Soy Sauce","SOYS3",,"https://www.artisanspecialty.com/wp-content/uploads/SOYS3-1.jpeg",,"625 mL.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sweet-soy-sauce/","Sweet soy sauce is an Indonesian sweetened aromatic soy sauce, which has a dark colour, a thick syrupy consistency and a unique, pronounced, sweet and somewhat molasses-like flavor due to the generous addition of palm sugar.",,"{""caseCount"":12,""shelfstable"":""Store in a cool place."",""origin"":""Malaysia, Indonesia""}"
"Sriracha Sauce","SRIRACHA",,"https://www.artisanspecialty.com/wp-content/uploads/SRIRACHA-3.jpg",,"28 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sriracha-sauce/","Sriracha is made from sun-ripen chilies which are ground into a smooth paste along with garlic. It is excellent in soups, sauces, pastas, pizzas, hot dogs, hamburgers, chow mien or on anything else to give it a delicious, spicy taste.",,"{""caseCount"":12,""shelfstable"":""Store in a dry cool place"",""origin"":""Spicy and savory""}"
"Plum Sauce","PLUMS",,"https://www.artisanspecialty.com/wp-content/uploads/PLUMS-3.jpg",,"15 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/plum-sauce/","Koon Chun plum sauce is a sweet and sour sauce which is made from selected plums, chilies, and ginger. It is the most popular sauce for dipping “roast goose” and grilled or roasted meats. It is also widely used in marinated and stir-fried dishes. It is a delicious, authentic plum sauce.",,"{""caseCount"":24,""shelfstable"":""Store in a dry place."",""origin"":""Hong Kong""}"
"Oyster Sauce","OYSAUC",,"https://www.artisanspecialty.com/wp-content/uploads/OYSAUC-3.jpg",,"14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/oyster-sauce/","Bottled oyster-flavored sauce is a rich, concentrated mixture of oyster extractives, soy sauce, brine and assorted seasonings. The brown sauce is thick, salty, and strong. It is used sparingly to enhance the flavor of many dishes that have a long list of additional wet and aromatic ingredients. Often used in broccli beef.",,"{""caseCount"":24,""shelfstable"":""Store in a cool place"",""origin"":""Philippians""}"
"Mushroom Soy Sauce","SOYMUSH",,"https://www.artisanspecialty.com/wp-content/uploads/SOYMUSH-3.jpg",,"22 fl. oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/mushroom-soy-sauce/","Dark soy sauce is used throughout Asia and is a bit richer and thicker than the lighter varieties. It tends to have a chocolate brown color, and a pungent, rather than overly salty, flavor. Mushroom soy sauce is a dark soy sauce from China which adds straw mushroom essence to the sauce’s brew.",,"{""caseCount"":12,""shelfstable"":""Store in a cool place. Refrigerate after opening."",""origin"":""Thailand""}"
"Mirin Wine","MIRIN",,"https://www.artisanspecialty.com/wp-content/uploads/MIRIN-3.jpg",,"60 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/mirin-wine/","Mirin is a common staple used in Japanese cooking. It’s a type of rice wine, similar to sake, but with a lower alcohol and higher sugar content. Mirin has a sweet flavor, which makes it a nice contrast when used with saltier sauces, like soy or tamari. It has a golden to light amber color and a slightly thick consistency. Mirin is also known for toning down dishes that have a strong fishy or gamey taste. Do note that mirin has a strong, distinct taste, so use it in small quantities. A little goes a long way.",,"{""caseCount"":6,""shelfstable"":""Store in a cool place"",""origin"":""Japan""}"
"Japanese Ponzu","PONZUJ",,"https://www.artisanspecialty.com/wp-content/uploads/PONZUJ-3.jpg",,"750 ml bottle",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/japanese-ponzu/","A citrus-based sauce commonly used in Japanese cuisine. It is tart, with a thin, watery consistency and a dark brown color. It’s a great dipping sauce for cold noodles, salads, dumplings, grilled meats and fish, cold sliced meat or fish, or any number of other dishes.",,"{""caseCount"":""6 per case"",""shelfstable"":"""",""origin"":""""}"
"Hot Chili Oil","CHOIL1",,"https://www.artisanspecialty.com/wp-content/uploads/CHOIL1-3.jpg",,"6.7 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/hot-chili-oil/","Condiment made from vegetable oil that has been infused with chili peppers. It is commonly used in Chinese cuisine, East and Southeast Asia and elsewhere. Particularly popular in Sichuan cuisine, it is used as an ingredient in cooked dishes as well as a condiment.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Hoisin Sauce","HOISIN",,"https://www.artisanspecialty.com/wp-content/uploads/HOISIN-3.jpg",,"20 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/hoisin-sauce/","Hoisin sauce is a thick, pungent sauce commonly used in Chinese cuisine as a glaze for meat, an addition to stir fries, or as dipping sauce. It is darkly colored in appearance and sweet and salty in taste. This Hoisin sauce is soy-based and made up of soybean paste, garlic, vinegar, red chillies, and other spices.",,"{""caseCount"":12,""shelfstable"":""Store in a dry place"",""origin"":""Hong Kong""}"
"Fish Sauce","FSAUCE",,"https://www.artisanspecialty.com/wp-content/uploads/FSAUCE-3.jpg",,"23 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/fish-sauce/","Fish sauce is a condiment made from fish coated in salt and fermented from weeks to up to two years. A strong fermented fish flavor sauce, dark in color.",,"{""caseCount"":12,""shelfstable"":""Store in a cool dry place"",""origin"":""Thailand""}"
"Chili Garlic Sauce","CHGARG",,"https://www.artisanspecialty.com/wp-content/uploads/CHGARG-3.jpg",,"1 gallon",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chili-garlic-sauce/","A spicy red chili sauce with garlic overtones",,"{""caseCount"":3,""shelfstable"":""Store in a dry place"",""origin"":""USA""}"
"Char Siu Sauce","CHARSU",,"https://www.artisanspecialty.com/wp-content/uploads/CHARSU-3.jpg",,"14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/char-siu-sauce/","Used in variously in different Asian cultures due to it’s darkbrown and viscious sauce. Consists of sugar, water, salt, honey and fermented soybean paste. The sweet fermented soy bean flavor compliments most dishes and meats.",,"{""caseCount"":12,""shelfstable"":""Store in a cool place"",""origin"":""Hong Kong""}"
"Black Garlic Shoyu","BGSHOYU",,"https://www.artisanspecialty.com/wp-content/uploads/BGSHOYU-3.jpg",,"500 mL",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/black-garlic-shoyu/","Haku Black Garlic Shoyu is a truly extraordinary expression of the progessive next generation, complex aromas of earthy must and fermented soy beans are present. With notes of fig, raisin, molasses, and fermented garlic, this soy sauce is perfect for making a rich vinaigrette or tatsuta age. Also great as a dipping sauce for lamb or as an ingredient in vegetable stir fry.",,"{""caseCount"":6,""shelfstable"":""Store in a cool place - Refrigerate after opening"",""origin"":""Japan""}"
"White Sesame Seeds","WHTSEED",,"https://www.artisanspecialty.com/wp-content/uploads/WHTSEED-3.jpg",,"14 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/white-sesame-seeds/","Sesame seeds are tiny, flat oval seeds with a nutty taste and a delicate, almost invisible crunch. They come in a host of different colors. Sesame seeds are highly valued for their high content of sesame oil, an oil that is very resistant to rancidity. Sesame seeds are the main ingredients in both tahini and the Middle Eastern sweet treat, halvah.",,"{""caseCount"":50,""shelfstable"":""Shelf Stable"",""origin"":""Thailand""}"
"Wasabi Sesame Seeds","SESWAS",,"https://www.artisanspecialty.com/wp-content/uploads/SESWAS-3.jpg",,"16 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/wasabi-sesame-seeds/","Wasabi Sesame Seeds are small sesame seeds with an earthy green color. They have a prominent rich and nutty sesame flavor with spicy wasabi undertones.",,"{""caseCount"":""Shelf Stable"",""shelfstable"":""Store in a Cool Dry Pantry"",""origin"":""""}"
"Soy Sesame Seeds","SESSOY",,"https://www.artisanspecialty.com/wp-content/uploads/SESSOY-3.jpg",,"16 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/soy-sesame-seeds/","These seeds have a sesame nutty flavor with soy sauce undertones.",,"{""caseCount"":6,""shelfstable"":""Store in cool dry place"",""origin"":""""}"
"Bamboo Charcoal Spicy Sesame Seeds","SESBAM",,"https://www.artisanspecialty.com/wp-content/uploads/SESBAM-3.jpg",,"16 oz. jar",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/bamboo-charcoal-spicy-sesame-seeds/","Bamboo Charcoal Spicy Sesame Seeds are small with an earthy black color. They have a prominent rich and nutty sesame flavor with smoky charcoal understones. These special sesame seeds add a delicious taste and brilliant color to any dish for a quick fusion of Asian flavor.",,"{""caseCount"":6,""shelfstable"":""Store in a cool dry place"",""origin"":""""}"
"Wakame Dried Seaweed","WAKSW",,"https://www.artisanspecialty.com/wp-content/uploads/WAKSW-3.jpg",,"1 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/wakame-dried-seaweed/","It has a subtly sweet flavor and is most often served in soups and salads. Wakame seaweed is one of the healthiest Japanese foods due to being rich in vitamins & minerals.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
