"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Chorizo Vela",1017,,"https://www.artisanspecialty.com/wp-content/uploads/1017-3.jpg",,"1 per back / 2.5 lbs each",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-vela/","The sausage is sailing straight as cular but narrower gauge (about 30-40 mm) and length 40 cm approximately. The name might come because the long narrow shape, resembles that of a candle. This sausage is mild and coursely chopped.",,"{""case count"":""8 packs per case"",""shelfStable"":""No""}"
"Chorizo Soria",1010,,"https://www.artisanspecialty.com/wp-content/uploads/1010-3.jpg",,"8 packs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-soria/","Originated in Old Castille around Soria. Although actually a sausage, it resembles a gently seasoned, lean pork loin with a concentrated meaty taste which makes it much different from conventional chorizo. The meat is diced by hand, seasoned, and cured overnight to reduce its moisture. This Spanish chorizo is flavored with paprika, garlic, sea salt and additional spices. The mixture is then tightly packed into natural, Portuguese net-like casings and air-dried for three months. Product is Gluten Free.",,"{""case count"":""10 lbs."",""shelfStable"":""""}"
"Chorizo Sarta",1016,,"https://www.artisanspecialty.com/wp-content/uploads/1016-3.jpg",,"20 packs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-sarta/","It is a cured sausage characterized by a form of sarta or horseshoe and its thickness, made from natural ingredients, which are lean pork, pimenton de la vera (paprika), garlic and natural sea salt. Pimenton de la vera gives it the famous red color and deep flavor.",,"{""case count"":""10 lbs."",""shelfStable"":""""}"
"Chorizo Pamplona",1020,,"https://www.artisanspecialty.com/wp-content/uploads/1020-3.jpg",,"10 lb.Box",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-pamplona/","The Pamplona variety grinds the meat further. A product of incomparable flavor and aroma obtained from careful and natural process of elaboration. A superb strong flavor of smoked imported Spanish paprika which was used in this sausages preparation gives a slight bitterness. Pamplona resembles a good quality salami.",,"{""case count"":""Store in a refrigerator"",""shelfStable"":""No""}"
"Chorizo Leon Herradura",1015,,"https://www.artisanspecialty.com/wp-content/uploads/1015-3.jpg",,"14 packs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-leon-herradura/","Leon herradura Chorizo has a superb strong flavor that comes from four kinds of imported Spanish pimenton: mild, smoked, hot, and bittersweet. The flavor is of dry nuts and strong spices. This Spanish chorizo is hand-tied and dry cured. Especially for those who appreciate and enjoy a bold and full flavored chorizo. Product is Gluten Free.",,"{""case count"":""10 lb."",""shelfStable"":""""}"
"Chorizo Bilboa",1330,,"https://www.artisanspecialty.com/wp-content/uploads/1330-3.jpg",,"10 lb. cs.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/chorizo-bilboa/","Great tasting, consists of leanmeat of pork, paprika, salt and garlic. Rich with flavors of garlic and smoked paprika, but not at all picante. Chorizo Bilbao is semi-cured so it needs to be cooked before serving. It is a great food and can be combined with many dishes.",,"{""case count"":"""",""shelfStable"":""""}"
"Truffle Mousse Terrine","PATTRU-FZN",,"https://www.artisanspecialty.com/wp-content/uploads/PATTRU-FZN-3.jpg",,"5 lb. each",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/truffle-mousse-terrine/","Made with pork, turkey and chicken liver, sherry, truffles, wild mushrooms spices, our truffle mouse p té is a delightful mixture of rich flavors and creamy, delicate textures. The rich texture of Foie Gras and the earthy flavor of black truffles are a perfect match, made even more enjoyable after they have been whipped into a light an airy mousse.",,"{""case count"":1,""shelfStable"":""Store in a freezer or cooler""}"
"Pate De Campagne","PATCAM-FZN",,"https://www.artisanspecialty.com/wp-content/uploads/PATCAM-FZN-3.jpg",,"5 lb. each",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pate-de-campagne/","Campange pate is made with pork and duck meat along with Sherry Wine and special herbs and spices. A country style pate that can be easily sliced or serve cubed with toothpicks and enjoy it served with simple pairings. Try serving with thinly sliced baguette, toasted brioche or flat bread crackers.",,"{""case count"":1,""shelfStable"":""Store in a freezer or cooler""}"
"Le Patron Pate En Croute","PATLEN",,"https://www.artisanspecialty.com/wp-content/uploads/PATLEN-3.jpg",,"21-24 oz. ea / 1 per pack",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/le-patron-pate-en-croute/","Cocktail Pates yield approximately 32 portions per unit. Perfect sizes for guests to handle. Wrapped in Brioche dough. Le Patron Pate is a smooth blend of ground pork and chicken liver; flavored with sweet and nutty pistachios and earthy notes of truffle.",,"{""case count"":"""",""shelfStable"":""""}"
"Herbs De Provence","PATHERB-FZN",,"https://www.artisanspecialty.com/wp-content/uploads/PATHERB-FZN-3.jpg",,"5 lb. each",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/herbs-de-provence/","Pate made of chicken breast, chicken liver and rum with the classic French Herb De Provence blend of dried herbs, featuring marjoram, oregano, rosemary, thymes and lavender.",,"{""case count"":1,""shelfStable"":""Store in a freezer or cooler""}"
