"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Morcilla de Cebolla",1440,,"https://www.artisanspecialty.com/wp-content/uploads/1440-3.jpg",,"2 links per pack",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/morcilla-de-cebolla/","Classic Blood Sausage with Onions similar to the French boudin noir. A vital ingredient in the fabada stew from Austrias, Spain. Blood sausage contains pork blood, and onions fried in butter. Depending on the territorial varieties sometimes the onion mixture is usually mixed with cumin, garlic, pepper, etc. Ideal for flavoring legumes, rice dishes, casseroles and stuffed pasteries.",,"{""caseCount"":""10 lbs. case"",""shelfstable"":""Store in a cooler or freezer"",""origin"":""Strong blood sausage""}"
"Morcilla de Arroz",1430,,"https://www.artisanspecialty.com/wp-content/uploads/1430-3.jpg",,"7 oz. per pack / 2 links per pack",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/morcilla-de-arroz/","Traditional Spanish blood sausage made with pork, rice, onions, parsley & spices. Morcilla de Arroz is a wonderful Spanish sausage that can be thickly sliced and fried to eat as an appetizer, or is often used as an ingredient in bean & chickpea stews, to which it lends a fine flavor. This particular morcilla is made in the style of Burgos using rice. The result is a much more savory flavor using rice.",,"{""caseCount"":""10 lbs. case"",""shelfstable"":"""",""origin"":""""}"
"Catalan Butifarrita","SAUBUT",,"https://www.artisanspecialty.com/wp-content/uploads/SAUBUT-3.jpg",,"10 lb",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/catalan-butifarrita/","Butifarra Catalonian Sausage is a plump white sausage made from pork, garlic, and spices. A Catalan delicacy, a soft and juicy, fully cooked, plump sausage that is great for grilling or use in stews or served with eggs or beans. Its a larger format of the Butifarrita sausage.",,"{""caseCount"":""Store in a freezer or cooler"",""shelfstable"":""Yes"",""origin"":""Mild spice""}"
"Sweet Coppa – Citterio","CIT011",,"https://www.artisanspecialty.com/wp-content/uploads/CIT011-1.jpg",,"2.5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sweet-coppa-citterio/","Meticulously selected whole-muscle cuts, delicately seasoned, naturally slow aged to fully develop the authentic flavor and tenderness",,"{""caseCount"":6,""shelfstable"":""Store in cooler"",""origin"":""USA""}"
"Sopressata – Citterio","CIT015",,"https://www.artisanspecialty.com/wp-content/uploads/CIT015-1.jpg",,"7lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sopressata-citterio/","Subtle seasoning: black pepper, a touch of salt and fresh garlic. Thoroughly authentic of the classic hand-cut, hand crafted varieties.",,"{""caseCount"":3,""shelfstable"":""Store in cooler"",""origin"":""USA""}"
"Salumi – Spanish Chorizo (uncured)","SC003",,"",,"5.3 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/salumi-spanish-chorizo-uncured/","This salami is comprised of Heritage Pork, Trapani Sicilian Sea Salt, a blend of Smoked Spanish Paprikas, Oregano, Telicherry Black Pepper and Cleto Chiarli Lambrusco red win. Salumi Chicago uniquely brings another level of Italian quality meats to the US.",,"{""caseCount"":9,""shelfstable"":""Store in a cooler"",""origin"":""Local""}"
"Salumi – Spanish Chorizo (uncured)","SC013",,"",,"12-14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/salumi-spanish-chorizo-uncured-2/","This salami is comprised of Heritage Pork, Trapani Sicilian Sea Salt, a blend of Smoked Spanish Paprikas, Oregano, Telicherry Black Pepper and Cleto Chiarli Lambrusco red wine. Salumi Chicago uniquely brings another level of Italian quality meats to the US.",,"{""caseCount"":""6-7 each"",""shelfstable"":""Store in a cooler"",""origin"":""Local""}"
"Salumi – Soppressata (uncured)","SC014",,"",,"12-14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/salumi-soppressata-uncured-2/","This salami is comprised of Heritage Pork, Trapani Sicilian Sea Salt, fresh and dried imported Calabrian Chili Peppers, Telicherry Black Pepper and Cleto Chiarli Lambrusco Red Wine. Keto and Paleo friendly! Salumi Chicago uniquely brings another level of Italian quality meats to the US.",,"{""caseCount"":""6-7 each"",""shelfstable"":""Store in a cooler or freezer"",""origin"":""Local""}"
"Salumi – Soppressata (uncured)","SC004",,"",,"5.3 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/salumi-soppressata-uncured/","This salami is comprised of Heritage Pork, Trapani Sicilian Sea Salt, fresh and dried imported Calabrian Chili Peppers, Telicherry Black Pepper and Cleto Chiarli Lambrusco Red Wine. Keto and Paleo friendly! Salumi Chicago uniquely brings another level of Italian quality meats to the US.",,"{""caseCount"":9,""shelfstable"":""Store in a cooler"",""origin"":""Local""}"
"Salumi – Finocchiona Salami (uncured)","SC011",,"",,"12-14 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/salumi-finocchiona-salami-uncured-2/","This salami is comprised of Heritage Pork, Trapani Sicilian Sea Salt, freshly toasted and ground fennel pollen, fennel seeds, Telicherry Black Pepper and Cleto Chiarli Lambrusco red wine. Keto and Paleo friendly! Salumi Chicago uniquely brings another level of Italian quality meats to the US.",,"{""caseCount"":""6-7 each"",""shelfstable"":""Store in a cooler"",""origin"":""Local""}"
