"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Organic Garbanzo Bean Flour","SWR061",,"https://www.artisanspecialty.com/wp-content/uploads/SWR061-1.jpg",,"5 lbs.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/organic-garbanzo-bean-flour/","Organic Garbanzo Bean Flour is loaded with protein, fiber and good source of iron. Chickpea flour made from this delicious bean lends a sweet, rich flavor to baked goods.",,"{""caseCount"":2,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Untreated Flour","BM73384",,"https://www.artisanspecialty.com/wp-content/uploads/BM73384-1.jpg",,"50 lbs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/untreated-flour/","Patent flour is the purest and highest-quality commercial wheat flour available. Patent untreated flour is not bleached, bromated, enriched or malted. A popular choice by many bakers as a great all purpose baking flour.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Steve’s Cake Gluten Free Flour","FLOUGLF001",,"https://www.artisanspecialty.com/wp-content/uploads/FLOUGLF001-1.jpg",,"25 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/steves-cake-gluten-free-flour/","Cake Flour Blend is produced by blending combination of flours in a ribbon blender. This blend is processed under strict sanitary conditions, in accordance with good commercial practice. This product shall be free of undesirable flavors, odors, visible mold, and insect infestation.",,"{""caseCount"":1,""shelfstable"":""Store in a cool dry place"",""origin"":""""}"
"Rye Flour","RYEFL",,"https://www.artisanspecialty.com/wp-content/uploads/RYEFL-3.jpg",,"10 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/rye-flour/","Medium rye flour is a slightly darker rye, milled closer to the bran than white rye. It makes a dense, flavorful rye bread when used alone. Combine it with all-purpose flour for a classic rye sandwich bread.",,"{""caseCount"":1,""shelfstable"":"""",""origin"":""""}"
"Roasted Pistachio Flour","PISFLO",,"https://www.artisanspecialty.com/wp-content/uploads/PISFLO-3.jpg",,"5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/roasted-pistachio-flour/","Pistachio Flour is a delicious alternative to regular wheat flour. Pistachios are roasted and finely ground to an almost flour consistency. The sweet and delicious consistency is a great way to liven up any ordinary baking recipe. Use Pistachio Flour as an original ice cream topper or as a great addition to sprinkle on top of frosting!",,"{""caseCount"":1,""shelfstable"":"""",""origin"":""""}"
"Roasted Hazelnut Flour","HAZFLO",,"https://www.artisanspecialty.com/wp-content/uploads/HAZFLO-3.jpg",,"5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/roasted-hazelnut-flour/","This Roasted Hazelnut Meal is a creamy tan-colored coarse meal made from the same premium hazelnuts we sell raw. Hazelnuts can be ground into meal for a gluten-free alternative with a sweet, buttery nut flavor.",,"{""caseCount"":1,""shelfstable"":"""",""origin"":""""}"
"Rice Flour","RICEFLOUR",,"https://www.artisanspecialty.com/wp-content/uploads/RICEFLOUR-3.jpg",,"1 lb",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/rice-flour/","Rice flour is a form of flour made from finely milled rice. It is distinct from rice starch, which is usually produced by steeping rice in lye. Rice flour works well as a thickening agent for soups, sauces, & Gravy. also used for baking, frying, and making noodles.",,"{""caseCount"":24,""shelfstable"":""No"",""origin"":""Sweet""}"
"Potato Starch","POTSTAR",,"https://www.artisanspecialty.com/wp-content/uploads/POTSTAR-1.png",,"5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/potato-starch/","Potato starch can be used in many recipes, for example in noodles, wine gums, cocktail nuts, potato chips, hot dog sausages, baker cream and instant soups and sauces, in gluten-free recipes in kosher foods for Passover and in Asian cuisine. In pastries it can be used to keep the cake moist and give soft texture. It is also occasionally used in preparation of pre-packed grated cheese, to reduce sweating and binding.",,"{""caseCount"":1,""shelfstable"":""No"",""origin"":""""}"
"Masa Corn Flour","MASA",,"https://www.artisanspecialty.com/wp-content/uploads/MASA-3.jpg",,"10 lb",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/masa-corn-flour/","Masa is the Mexican word for dough, it is the traditional corn flour used to make tortillas and tamales. Masa is corn that is dried and then treated on a lime solution to loosen the corn and soften it. The soaked corn is washed and ground into dough, which is called masa. When the masa is dried and powdered it becomes masa harina.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"King Midas Special AD","BM12403",,"https://www.artisanspecialty.com/wp-content/uploads/BM12403-3.jpg",,"50 lbs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/king-midas-special-ad/","Milled from 100% organic hard red winter and spring wheats, this jack-of-all-trades flour strengthens breads, bakes up lofty biscuits, and turns out delicately crumbed cakes. As the highest gluten flour around, it’s key to helping you bake lusty, chewy artisan breads and whole grain breads with hearty lofty texture.",,"{""caseCount"":""1 each"",""shelfstable"":""No"",""origin"":""Whole Grain""}"
