"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Rice Bran Oil","RICBO5",,"https://www.artisanspecialty.com/wp-content/uploads/RICBO5-3.jpg",,"5 gl.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/rice-bran-oil/","Rice Bran oil is truly like no other, it reins superior to other high fry oils due to its distinct nutty flavor that will not mask your food. Foods fried in Rice Bran Oil tend to cook up crisper and less greasy compared to other frying oils. Yield is also a distinguishing factor as it can be used 1.5-2 times longer than most oils in the market. With lower oxidation your cooking equipment will see less gunky buildup which means less time spent cleaning.",,"{""caseCount"":1,""shelfstable"":""No"",""origin"":""Nutty""}"
"Pumpkin Seed Oil","PUMOIL",,"https://www.artisanspecialty.com/wp-content/uploads/PUMOIL-3.jpg",,"8.45 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pumpkin-seed-oil/","Pumpkin seed oil has a rich aroma and full, earthy favour that lends it’s self to many applications. Try drizzling a bit of it onto a cheese plate with a slice of Gruyere, or into a pumpkin soup. Work a wee bit into cr?me fraische and adda dollop to borsht. Substitute a small portion of the baking oil in tea breads for pumpkin seed oil for a warm, toasty under note.",,"{""caseCount"":12,""shelfstable"":""No"",""origin"":""Pumpkin""}"
"Kadoya 100% Pure Sesame Oil","SESOIL3",,"https://www.artisanspecialty.com/wp-content/uploads/SESOIL3-3.jpg",,"3.5 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/kadoya-100-pure-sesame-oil/","This oil is amber in color. This Asian oil is full of flavor and great for seasoning and dressings.",,"{""caseCount"":10,""shelfstable"":""No"",""origin"":""Sesame""}"
"Hazelnut Oil","HAZOGAL",,"https://www.artisanspecialty.com/wp-content/uploads/HAZOGAL-1.jpeg",,"1 ltr.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/hazelnut-oil/","The classic flavor of Hazelnuts is a must for the pastry kitchen. Create full-bodied nut pastry fillings, flavored ganache fillings for chocolates with hazelnut oil. Nut oils can be used in many applications where you would use extra virgin olive oil. Try using hazelnut oil in place of a small portion of the oil used in mayonnaise or in place of some of the oil used in a salad dressing.",,"{""caseCount"":6,""shelfstable"":""No"",""origin"":""Hazelnut""}"
"Grapeseed Oil","GRSOIL001",,"https://www.artisanspecialty.com/wp-content/uploads/GRSOIL001-1.jpg",,"1 gal.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/grapeseed-oil/","Grapeseed oil is extracted from the seeds of grapes, typically wine grapes. Grapeseed oil is a byproduct of winemaking. After wine is made by pressing grapes, grape seeds are left behind. Grapeseed oil is extracted from these leftover grape seeds. Grapeseed oil is used as a natural beauty product. Its also marketed as a healthy alternative to vegetable oil.",,"{""caseCount"":4,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Extra Virgin Olive Oil","IEVOGL",,"https://www.artisanspecialty.com/wp-content/uploads/IEVOGL-3.jpg",,"1 gl.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/extra-virgin-olive-oil/","Pure and light in all of its ways olive oil is the queen of all the oils with its subtle and most versatile characteristics. Olives are picked when they become plump and mature they are then artisanally extracted to obtain the precious oil on the inside.",,"{""caseCount"":6,""shelfstable"":""No"",""origin"":""Oilve""}"
"Crushed Organic Meyer Lemon Olive Oil","MELOIL",,"https://www.artisanspecialty.com/wp-content/uploads/MELOIL-3.jpg",,"8.45 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crushed-organic-meyer-lemon-olive-oil/","Organic Meyer Lemons are crushed together with fresh hand-harvested California Mission olives to make this amazing extra virgin olive oil. Small batches & love. The flavor essential of Northern California. Add excitement to steamed vegetables, arugula salads, pasta & parmesan. Simply beautiful over heirloom tomatoes.",,"{""caseCount"":12,""shelfstable"":""No"",""origin"":""Lemon""}"
"Crushed Organic Blood Orange Olive Oil","BLOOIL",,"https://www.artisanspecialty.com/wp-content/uploads/BLOOIL-3.jpg",,"8.45 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crushed-organic-blood-orange-olive-oil/","Organic Moro blood oranges crushed together with fresh California olives. Made by hand in small batches. A delicate hint of fresh raspberries. An O original since 1996. Deliciously versatile. Splash over deli-roasted chicken to liven up the flavors. Perfect drizzled over Fall vegetables, roasted duck or chops & wild rice. Beautiful with blue cheese & butter lettuce. Winner of both Silver and Gold at the International Specialty Food Show in NYC.",,"{""caseCount"":""No"",""shelfstable"":""California"",""origin"":""""}"
"Avocado Oil","AVOOIL",,"https://www.artisanspecialty.com/wp-content/uploads/AVOOIL-3.jpg",,"500 mL.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/avocado-oil/","Like olive oil, avocado oil is one of few vegetable oils not derived from seeds; it is pressed from the fleshy pulp surrounding the avocado pit, As a culinary oil, avocado oil compares well with olive oil.",,"{""caseCount"":6,""shelfstable"":""No"",""origin"":""Avocado""}"
"Almond Oil","ALMOIL",,"https://www.artisanspecialty.com/wp-content/uploads/ALMOIL-1.jpeg",,"1 ltr.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/almond-oil/","This oil boasts a fresh, roasted almond flavor. It reveals subtle nuances when combined with other ingredients. Its delicate character makes it a good substitute for olive oil in cases where walnut oil and hazelnut oil are just too powerful. When combined with any salad, fish or vegetable dish, almond oil helps to fashion a gourmet meal. Almond oil is very popular in India with duck and curry, and in China it is also used with chicken and duck.",,"{""caseCount"":6,""shelfstable"":""No"",""origin"":""Almond""}"
