"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Tangerine & Chili Marinated Pitted Green Olives","FM013",,"https://www.artisanspecialty.com/wp-content/uploads/FM013-1.jpg",,"7.4 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tangerine-chili-marinated-pitted-green-olives/","Sugar, spice and everything nice! We love this unique pairing of buttery green olives with dried tangerine slices and fiery chili peppers. Serve with Prosecco and smoked almonds or finely dice and bake over wild salmon.",,"{""caseCount"":2,""shelfstable"":""Shelf Stable"",""origin"":""Greece""}"
"Taggiasca Olives","TAG07",,"https://www.artisanspecialty.com/wp-content/uploads/TAG07-1.jpg",,"2 kg.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/taggiasca-olives/","The celebrated olive of the Liguria region in the Italian Riviera, Taggiasca’s fruity flavor is the centerpiece of Italian fare. With a deep violet skin it offers a firm bite and a fruity and mildly sweet flavor. Its small size is perfect for snacking and its strong aroma and clean finish makes is perfect for making extra virgin olive oil. Frutto’s Taggiasca olives are packed in an herb infused oil that can be used for a great flavor or marinade or light dressing.",,"{""caseCount"":2,""shelfstable"":""Store in a cooler"",""origin"":""""}"
"Sicilian Green Olives","SICIOLI",,"https://www.artisanspecialty.com/wp-content/uploads/SICIOLI-3.jpg",,"11 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sicilian-green-olives/","The Sicilian green olive is a large sour tasting olive commonly marinated in herbs. They have a Kermit-green hue, meaty, buttery flesh, and a mild flavor. They May also be pitted.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Red Cerignola Olives","CERR",,"https://www.artisanspecialty.com/wp-content/uploads/CERR-3.jpg",,"5.5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/red-cerignola-olives/","Imported from Apulia, Cerignolas are the largest olives in the world. Cerignolas have a fruity, mild, clean taste, but their most impressive feature is their size and resulting meatiness. Biting into a Cerignola is almost like biting into a plulm. Festive red in color, serve them as an appetizer with cocktails.",,"{""caseCount"":4,""shelfstable"":""Refridgerate after opening for longer shelf life"",""origin"":""Italy""}"
"Pitted Taggiasca Olives","TAG04",,"https://www.artisanspecialty.com/wp-content/uploads/TAG04-3.jpg",,"1.8 KG.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-taggiasca-olives/","The Taggiasca olive, grown in Liguria, Italy, has a delicate flavor and fruity aroma. Pitted and preserved in extra virgin olive oil, these Taggiasca Olives are packed with flavor with an incomparable taste. These olives are perfect as part of an antipasto spread, or to use in pasta sauces, pizza, meat, fish or poultry dishes, or on sandwiches.",,"{""caseCount"":2,""shelfstable"":""Store in a cooler"",""origin"":""Firm""}"
"Pitted Sicilian Green Olives","SICIOLIP",,"https://www.artisanspecialty.com/wp-content/uploads/SICIOLIP-3.jpg",,"11 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-sicilian-green-olives/","The Sicilian green olive is a large sour tasting olive commonly marinated in herbs. They have a Kermit-green hue, meaty, buttery flesh, and a mild flavor. They may also be pitted.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Pitted Picholine Olives","PIPOL5",,"https://www.artisanspecialty.com/wp-content/uploads/PIPOL5-3.jpg",,"11 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-picholine-olives/","Perfect for antipasto platters, Picholines are green, torpedo-shaped olives that have a creamy nutty flavor. They’re great martini olives as well.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Pitted Nicoises Olives","NICPOL5",,"https://www.artisanspecialty.com/wp-content/uploads/NICPOL5-3.jpg",,"8.8 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-nicoises-olives/","An integral ingredient in Salade Nicoise, these small purplish-black olives are nutty, fragrant, and firm.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Pitted Mixed Olives – Mediterranean Blend","OMEDP5",,"https://www.artisanspecialty.com/wp-content/uploads/OMEDP5-3.jpg",,"11 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-mixed-olives-mediterranean-blend/","A mix of Gaeta, Picholine, Oil cured, Sicilian; Kalamata Olives in a Olive Oil; Red Wine Vinegar Brine with Bay Leaf, Cinnamon Sticks; Peppercorns.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Pitted Kalamata Olives","KALNP",,"https://www.artisanspecialty.com/wp-content/uploads/KALNP-3.jpg",,"11 lb Tub",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pitted-kalamata-olives/","Many believe the taste of Kalamata olives is superior to other varieties. Theyre celebrated for their sweetness, their rich flavor, and their difference in appearance. The Kalamata olive is a large purple olive with a smooth, meaty texture. Often used as table olives, they are usually preserved in wine vinegar or olive oil.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
