"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Tortas De Aceite","TORTA1",,"",,"6.35 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/tortas-de-aceite/","Crispy, flat wafer with a sweet, anise-inflected flavor. Five sisters make each torta by hand and even make the sugar crystals which adorn the sweets. Their original crisp torta is accented with extra virgin olive oil, sea salt and anise to round out the sweet flavor. Wonderful as an afternoon snack or light breakfast paired with a strong cup of coffee.",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Crostini with Olive Oil","IS036C",,"https://www.artisanspecialty.com/wp-content/uploads/IS036C-1.jpg",,"200 grams",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crostini-with-olive-oil/","Perfect for your next party these crisp “crackers” are wonderful for any kind of dip or spread because of how crisp they are. Don’t worry about them breaking under “pressure” because they are baked to remain strong and crisp.`",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Crespini with Sesame & Sea Salt","IS033C",,"https://www.artisanspecialty.com/wp-content/uploads/IS033C-1.jpg",,"170 gram",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crespini-with-sesame-sea-salt/","Crespini are mini breadsticks that are very useful for soups, salads and snacking. They come in a variety of flavors which all have sea salt added for a wonderfully salty taste.",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Crespini with Olive Oil & Sea Salt","IS034C",,"https://www.artisanspecialty.com/wp-content/uploads/IS034C-1.jpg",,"170 gram",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crespini-with-olive-oil-sea-salt/","Crespini are mini breadsticks that are very useful for soups, salads and snacking. They come in a variety of flavors which all have sea salt added for a wonderfully salty taste.",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Bruschetta with Olive Oil","IS029C",,"https://www.artisanspecialty.com/wp-content/uploads/IS029C-1.jpg",,"150 gram",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/bruschetta-with-olive-oil/","There’s nothing “plain” about the taste of Olive Oil Bruschetta. The taste is clean and rich with a full smooth taste of Olive Oil accompanied by that classic bruschetta crunch.",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Bruschetta with Garlic","IS030C",,"https://www.artisanspecialty.com/wp-content/uploads/IS030C-1.jpg",,"150 gram",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/bruschetta-with-garlic/","Just the right amount of everyone’s favorite Garlic flavor but not so much to overwhelm the taste of the toppings you pile on or scoop up!",,"{""caseCount"":10,""shelfstable"":""Shelf Stable"",""origin"":""""}"
"Thai Sunflower Sauce","FM012",,"https://www.artisanspecialty.com/wp-content/uploads/FM012-1.jpg",,"6.2 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/thai-sunflower-sauce/","This unique peanut-free Thai Sunflower Sauce is a favorite among chefs who cook for crowds and kids. The traditional flavors of coconut, lime and spices marry perfectly with savory and creamy sunflower butter. This sauce can be enjoyed with classic Pad Thai or chicken satay or spooned over roasted sweet potatoes, grilled chicken, tofu or beef.",,"{""caseCount"":4,""shelfstable"":""Shelf Stable"",""origin"":""USA""}"
"Spicy Peanut Sauce","FM010",,"https://www.artisanspecialty.com/wp-content/uploads/FM010-1.jpg",,"64 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/spicy-peanut-sauce/","A rich, medium-spiced, creamy sauce made with peanuts, coconut milk and Thai chilies, this is traditionally served alongside chicken or beef satay skewers.",,"{""caseCount"":6,""shelfstable"":""Shelf Stable"",""origin"":""USA""}"
"Grainy Dijon Maille Mustard","WGMUST",,"https://www.artisanspecialty.com/wp-content/uploads/WGMUST-1.jpg",,"3.7 kg",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/grainy-dijon-maille-mustard/","Whole grain dijon mustard is exclusively made from Brassica Juncea brown and black seeds. Kosher, GMO Free and suitable for vegetarians.",,"{""caseCount"":4,""shelfstable"":""Shelf Stable"",""origin"":""White wine and mustard seeds flavor andaroma.""}"
"Gotham Greens Vegan Pesto","GG008",,"https://www.artisanspecialty.com/wp-content/uploads/GG008-1.png",,"6.5 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/gotham-greens-vegan-pesto/","Sauces & Dip – Small Batch Production",,"{""caseCount"":12,""shelfstable"":""Store in a freezer"",""origin"":""USA""}"
