"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Saltimbocca Bite Appetizer","VANL222051",,"https://www.artisanspecialty.com/wp-content/uploads/VANL222051-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/saltimbocca-bite-appetizer/","Thinly sliced prosciutto ham, seasoned chicken breast, sage and Italian seasoning rolled onto a skewer.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Pork Spring Roll Appetizer","VANL105000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL105000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pork-spring-roll-appetizer/","Savory minced pork is combined with the traditional vegetables and seasonings in this crowd-pleaser.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Pork Skewer Appetizer","VANL205000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL205000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pork-skewer-appetizer/","Entice the taste buds with tender pieces of tender pork flavored with unique Asian spices for a one of a kind flavor appeal.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Pork Potsticker","VANL125000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL125000-3.jpg",,"80 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pork-potsticker/","Choose pork for a potsticker that’s healthy and value-priced. Delicious, too!",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Pork Pot sticker, Dim Sum Appetizer","VANL445000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL445000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/pork-pot-sticker-dim-sum-appetizer/","A traditional crescent dumpling filled seasoned pork, peas and white onions makes for the most traditional shao mai dumpling.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Modern BLT","VANL973300",,"https://www.artisanspecialty.com/wp-content/uploads/VANL973300-1.jpg",,"1 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/modern-blt/","A moder twist on the classic BLT.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Mini Sausage Pizza Appetizer","VANL183300",,"https://www.artisanspecialty.com/wp-content/uploads/VANL183300-3.jpg",,"1.5 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/mini-sausage-pizza-appetizer/","A traditional gourmet pizza treat, topped with spicy sausage on a miniature hand tossed crust.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Italian Sausage Stuffed Fresh Mushroom Appetizer","VANL173390",,"https://www.artisanspecialty.com/wp-content/uploads/VANL173390-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/italian-sausage-stuffed-fresh-mushroom-appetizer/","Spiced Italian sausage, onions, herbs and spices stuffed inside a fresh mushroom cap.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Date Wrapped in Bacon Appetizer","VANL226600",,"https://www.artisanspecialty.com/wp-content/uploads/VANL226600-4.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/date-wrapped-in-bacon-appetizer/","Sweet premium dates are the center of this delicious appetizer.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Cuban Cigar","VANL105002",,"https://www.artisanspecialty.com/wp-content/uploads/VANL105002-3.jpg",,"1 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/cuban-cigar/","The traditional flavors of a Cuban sandwich wrapped in our crispy springroll skin- ham, pork, swiss, mustard and tangy dill pickles.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
