"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Marinated Anchovy Fillet","WANC2",,"https://www.artisanspecialty.com/wp-content/uploads/WANC2-1.jpg",,"1 kg.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/marinated-anchovy-fillet/","Traditionally cured in a salt and vinegar base, the white anchovies are then packed in all natural sunflower oil, which can be used to dress salads, vegetables or breads. Drain before using, just serve on crusty bread with piquillo peppers or alone on crisp crackers.",,"{""caseCount"":4,""shelfstable"":""Refridgerate"",""origin"":""Turkey""}"
"Yellow Tobiko Caviar","YTOB16",,"https://www.artisanspecialty.com/wp-content/uploads/YTOB16-3.jpg",,"17.6 oz tray",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/yellow-tobiko-caviar/","The Japanese word for flying fish roe. It is most widely known for its use in creating certain types of sushi. Vibrant in color and distinctive taste Tobiko is great for adding flavor and texture to sushi.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Wasabi Tobiko Caviar","WTOB16",,"https://www.artisanspecialty.com/wp-content/uploads/WTOB16-3.jpg",,"17.6 oz tray",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/wasabi-tobiko-caviar/","The Japanese word for flying fish roe. It is most widely known for its use in creating certain types of sushi. Vibrant in color and distinctive taste Tobiko is great for adding flavor and texture to sushi.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Red Tobiko Caviar","RTOB16",,"https://www.artisanspecialty.com/wp-content/uploads/RTOB16-3.jpg",,"17.6 oz tray",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/red-tobiko-caviar/","The Japanese word for flying fish roe. It is most widely known for its use in creating certain types of sushi. Vibrant in color and distinctive taste Tobiko is great for adding flavor and texture to sushi.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Black Tobiko Caviar","BTOB16",,"https://www.artisanspecialty.com/wp-content/uploads/BTOB16-3.jpg",,"17.6 oz tray",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/black-tobiko-caviar/","The Japanese word for flying fish roe. It is most widely known for its use in creating certain types of sushi. Vibrant in color and distinctive taste Tobika is great for adding flavor and texture to sushi.",,"{""caseCount"":"""",""shelfstable"":"""",""origin"":""""}"
"Hertiage Berkshire – Hickory Smoked Half Ham","P011",,"https://www.artisanspecialty.com/wp-content/uploads/P011-1.jpg",,"8 lbs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/hertiage-berkshire-hickory-smoked-half-ham/","Hickory Smoked Berkshire Ham is an uncured, bone in ham that’s hand-rubbed with a unique mixture of all natural spices and then smoked. Heritage Berkshire hams are smoked using generations of old English meat smoking using natural hard wood.",,"{""caseCount"":1,""shelfstable"":""Store in a cooler or freezer"",""origin"":""""}"
"Heritage Berkshire Whole Bone-in Ham","P038",,"https://www.artisanspecialty.com/wp-content/uploads/P038-3.jpg",,"16 lbs / pc",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/heritage-berkshire-whole-bone-in-ham/","This hickory smoked Berkshire Hams are hand-rubbed with a unique mixture of all natural spices and then smoked to perfection. Heritage Berkshire hams are smoked using a generations-old English method of smoking meats with natural hardwood.",,"{""caseCount"":""2 pcs / 32 lbs"",""shelfstable"":""Store in a cooler or freezer"",""origin"":""Iowa""}"
"Speck Alto Adige","SPECK",,"https://www.artisanspecialty.com/wp-content/uploads/SPECK-3.jpg",,"12 lbs",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/speck-alto-adige/","A mildly smoked proscuitto from the Italian Alps. Dry-cured, lightly smoked ham, produced in South Tyrol, northern Italy. Its garnet color, smoky aroma and mountain flavor are unmistakable. Speck Alto Adige is produced by an approximately 22-week-long curing period.",,"{""caseCount"":1,""shelfstable"":""Italy"",""origin"":""""}"
"Smoked Bacon Slab","BAC005",,"https://www.artisanspecialty.com/wp-content/uploads/BAC005-1.jpg",,"5.5 lb.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/smoked-bacon-slab-2/","Bacon is uncured, uncut and applewood smoked. No nitrates and nitrites are added to this bacon, only naturally occuring nitrates in sea salt and celery powder. This all natural bacon has no artificial ingredients and is made from minimally processed pork and is not preserved. It is also casein and gluten free. These pigs are free range, given no antibiotics or growth promotants and are never fed animal by products. Their diets consist of all vegetarian ingredients: corn, soybean meal, vitamins and minerals.",,"{""caseCount"":4,""shelfstable"":""Store in a cooler or freezer"",""origin"":""""}"
"Smoked Bacon Slab","BACUN",,"https://www.artisanspecialty.com/wp-content/uploads/BACUN-3.jpg",,"5-6 lb. case",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/smoked-bacon-slab/","Danish style smoked Pork bacon. Made from integrity raised pork this bacon is all natural. This bacon is thick and tasty.*Please note that this is not a Heritage Berkshire product.*",,"{""caseCount"":""Yes"",""shelfstable"":""Local"",""origin"":""""}"
