"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Maryland Style Crab Cake","VANL256075",,"https://www.artisanspecialty.com/wp-content/uploads/VANL256075-3.jpg",,".75 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/maryland-style-crab-cake/","Our Maryland-style crab cakes are gently hand-formed and include chunks of lump crabmeat and traditional seasonings of mayonnaise, mustard, old bay, parsley and a bit of cracker meal. Dress these up with a dollop of dijon aioli and sliced scallion for a simple yet elegant presentation.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Mango Margarita Shrimp","VANL164000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL164000-3.jpg",,"6 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/mango-margarita-shrimp/","A crusty fluted pastry bowl is filled with delicately cooked shrimp accentuated with the tropical tastes of mango margarita. Ideal for summer soirees!",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Macadamia Nut Crusted Shrimp Appetizer","VANL374001",,"https://www.artisanspecialty.com/wp-content/uploads/VANL374001-4.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/macadamia-nut-crusted-shrimp-appetizer/","Tiger shrimp marinated in sweet and savory Asian spices, encrusted in a decadent Hawaiian Macadamia nut batter.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Lobster Spring Roll Appetizer","VANL108000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL108000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/lobster-spring-roll-appetizer/","A royal delight of succulent lobster meat and traditional seasoned vegetables in a crispy spring roll skin.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Lobster Pot sticker Appetizer","VANL128000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL128000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/lobster-pot-sticker-appetizer/","Sweet lobster meat, crisp water chestnuts, peas, carrots, onions and Asian spices tucked into fresh gyoza skin.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Lemongrass Shrimp Cake","VANL254000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL254000-3.jpg",,"1 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/lemongrass-shrimp-cake/","Another unique appetizer from Van Lang: minced shrimp, bread crumbs, lemongrass and spices shaped into quarter-sized cakes.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Deluxe Shrimp Spring Roll Appetizer","VANL104020",,"https://www.artisanspecialty.com/wp-content/uploads/VANL104020-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/deluxe-shrimp-spring-roll-appetizer/","Shrimp, zucchini squash, onion, carrot, and Asian seasonings in a spring roll.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Crab Stuffed Mushroom","VANL176000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL176000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crab-stuffed-mushroom/","Sweet and delicate snow crabmeat makes a delicious partner for onions and exotic spices in their mushroom container. A sprinkle of bread crumbs provide an elegant touch.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Crab Rangoon","VANL146000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL146000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crab-rangoon/","Succulent snow crabmeat, cream cheese, celery and Asian spices are hand wrapped inside a crispy wonton skin. These are always in demand and Van Lang delivers the best.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Crab and Brie Filo Triangle Appetizer","VANL166000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL166000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/crab-and-brie-filo-triangle-appetizer/","Special blend of creamy brie cheese, crabmeat, herbs and spices is sure to be a favorite.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Cozy Shrimp Roll Appetizer","VANL104001",,"https://www.artisanspecialty.com/wp-content/uploads/VANL104001-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/cozy-shrimp-roll-appetizer/","Seasoned whole tiger shrimp, a touch of ground pork, Asian herbs and spices are rolled into a crispy, thin spring roll skin.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Coconut Shrimp Appetizer","VANL374000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL374000-3.jpg",,"0.7 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/coconut-shrimp-appetizer/","Van Lang’s seasoned butterflied tiger shrimp are lightly battered and rolled into an exciting mixture of sweet coconut flakes and panko bread crumbs.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Coconut Lobster Skewer Appetizer","VANL378000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL378000-3.jpg",,"0.75 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/coconut-lobster-skewer-appetizer/","A luxuriously upscale hors d’oeuvres to impress your most special guests. Sweet lobster tail meat encrusted in semi-sweet coconut flakes on a knotted bamboo skewer.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Bacon Wrapped in Shrimp","VANL224000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL224000-1.jpg",,"2 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/bacon-wrapped-in-shrimp/","Premium shrimp are enhanced with lean bacon wrap to impress and delight customers.",,"{""case count"":""100 Per Case"",""shelfStable"":""Store in a freezer""}"
"Arizona Firecracker Shrimp Roll Appetizer","VANL104002",,"https://www.artisanspecialty.com/wp-content/uploads/VANL104002-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/arizona-firecracker-shrimp-roll-appetizer/","This firecracker shaped delight packs zesty flavor; shrimp, onion, black bean, poblano peppers, Monterey jack cheese, and Southwestern spices.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
