"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Spinach and Cheese Stuffed Mushrooms Appetizer","VANL171100",,"https://www.artisanspecialty.com/wp-content/uploads/VANL171100-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/spinach-and-cheese-stuffed-mushrooms-appetizer/","Large mushroom caps are stuffed with spinach, cream cheese and feta cheese, then dusted with bread crumbs.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Spinach and Brie Wonton Appetizer","VANL141100",,"https://www.artisanspecialty.com/wp-content/uploads/VANL141100-3.jpg",,"0.7 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/spinach-and-brie-wonton-appetizer/","Wonton stuffed with fresh chopped spinach, imported French brie, herbs and spices.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Spanikopita Roll Appetizer","VANL161111",,"https://www.artisanspecialty.com/wp-content/uploads/VANL161111-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/spanikopita-roll-appetizer/","Traditional ingredients spinach, feta cheese, fresh herbs and spices inside a fillo roll.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Shao Mai, Vegetable Dim Sum Appetizer","VANL431000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL431000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/shao-mai-vegetable-dim-sum-appetizer/","A delightful open faced steamed dumpling filled with spinach, green onion, white onion, water chestnut, shitake mushroom, carrot, peas, egg and authentic Asian spices.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Sesame Ginger Cigar","VANL102002",,"https://www.artisanspecialty.com/wp-content/uploads/VANL102002-3.jpg",,"2 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sesame-ginger-cigar/","A delightful, perfectly rolled fried cigar appetizer, filled with a full sesame and ginger flavor.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Sesame Ginger Cigar","VANL102000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL102000-3.jpg",,"2 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/sesame-ginger-cigar-2/","A delightful, perfectly rolled fried cigar appetizer, filled with a full sesame and ginger flavor.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Lady’s Purse, Smoked Chicken, Goat Cheese & Sun Dried Tomato Appetizer","VANL152000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL152000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/ladys-purse-smoked-chicken-goat-cheese-sun-dried-tomato-appetizer/","The full flavor of smoked chicken is accompanied by goat cheese, sun dried tomato, and Asian spices to create an enticing purse.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Jalapeno Cream Cheese Wonton Appetizer","VANL141103",,"https://www.artisanspecialty.com/wp-content/uploads/VANL141103-3.jpg",,"0.7 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/jalapeno-cream-cheese-wonton-appetizer/","Jalapeno peppers pack the heat and flavor in this traditional cream cheese filled wonton.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Herbed Goat Cheese & Olive Bite","VANL361107",,"https://www.artisanspecialty.com/wp-content/uploads/VANL361107-1.jpg",,"1 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/herbed-goat-cheese-olive-bite/","A savory bite delight! Chopped black olives, onion and creamy, herbed cream cheese, coated in a crunchy panko parmesan crust.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Choriqueso Empanada","VANL313391",,"https://www.artisanspecialty.com/wp-content/uploads/VANL313391-3.jpg",,"6 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/choriqueso-empanada/","This meatless and cheesy Latin-inspired Empanada is perfectly breaded and full of flavor.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Blue Cheese Mousse Stuffed Date","VANL211001",,"https://www.artisanspecialty.com/wp-content/uploads/VANL211001-3.jpg",,"50 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/blue-cheese-mousse-stuffed-date/","A sweet and savory blend of imported date stuffed with creamy blue cheese.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Bleu Cheese & Fig Pizza","VANL181102",,"https://www.artisanspecialty.com/wp-content/uploads/VANL181102-1.jpg",,"1 oz.",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/bleu-cheese-fig-pizza/","An indulgent bite combining bleu cheese, sweet imported fig preserve and green onion.",,"{""case count"":""100 Per Case"",""shelfStable"":""Store in a freezer""}"
"Asparagus and Asiago Filo Roll Appetizer","VANL161107",,"https://www.artisanspecialty.com/wp-content/uploads/VANL161107-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/asparagus-and-asiago-filo-roll-appetizer/","Fresh asparagus is layered with asiago cheese and spices, gently rolled in fillo with a parmesan-panko crust.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Artichoke Beignet","VANL361100",,"https://www.artisanspecialty.com/wp-content/uploads/VANL361100-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/artichoke-beignet/","Quartered artichoke heart is topped with rich and creamy boursin style cheese, coated in a light batter, then rolled in a mixture of bread crumbs and Parmesan cheese.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
"Antipasto Skewer Appetizer","VANL211000",,"https://www.artisanspecialty.com/wp-content/uploads/VANL211000-3.jpg",,"1 oz",,,,,,,,,,," Artisan Specialty Foods","https://www.artisanspecialty.com/product/antipasto-skewer-appetizer/","A refreshing skewer of Italian-flavored marinated artichoke, sun-dried tomato, mozzarella cheese, and olive.",,"{""case count"":""200 Per Case"",""shelfStable"":""Store in a freezer""}"
