web-scraper-order,web-scraper-start-url,Pagination,link,link-href,name,image-src,Sku,desc
"1731171742-1","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Zip Tie 8 IN Purple Plastic 40LB 100/Pack","https://www.imperialdade.com/catalog/product-detail/zip-tie-8-in-purple-plastic-40lb-100-pack-jbc-CT8PP?id=67768","Zip Tie 8 IN Purple Plastic 40LB 100/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F67768%2Fprimary%2F3627d85c1d0488f6bf9ffb2362a7e67857be3e61-400x400.webp&w=640&q=75","SKU# CT8PP","SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:PurpleOffice Supplies Product Type:Zip TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):40UPC-12:821454504001Product Type:Zip Tie"
"1731171745-2","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Cable Tie 8 IN Black Plastic 18LB 100/Pack","https://www.imperialdade.com/catalog/product-detail/cable-tie-8-in-black-plastic-18lb-100-pack-jbc-CT818B?id=67767","Cable Tie 8 IN Black Plastic 18LB 100/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F67767%2Fprimary%2F09a3d5caf9b1d83c5f05782bcd380439faa3ae73-400x400.webp&w=640&q=75","SKU# CT818B","SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):18Product Type:Cable Tie"
"1731171747-3","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Extension Cord 12 FT 1/Each","https://www.imperialdade.com/catalog/product-detail/extension-cord-12-ft-1-each-world%20%26%20main-12AC?id=60408","Extension Cord 12 FT 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F60408%2Fprimary%2F015cda51c1ea6950f22a66a452e06caed8a035e3-400x400.webp&w=640&q=75","SKU# 12CORD","SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesCord Length FT:12Length (FT):12UPC-12:075877861122UPC-14 (GTIN):00075877861122, 10075877861129Product Type:Extension Cord"
"1731171752-4","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Fromm Battery 36 Volt 1/Each","https://www.imperialdade.com/catalog/product-detail/fromm-battery-36-volt-1-each-fromm-N5-4341?id=414233","Fromm Battery 36 Volt 1/Each","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414233%2Fprimary%2F01962dd730ce827f6e42f0a986b8ee789ca21b4c-400x400.webp&w=640&q=75","SKU# N54341","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:36 VoltProduct Type:Battery"
"1731171755-5","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Procell Professional® Battery 9 Volt 2 Count/Pack 24 Packs/Case","https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-9-volt-2-count-pack-24-packs-case-duracell-9BATTERY?id=411110","Procell Professional® Battery 9 Volt 2 Count/Pack 24 Packs/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F411110%2Fprimary%2F113108c27074a1e807c376a122a658123f645666-400x400.webp&w=640&q=75","SKU# 9BATTERY","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:9 VoltProduct Type:Battery"
"1731171757-6","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Rayovac® Battery D 1.5V 6 Count/Pack","https://www.imperialdade.com/catalog/product-detail/rayovac-battery-d-1-5v-6-count-pack-energizer-BAT-D6?id=39997","Rayovac® Battery D 1.5V 6 Count/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F39997%2Fprimary%2F6126108608b7c6f7d70bc0a0ed1d7cd8f909338a-400x400.webp&w=640&q=75","SKU# ROYBATD6","SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:1.5VProduct Category:Batteries & Electrical SuppliesUPC-12:012800525522UPC-14 (GTIN):10012800525529Product Type:Battery"
"1731171760-7","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Cable Tie 8 IN Natural 100 Count/Pack 1 Count/Case","https://www.imperialdade.com/catalog/product-detail/cable-tie-8-in-natural-100-count-pack-1-count-case-lee%20distributing-KC97081?id=384371","Cable Tie 8 IN Natural 100 Count/Pack 1 Count/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384371%2Fprimary%2F30fc161f1b97069380b3b23a758438fa35ad3c93-400x400.webp&w=640&q=75","SKU# KKCT261","SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):8UPC-12:618559072616Product Type:Cable Tie"
"1731171762-8","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Coppertop Battery C Alkaline 4/Pack","https://www.imperialdade.com/catalog/product-detail/coppertop-battery-c-alkaline-4-pack-duracell-DURMN1400R4ZX17?id=384044","Coppertop Battery C Alkaline 4/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384044%2Fprimary%2Fcaa02d726bd5a3cfe18cf698a3199359a7143154-400x400.webp&w=640&q=75","SKU# DURMN1400R4ZX17","SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery"
"1731171764-9","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Rayovac® Ultrapro Battery D Alkaline 12/Pack","https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-d-alkaline-12-pack-energizer-RAYALD12PPJ?id=384043","Rayovac® Ultrapro Battery D Alkaline 12/Pack","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384043%2Fprimary%2F83ab4415bba7a4ad1dbbb21506ba908e80d345c5-400x400.webp&w=640&q=75","SKU# RAYALD12PPJ","SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineProduct Type:Battery"
"1731171767-10","https://www.imperialdade.com/catalog/office-supplies/batteries-electrical-supplies?cid=WCL2046","","Light Bulb Clear 250 Watt 120V For Heat Lamp 3 Count/Box 1 Box/Case","https://www.imperialdade.com/catalog/product-detail/light-bulb-clear-250-watt-120v-for-heat-lamp-3-count-box-1-box-case-fmp%20all%20points-253-1121?id=372928","Light Bulb Clear 250 Watt 120V For Heat Lamp 3 Count/Box 1 Box/Case","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372928%2Fprimary%2Fb6e5675d488d04649341b53d4063adf8fea1bba0-400x400.webp&w=640&q=75","SKU# 2531121","SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Light BulbESP Chemical:falseAdditional Product Features:250 Watt, 120VProduct Category:Batteries & Electrical SuppliesProduct Type:Light Bulb"
