image,sku,name,pack,size,content_url,extra_data
,,Zip Tie 8 IN Purple Plastic 40LB,100/Pack,,https://www.imperialdade.com/catalog/product-detail/zip-tie-8-in-purple-plastic-40lb-100-pack-jbc-CT8PP?id=67768,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:PurpleOffice Supplies Product Type:Zip TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):40UPC-12:821454504001Product Type:Zip Tie""}"
,,Cable Tie 8 IN Black Plastic 18LB,100/Pack,,https://www.imperialdade.com/catalog/product-detail/cable-tie-8-in-black-plastic-18lb-100-pack-jbc-CT818B?id=67767,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):18Product Type:Cable Tie""}"
,,Extension Cord 12 FT,1/Each,12L,https://www.imperialdade.com/catalog/product-detail/extension-cord-12-ft-1-each-world%20%26%20main-12AC?id=60408,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesCord Length FT:ength (FT):12UPC-12:075877861122UPC-14 (GTIN):00075877861122, 10075877861129Product Type:Extension Cord""}"
,,Fromm Battery 36 Volt,1/Each,,https://www.imperialdade.com/catalog/product-detail/fromm-battery-36-volt-1-each-fromm-N5-4341?id=414233,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:36 VoltProduct Type:Battery""}"
,,Procell Professional® Battery 9 Volt 2 Count/Pack 24 Packs/Case,,,https://www.imperialdade.com/catalog/product-detail/procell-professional-battery-9-volt-2-count-pack-24-packs-case-duracell-9BATTERY?id=411110,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:9 VoltProduct Type:Battery""}"
,,Rayovac® Battery D 1.5V 6 Count/Pack,,,https://www.imperialdade.com/catalog/product-detail/rayovac-battery-d-1-5v-6-count-pack-energizer-BAT-D6?id=39997,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:1.5VProduct Category:Batteries & Electrical SuppliesUPC-12:012800525522UPC-14 (GTIN):10012800525529Product Type:Battery""}"
,,Cable Tie 8 IN Natural 100 Count/Pack 1 Count/Case,,,https://www.imperialdade.com/catalog/product-detail/cable-tie-8-in-natural-100-count-pack-1-count-case-lee%20distributing-KC97081?id=384371,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):8UPC-12:618559072616Product Type:Cable Tie""}"
,,Coppertop Battery C Alkaline,4/Pack,,https://www.imperialdade.com/catalog/product-detail/coppertop-battery-c-alkaline-4-pack-duracell-DURMN1400R4ZX17?id=384044,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
,,Rayovac® Ultrapro Battery D Alkaline,12/Pack,,https://www.imperialdade.com/catalog/product-detail/rayovac-ultrapro-battery-d-alkaline-12-pack-energizer-RAYALD12PPJ?id=384043,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
,,Light Bulb Clear 250 Watt 120V For Heat Lamp 3 Count/Box 1 Box/Case,,,https://www.imperialdade.com/catalog/product-detail/light-bulb-clear-250-watt-120v-for-heat-lamp-3-count-box-1-box-case-fmp%20all%20points-253-1121?id=372928,"{""remaining_desc"":""SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Light BulbESP Chemical:falseAdditional Product Features:250 Watt, 120VProduct Category:Batteries & Electrical SuppliesProduct Type:Light Bulb""}"
