image,sku,desc,size,extra_data
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F67768%2Fprimary%2F3627d85c1d0488f6bf9ffb2362a7e67857be3e61-400x400.webp&w=640&q=75,,SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:PurpleOffice Supplies Product Type:Zip TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):40UPC-12:821454504001Product Type:Zip Tie,,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:PurpleOffice Supplies Product Type:Zip TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):40UPC-12:821454504001Product Type:Zip Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F67767%2Fprimary%2F09a3d5caf9b1d83c5f05782bcd380439faa3ae73-400x400.webp&w=640&q=75,,SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):18Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsCompostable:NoRapidly Renewable Resource:NoRecyclable:NoMaterial:PlasticColor:BlackOffice Supplies Product Type:Cable TieESP Chemical:falseUNSPSC:44120000Product Category:Batteries & Electrical SuppliesLength (IN):8Tensile Strength (LB):18Product Type:Cable Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F60408%2Fprimary%2F015cda51c1ea6950f22a66a452e06caed8a035e3-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesCord Length FT:ength (FT):12UPC-12:075877861122UPC-14 (GTIN):00075877861122, 10075877861129Product Type:Extension Cord",12L,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:Extension CordESP Chemical:falseProduct Category:Batteries & Electrical SuppliesCord Length FT:ength (FT):12UPC-12:075877861122UPC-14 (GTIN):00075877861122, 10075877861129Product Type:Extension Cord""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F414233%2Fprimary%2F01962dd730ce827f6e42f0a986b8ee789ca21b4c-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:36 VoltProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:36 VoltProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F411110%2Fprimary%2F113108c27074a1e807c376a122a658123f645666-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:9 VoltProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:9 VoltProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F39997%2Fprimary%2F6126108608b7c6f7d70bc0a0ed1d7cd8f909338a-400x400.webp&w=640&q=75,,SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:1.5VProduct Category:Batteries & Electrical SuppliesUPC-12:012800525522UPC-14 (GTIN):10012800525529Product Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:DOffice Supplies Product Type:BatteryESP Chemical:falseUNSPSC:26111702Additional Product Features:1.5VProduct Category:Batteries & Electrical SuppliesUPC-12:012800525522UPC-14 (GTIN):10012800525529Product Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384371%2Fprimary%2F30fc161f1b97069380b3b23a758438fa35ad3c93-400x400.webp&w=640&q=75,,SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):8UPC-12:618559072616Product Type:Cable Tie,,"{""remaining_desc"":""SpecificationsSpecificationsColor:NaturalOffice Supplies Product Type:Cable TieESP Chemical:falseProduct Category:Batteries & Electrical SuppliesLength (IN):8UPC-12:618559072616Product Type:Cable Tie""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384044%2Fprimary%2Fcaa02d726bd5a3cfe18cf698a3199359a7143154-400x400.webp&w=640&q=75,,SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsBatteries Size:COffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F384043%2Fprimary%2F83ab4415bba7a4ad1dbbb21506ba908e80d345c5-400x400.webp&w=640&q=75,,SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineProduct Type:Battery,,"{""remaining_desc"":""SpecificationsSpecificationsOffice Supplies Product Type:BatteryESP Chemical:falseProduct Category:Batteries & Electrical SuppliesBatteries Size:DOffice Supplies Product Features:AlkalineProduct Type:Battery""}"
https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372928%2Fprimary%2Fb6e5675d488d04649341b53d4063adf8fea1bba0-400x400.webp&w=640&q=75,,"SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Light BulbESP Chemical:falseAdditional Product Features:250 Watt, 120VProduct Category:Batteries & Electrical SuppliesProduct Type:Light Bulb",,"{""remaining_desc"":""SpecificationsSpecificationsColor:ClearOffice Supplies Product Type:Light BulbESP Chemical:falseAdditional Product Features:250 Watt, 120VProduct Category:Batteries & Electrical SuppliesProduct Type:Light Bulb""}"
