"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","DRINK ENERGY REDBULL CRV INCL","G7503","","24/8.3oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7640.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G7503","RED BULL","","","","","","","{}"
"","DRINK ENERGY MONSTER CRV INCL","G4298","","24/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4298.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G4298","MONSTER","","","","","","","{}"
"","DRINK ENERGY REDBULL SUGAR FREE","G7492","","24/8.3oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7492.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G7492","RED BULL","","","","","","","{}"
"","DRINK ENERGY REDBULL CRV INCL","G7303","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7303.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G7303","RED BULL","","","","","","","{}"
"","DRINK ENERGY REDBULL RED","G7709","","24/8.3oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7709.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G7709","RED BULL","","","","","","","{}"
"","DRINK ENERGY RED BULL YELLOW EDITION","22431","","24/8.3 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-22431","RED BULL","","","","","","","{}"
"","DRINK ENERGY MONSTER LOW CARB CRV INCLD","G4299","","24/16oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4299.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G4299","MONSTER","","","","","","","{}"
"","DRINK ENERGY MONSTER ZERO ULTA CRV INC","G4300","","24/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7444.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G4300","MONSTER","","","","","","","{}"
"","DRINK ENERGY REDBULL BLUE","G7705","","24/8.3oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7653.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G7705","RED BULL","","","","","","","{}"
"","DRINK ROCKSTAR BLACK STAR","G4259","","12/16oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4259.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Energy-Drinks/IFS-G4259","ROCKSTAR","","","","","","","{}"
