"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","JUICE CLAMATO 32 OZ CRV INC","G751","","12/32oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g751.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G751","MOTT'S","","","","","","","{}"
"","JUICE CLAMATO 64 OZ CRV INCLUDED","G7515","","8/64oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7515.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G7515","MOTT'S","","","","","","","{}"
"","JUICE LEMON CITROVITA","G6783","","4/1 GALLON","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6783.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6783","CITROVITA","","","","","","","{}"
"","JUICE LEMON PERRIN'S 32 OZ","G6880","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6880.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6880","PERRIN'S","","","","","","","{}"
"","JUICE LEMON PERRIN'S GAL","G6882","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6882.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6882","PERRIN'S","","","","","","","{}"
"","JUICE LEMON REAL","G1201","","200/4 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7237.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G1201","REAL LEMON","","","","","","","{}"
"","JUICE PINEAPPLE UNSWTN 46 OZ","G6844","","12/46 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6844.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6844","DOLE","","","","","","","{}"
"","JUICE SUNNY DELIGHT ORANGE","G6632","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6632.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6632","SUNNY DELIGHT","","","","","","","{}"
"","JUICE TOMATO FANCY","G6817","","12/46oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6817.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6817","HARVEST RED","","","","","","","{}"
"","JUICE TOMATO GLORIETTA","G681","","12/46oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g681.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G681","GLORIETTA","","","","","","","{}"
"","JUICE APPLE 100% ASEPTIC BOX","G2424","","32/6.75oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2424.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G2424","MOTT'S","","","","","","","{}"
"","JUICE APPLE 100% PURE","G31946","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7365.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G31946","MOTT'S","","","","","","","{}"
"","JUICE HONEST KIDS APPLE ORGANIC","20867","","50/6 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/20867.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-20867","HONEST KIDS","","","","","","","{}"
"","JUICE LEMON CITROVITA","G6784","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6784.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6784","CITROVITA","","","","","","","{}"
"","JUICE LEMON SUN TREE","G6798","","4/1gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6798.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6798","SUN TREE","","","","","","","{}"
"","JUICE ORANGE LANGER'S $.60 CRV INCLUD","G7808","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7808.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G7808","LANGER'S","","","","","","","{}"
"","JUICE PINEAPPLE UNSWEETENED 6 OZ","G6843","","48/6oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6843.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6843","DOLE","","","","","","","{}"
"","JUICE SNAPPLE KIWI STRAWBERRY PET CRV IN","G50123","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50123.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G50123","SNAPPLE","","","","","","","{}"
"","JUICE SNAPPLE MANGO MADNESS PET CRV INCL","G50139","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50139.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G50139","SNAPPLE","","","","","","","{}"
"","JUICE APPLE LANGER'S $.60 CRV INCLUD","G7807","","12/16oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7807.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G7807","LANGER'S","","","","","","","{}"
"","JUICE CRANBERRY COCKTAIL BAR PAC","16272","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/1467.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-16272","OCEAN SPRAY","","","","","","","{}"
"","JUICE SNAPPLE APPLE PET CRV INCLD","G6694","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7595.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Juice/IFS-G6694","SNAPPLE","","","","","","","{}"
