"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","BASE HORCHATA LIQUID FELBRO","G169","","6/.5 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g169.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G169","FELBRO","","","","","","","{}"
"","MIX LIME JUICE 12/1 QT","G6907","","12/32oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6907.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G6907","","","","","","","","{}"
"","MIX SWEET & SOUR RTU","G6950","","12/1 QUART","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6950.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G6950","BARS","","","","","","","{}"
"","SYRUP CARAMEL TORANI 750ML","G8037","","750ML/EACH","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8037.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G8037","TORANI","","","","","","","{}"
"","SYRUP VANILLA FOUNT. IMITATION","G5426","","4/1gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5426.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G5426","","","","","","","","{}"
"","SYRUP VANILLA IMITATION RTU","G508","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g508.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G508","FELBRO","","","","","","","{}"
"","SYRUP VANILLA TORANI 750ML","G8030","","750ML/EACH","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8030.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G8030","TORANI","","","","","","","{}"
"","TRIPLE SEC NON ALCOHOLIC","12314","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12314.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-12314","","","","","","","","{}"
"","BASE HORCHATA POWDER FELBRO","G168","","4/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g168.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G168","FELBRO","","","","","","","{}"
"","MIX CREAM OF COCONUT COCO LOPEZ","G6622","","24/15oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6622.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G6622","COCO LOPEZ","","","","","","","{}"
"","MIX MARGARITA PARTY MIX","G6787","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7597.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G6787","LA PAZ","","","","","","","{}"
"","SYRUP FLAVORING VANILLA","G8201","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8201.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-G8201","MONIN","","","","","","","{}"
"","SYRUP FLAVORING WILDBERRY","62583","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/62583.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Beverage-Mixes-And-Flavoring/IFS-62583","MONIN","","","","","","","{}"
