"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CHOCOLATE TABLET ABUELITA","G3039","","12/19 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3039.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G3039","NESTLE","","","","","","","{}"
"","CHOCOLATE TABLET CHOCOCOA","G3044","","12/18.6 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3044.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G3044","IBARRA","","","","","","","{}"
"","POWDER CHOCOLATE & COCOA SWEET GROUND","G62023","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g62023.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G62023","GHIRARDELLI","","","","","","","{}"
"","CHOCOLATE HOT DARK NESCAFE","G12330","","12/1.75lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g12330.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G12330","NESTLE","","","","","","","{}"
"","CHOCOLATE HOT PKTS .71 OZ","G303","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g303.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G303","NESTLE","","","","","","","{}"
"","POWDER CHOCOLATE WHITE SWEET GROUND","G62038","","6/3.12lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g62038.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G62038","GHIRARDELLI","","","","","","","{}"
"","MIX MOCHA BLEND ICED COFFEE","G610610","","5/3.5lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g610610.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G610610","BIG TRAIN","","","","","","","{}"
"","MIX POWDER CHOCO MIL 14 OZ","G3038","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3038.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G3038","CHOCOMIL","","","","","","","{}"
"","COCOA MEXCN SPICE AZTECA D'ORO","G49766","","4/3lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g49766.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G49766","MOCAFE","","","","","","","{}"
"","MIX HOT CHOCOLATE ABUELITA","16555","","6/11.2 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4265.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-16555","ABUELITA","","","","","","","{}"
"","CHOCOLATE HOT COCOA POUCH","12414","","4/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12414.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-12414","GHIRARDELLI","","","","","","","{}"
"","COCOA POWDER DARK RED XBRUT","G62024","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g62024.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G62024","CACAO BARRY","","","","","","","{}"
"","DRINK CHOCOLATE YOO-HOO","G8940","","24/15.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8940.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G8940","YOO-HOO","","","","","","","{}"
"","MIX HOT COCOA ABUELITA POWDER","G30391","","6/2 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g30391.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-G30391","ABUELITA","","","","","","","{}"
"","SUPER ADV VANILLA WHEY POWDER 2# JAR (2#","12565","","1/2 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12565.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-12565","PACKER","","","","","","","{}"
"","POWDER CHOCOLATE UNSWEETENED NATURAL","19059","","1/5#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Cocoa/IFS-19059","HERSHEY","","","","","","","{}"
