"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","COFFEE GROUND CLASSIC ROAST","G6427","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6427.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G6427","","","","","","","","{}"
"","COFFEE EURO ROAST GROUND 5LB","G55300","","1/5lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g55300.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G55300","EURO","","","","","","","{}"
"","COFFEE IFS GOURMET BLEND GROUND PRIVATE","G6467","","3/5lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6467.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G6467","EURO","","","","","","","{}"
"","COFFEE INSTANT CLASSIC NESCAFE","G34668","","6/12.35 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g34668.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G34668","NESTLE","","","","","","","{}"
"","OREGON CHAI LATTE MIX ORIGINAL","G70048","","4/3lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70048.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G70048","KERRY","","","","","","","{}"
"","COFFEE HY COLUMBIAN","G6963","","42/1.5 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6963.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G6963","APFFEL'S","","","","","","","{}"
"","COFFEE DECAF GROUND GOURMET BLEND","G6468","","3/5lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6468.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-G6468","EURO","","","","","","","{}"
"","FRAPPE ORIGINAL MOCHA","11364","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11364.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-11364","MOCAFE","","","","","","","{}"
"","FRAPPE MOCHA","12417","","6/3.12#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12417.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-12417","GHIRARDELLI","","","","","","","{}"
"","MIX FRAPPE VANILLA NO SUGAR","16030","","4/3 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3971.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Coffee/IFS-16030","MOCAFE","","","","","","","{}"
