"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CREAMER POWDER NON DAIRY CANISTER","G304","","24/12 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7360.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G304","PACKER","","","","","","","{}"
"","CREAMER COFFEMATE POWDER PKTS","G302","","1/1000 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g302.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G302","","","","","","","","{}"
"","CREAMER NON DAIRY N'JOY POWDER","G1781","","18/1 # bag","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1781.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G1781","N'JOY","","","","","","","{}"
"","MALT POWDER CARNATION","G4851","","6/2.5lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4851.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G4851","CARNATION","","","","","","","{}"
"","SOY MILK VANILLA CREAMY PEARL ORGANIC","G3009","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3009.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3009","KIKKOMAN","","","","","","","{}"
"","CREAMER FRENCH VANILLA LIQUID PUMP","G4254","","2/1.5 LTR","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4254.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G4254","","","","","","","","{}"
"","CREAMER HALF & HALF CARNATION","12334","","1/180 CT CUP","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12334.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-12334","CARNATION","","","","","","","{}"
"","MILK SWEETENED CONDSEND LA LECHERA MEX","12343","","24/9.6 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12343.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-12343","LA LECHERA","","","","","","","{}"
"","CREAMER HAZELNUT LIQUID CUP PC","G182","","1/180 CT.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7262.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G182","","","","","","","","{}"
"","MILK DULCE DE LECHE SQUEEZE BOTTLE","G322","","12/11.8 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g322.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G322","LA LECHERA","","","","","","","{}"
"","MILK SWEETENED CONDENSED FULL CREAM","24683","","24/14 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-24683","CALI FARMS","","","","","","","{}"
"","MILK COCONUT CREAM","20785","","24/19 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-20785","MAE PLOY","","","","","","","{}"
"","CALIFA BRAND ALOMOND MILK","11306","","6/32OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11306.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-11306","","","","","","","","{}"
"","CQ SWEETENED CONDENSED MILK 6/10# CS (6/","30613","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/30613.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-30613","PACKER","","","","","","","{}"
"","CREAMER BUTTERSCOTCH LIQUID","11890","","1/180 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11890.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-11890","","","","","","","","{}"
"","CREAMER HAZELNUT LIQUID PUMP","G4523","","2/1.5 LTR","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4523.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G4523","","","","","","","","{}"
"","CREAMER IRISH CREAM LIQUID CUP PC","G183","","4/50CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g183.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G183","","","","","","","","{}"
"","CREAMER NON DAIRY ITALIAN CREME","G13892","","180CT/.375 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7251.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G13892","","","","","","","","{}"
"","CREAMER ORIGINAL SWEETENED LIQUID PUMP","G4522","","2/1.5 LTR","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4522.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G4522","","","","","","","","{}"
"","CREAMER SWEETENED CONDENSED","56902","","12/45.3 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/6208.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-56902","SOUTHERN STAR","","","","","","","{}"
"","MILK ALMOND ORGANIC VANILLA SWEETENED","G08339","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g08339.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G08339","PACIFIC","","","","","","","{}"
"","MILK ALMOND VANILLA UNSWEETENED ORGANIC","14102","","6/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14102.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-14102","KIRKLAND","","","","","","","{}"
"","MILK COCONUT","16848","","6/98 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4404.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-16848","ROLAND","","","","","","","{}"
"","MILK COCONUT BARISTA","10279","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10279.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-10279","SUNRICH","","","","","","","{}"
"","MILK CONDENSED SWEETENED FILLED PAIL","17098","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4526.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-17098","DAIRY GIRL","","","","","","","{}"
"","MILK CONDENSED SWEETENED LA LECHERA","G308","","24/14 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g308.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G308","NESTLE","","","","","","","{}"
"","MILK DULCE DE LECHE","G3019","","24/13.4 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3019.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3019","NESTLE","","","","","","","{}"
"","MILK EVAPORATED WHOLE","14214","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14214.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-14214","CALIFORNIAFARMS","","","","","","","{}"
"","MILK EVAPORATED WHOLE","G3040","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3040.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3040","JERZEE","","","","","","","{}"
"","MILK EVAPORATED WHOLE CARNATION","G3018","","24/12 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3018.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3018","CARNATION","","","","","","","{}"
"","MILK HEMP ORIGINAL","G6600","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6600.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G6600","PACIFIC","","","","","","","{}"
"","MILK OAT BARISTA BLEND","14463","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14463.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-14463","OATLY","","","","","","","{}"
"","MILK OATMILK BARISTA","10537","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10537.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-10537","SUNRICH","","","","","","","{}"
"","MILK POWDER HI HEAT GRADE A","G3011","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3011.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3011","LAND LAKES","","","","","","","{}"
"","MILK SOY PLAIN BARISTA","10280","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10280.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-10280","SUNRICH","","","","","","","{}"
"","NON-DAIRY CREAMER","11327","","2.65 lbs/10 bags","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11327.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-11327","TEAZONE","","","","","","","{}"
"","NON-DAIRY CREAMER ""RICH & CREAMY""","P1020","","2.65 lbs/10 BAGS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/p1020.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-P1020","TEAZONE","","","","","","","{}"
"","MILK INSTANT DRY NON FAT","15142","","4/22.75 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-15142","CARNATION","","","","","","","{}"
"","MILK OATMILK ORGANIC NON GMO","21741","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-21741","PACIFIC NATURAL","","","","","","","{}"
"","MILK SOY ORGANIC ORIGINAL","24677","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-24677","WESTSOY","","","","","","","{}"
"","CREAMER HALF & HALF INTL DELIGHT","25891","","1/180 CT","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-25891","INTL DELIGHT","","","","","","","{}"
"","MILK ALMOND BARISTA BLEND CALIFIA","27302","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/27302.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27302","CALIFIA FARMS","","","","","","","{}"
"","MILK FAIRLIFE CHOCOLATE","27847","","12/14 OZ PET","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27847","FAIRLIFE","","","","","","","{}"
"","MILK FAIRLIFE STRAWBERRY","27848","","12/14 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27848","FAIRLIFE","","","","","","","{}"
"","MILK HEMP UNSWEETENED","25414","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-25414","PACIFIC NATURAL","","","","","","","{}"
"","MILK OAT ORGANIC OATSOME","27726","","6/1 LTR","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27726","OATSOME","","","","","","","{}"
"","MILK OATMILK BARISTA BLEND","27303","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/27303.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27303","CALIFIA FARMS","","","","","","","{}"
"","MILK OATMILK BARISTA ORGANIC","28179","","6/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-28179","CALIFIA","","","","","","","{}"
"","MILK CONDENSED SWEETENED FILLED PAIL","17098","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4526.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-17098","DAIRY GIRL","","","","","","","{}"
"","MILK CONDENSED SWEETENED LA LECHERA","G308","","24/14 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g308.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G308","NESTLE","","","","","","","{}"
"","MILK DULCE DE LECHE","G3019","","24/13.4 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3019.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3019","NESTLE","","","","","","","{}"
"","MILK EVAPORATED WHOLE","14214","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14214.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-14214","CALIFORNIAFARMS","","","","","","","{}"
"","MILK EVAPORATED WHOLE","G3040","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3040.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3040","JERZEE","","","","","","","{}"
"","MILK EVAPORATED WHOLE CARNATION","G3018","","24/12 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3018.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3018","CARNATION","","","","","","","{}"
"","MILK HEMP ORIGINAL","G6600","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6600.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G6600","PACIFIC","","","","","","","{}"
"","MILK OAT BARISTA BLEND","14463","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14463.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-14463","OATLY","","","","","","","{}"
"","MILK OATMILK BARISTA","10537","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10537.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-10537","SUNRICH","","","","","","","{}"
"","MILK POWDER HI HEAT GRADE A","G3011","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3011.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-G3011","LAND LAKES","","","","","","","{}"
"","MILK SOY PLAIN BARISTA","10280","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10280.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-10280","SUNRICH","","","","","","","{}"
"","NON-DAIRY CREAMER","11327","","2.65 lbs/10 bags","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11327.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-11327","TEAZONE","","","","","","","{}"
"","NON-DAIRY CREAMER ""RICH & CREAMY""","P1020","","2.65 lbs/10 BAGS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/p1020.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-P1020","TEAZONE","","","","","","","{}"
"","MILK INSTANT DRY NON FAT","15142","","4/22.75 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-15142","CARNATION","","","","","","","{}"
"","MILK OATMILK ORGANIC NON GMO","21741","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-21741","PACIFIC NATURAL","","","","","","","{}"
"","MILK SOY ORGANIC ORIGINAL","24677","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-24677","WESTSOY","","","","","","","{}"
"","CREAMER HALF & HALF INTL DELIGHT","25891","","1/180 CT","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-25891","INTL DELIGHT","","","","","","","{}"
"","MILK ALMOND BARISTA BLEND CALIFIA","27302","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/27302.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27302","CALIFIA FARMS","","","","","","","{}"
"","MILK FAIRLIFE CHOCOLATE","27847","","12/14 OZ PET","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27847","FAIRLIFE","","","","","","","{}"
"","MILK FAIRLIFE STRAWBERRY","27848","","12/14 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27848","FAIRLIFE","","","","","","","{}"
"","MILK HEMP UNSWEETENED","25414","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-25414","PACIFIC NATURAL","","","","","","","{}"
"","MILK OAT ORGANIC OATSOME","27726","","6/1 LTR","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27726","OATSOME","","","","","","","{}"
"","MILK OATMILK BARISTA BLEND","27303","","12/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/27303.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-27303","CALIFIA FARMS","","","","","","","{}"
"","MILK OATMILK BARISTA ORGANIC","28179","","6/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-28179","CALIFIA","","","","","","","{}"
"","MILK PISTACHIO BARISTA BLEND","28494","","6/32 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/28494.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-28494","ELMHURST","","","","","","","{}"
"","MILK SOY ORGANIC ORIGINAL UNSWEETENED","25107","","12/32 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Milk-And-Creamers/IFS-25107","WESTSOY","","","","","","","{}"
