"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SODA BOTTLED MINERAL JARRITOS","G7226","","24/12.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7226.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7226","JARRITOS","","","","","","","{}"
"","SODA BOTTLED TAMARINDO JARRITOS","G726","","24/12.5 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g726.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G726","JARRITOS","","","","","","","{}"
"","SODA COKE MEXICAN $1.20 CRV","G7239","","24/355 ML","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7239.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7239","COCA COLA","","","","","","","{}"
"","SODA COKE MEXICAN GLASS","G7234","","24/500 ML","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7234.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7234","COCA COLA","","","","","","","{}"
"","SODA MANDARIN GLS JARRITOS CRV INC","G722","","24/12.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g722.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G722","JARRITOS","","","","","","","{}"
"","SODA ORANGE FANTA MEXICAN GLASS","G7246","","24/500ML","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7246.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7246","FANTA","","","","","","","{}"
"","SODA SANGRIA SENORIAL GLASS BOTTLE","G720","","24/11.16oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g720.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G720","SENORIAL","","","","","","","{}"
"","SODA SIDRAL MUNDET APPLE GLASS","G721","","24/12oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g721.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G721","SIDRAL MUNDET","","","","","","","{}"
"","SODA SPRITE MEXICAN GLASS CRV INC","G7245","","24/355 ML","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7245.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7245","COCA COLA","","","","","","","{}"
"","SODA SQUIRT CANNED INC CRV","G7094","","24/12oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7094.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G7094","SQUIRT","","","","","","","{}"
"","SODA 7-UP CANNED $1.20 CRV INCLUDED","G713","","24/12oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g713.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Soda/IFS-G713","7UP","","","","","","","{}"
