"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","GATORADE FRUIT PUNCH $1.20 CRVINCLD","G7417","","24/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7417.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-G7417","GATORADE","","","","","","","{}"
"","GATORADE LEMON LIME $1.20 CRVINCLD","G7416","","24/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7416.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-G7416","GATORADE","","","","","","","{}"
"","GATORADE COOL BLUE RASPBERRY CRV INC","G7554","","24/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7554.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-G7554","GATORADE","","","","","","","{}"
"","GATORADE ORANGE $1.20 CRV INCLD","G7420","","24/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7420.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-G7420","GATORADE","","","","","","","{}"
"","GATORADE GLACIER FREEZE 20 OZ","G7155","","24/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7617.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-G7155","GATORADE","","","","","","","{}"
"","GATORADE VARIETY BOTTLES PET (24/20OZ) C","12242","","24/20 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12242.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-12242","GATORADE","","","","","","","{}"
"","DRINK POWERADE FRUIT PUNCH 20OZ","25924","","24/20 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-25924","POWERADE","","","","","","","{}"
"","DRINK POWERADE FRUIT PUNCH ZERO","26336","","24/20 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-26336","POWERADE","","","","","","","{}"
"","DRINK POWERADE LEMON LIME","26030","","24/20 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-26030","POWERADE","","","","","","","{}"
"","DRINK POWERADE MOUNTAIN BERRY BLAST 20OZ","25923","","24/20 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-25923","POWERADE","","","","","","","{}"
"","DRINK POWERADE ORANGE 20OZ","25925","","24/20 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-25925","POWERADE","","","","","","","{}"
"","DRINK SPARKLING IZZE BLACKBERRY","28684","","24/12 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-28684","IZZE","","","","","","","{}"
"","DRINK SPARKLING IZZE CHERRY LIME","28689","","24/12 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-28689","IZZE","","","","","","","{}"
"","DRINK SPARKLING IZZE PEACH","28688","","24/12 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-28688","IZZE","","","","","","","{}"
"","DRINK SPARKLING IZZE POMEGRANET","28687","","24/12 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Sports-Drinks/IFS-28687","IZZE","","","","","","","{}"
