"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","TEA ICED SNAPPLE PEACH PET CRV INCL","G50043","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50043.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G50043","SNAPPLE","","","","","","","{}"
"","TEA ICED BAGS LIPTON  #283","G680","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g680.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G680","LIPTON","","","","","","","{}"
"","TEA ICED SNAPPLE PEACH DIET PET CRV INCL","G50048","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50048.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G50048","SNAPPLE","","","","","","","{}"
"","TEA COZY CHAMOMILE DECAF 28CT","G7095","","6/28ct","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7614.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G7095","BIGELOW","","","","","","","{}"
"","TEA ICED SNAPPLE RASPBERRY PET CRV INCL","G50018","","12/16 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50018.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G50018","SNAPPLE","","","","","","","{}"
"","ICED TEA PURE BLACK ORGANIC LOOSE LEAF","G746","","30/3oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7638.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G746","MIGHTY LEAF","","","","","","","{}"
"","TEA GREEN 28CT","G7040","","6/28 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7040.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G7040","BIGELOW","","","","","","","{}"
"","TEA ICED SNAPPLE LEMON PET CRV INCLD","G50003","","12/16oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7491.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G50003","SNAPPLE","","","","","","","{}"
"","ICED TEA GREEN TEA - CRV INC","G9847","","24/23.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9847.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G9847","ARIZONA","","","","","","","{}"
"","TEA ASSORTED 6 FLAVOR 28CT","G7008","","6/28 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7008.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Tea/IFS-G7008","BIGELOW","","","","","","","{}"
