"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CHERRIES MARASCHINO XLRG WHL W/STEM","G855","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g855.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G855","PACKER","","","","","","","{}"
"","FRUIT PINEAPPLE TIDBITS IN JUICE","G8489","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8489.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8489","JACKPOT","","","","","","","{}"
"","FRUIT MANDARIN ORANGE SEG WHL L.S.","G8424","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8424.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8424","SMART KITCHEN","","","","","","","{}"
"","FRUIT MANDARIN ORANGES WHOLE SEGMENTS","G8421","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8421.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8421","JACKPOT","","","","","","","{}"
"","FRUIT PINEAPPLE SLCD IN JCE 60/70 CT","G847","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g847.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G847","PACKER","","","","","","","{}"
"","FRUIT PINEAPPLE CRUSHED IN JCE","G8485","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7691.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8485","JACKPOT","","","","","","","{}"
"","FRUIT PINEAPPLE CRUSHED IN JCE","G8445","","12/20oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8445.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8445","DOLE","","","","","","","{}"
"","FRUIT PINEAPPLE TIDBITS IN JCE","G8488","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8488.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8488","SMART KITCHEN","","","","","","","{}"
"","APPLESAUCE UNSWEETENED","G8422","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8422.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8422","GOLBON","","","","","","","{}"
"","FRUIT CRANBERRIES DRIED SWEET","G8516","","1/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8516.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8516","PACKER","","","","","","","{}"
"","FRUIT CRANBERRIES DRIED SWEETENED","G5098","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5098.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G5098","OCEAN SPRAY","","","","","","","{}"
"","FRUIT MANDARIN ORANGE SEGMENTS ROLAND","G8411","","12/30oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7682.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8411","ROLAND","","","","","","","{}"
"","FRUIT PINEAPPLE CHUNKS IN JCE","G8466","","12/20 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7689.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8466","DOLE","","","","","","","{}"
"","RAISINS GOLDEN CALIFORNIA","G8581","","1/30lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8581.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8581","PACKER","","","","","","","{}"
"","RAISINS GOLDEN SEEDLESS","G8572","","1/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8572.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8572","PACKER","","","","","","","{}"
"","APPLESAUCE SWEETNENED","G842","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g842.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G842","GOLBON","","","","","","","{}"
"","FRUIT PINEAPPLE CHUNKS FCY JCE","G4536","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7450.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G4536","DOLE","","","","","","","{}"
"","FRUIT PINEAPPLE CHUNKS IN JCE","G8460","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7688.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fruits/IFS-G8460","JACKPOT","","","","","","","{}"
