"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","BEEF CUBED W/BEEF BROTH","G9107","","6/6lb","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9107.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G9107","SAMPCO","","","","","","","{}"
"","TUNA ALBACORE SOLID WHT IN WATER","G825","","6/66.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g825.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G825","JACKPOT","","","","","","","{}"
"","CLAMS CHOPPED OCEAN","G821","","12/#5","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g821.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G821","SNOW","","","","","","","{}"
"","JUICE CLAM OCEAN","G750","","12/46oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g750.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G750","SNOW","","","","","","","{}"
"","MEAT LUNCH SPAM REGULAR CLASSIC","15885","","8/12 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3890.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-15885","SPAM","","","","","","","{}"
"","TUNA CHUNK LITE SKIPJACK IN WATER","G8274","","6/66.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8274.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G8274","JACKPOT","","","","","","","{}"
"","TUNA CHUNK WHT ALBACORE IN WATER","G824","","6/66.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g824.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G824","JACKPOT","","","","","","","{}"
"","CHILI CON CARNE NO BEANS","G909","","6/96oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g909.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G909","CHEFMATE","","","","","","","{}"
"","TUNA CHUNK WHITE ALBACORE","G827","","6/66.5oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7678.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G827","CELEBRITY","","","","","","","{}"
"","CORNED BEEF HASH CHEFMATE","G902","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g902.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Meats-And-Seafood/IFS-G902","CHEFMATE","","","","","","","{}"
