"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","PEANUT BUTTER CREAMY SKIPPY","G8387","","2/48 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7679.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8387","SKIPPY","","","","","","","{}"
"","SESAME SEEDS HULLED WHT (AJONJOLI)","G536","","1/6#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g536.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G536","PACIFIC","","","","","","","{""brand href"":""https://supplies.individualfoodservice.com/Brands/PACIFIC""}"
"","NUTS WALNUTS HALVES & PIECES COMBO LT/DK","G8501","","1/25LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8501.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8501","PACKER","","","","","","","{}"
"","SPREAD NUTELLA HAZELNUT","G89526","","2/6.6 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g89526.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G89526","NUTELLA","","","","","","","{}"
"","FRUIT PINEAPPLE TIDBITS IN JCE","G0553","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7219.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G0553","DOLE","","","","","","","{""brand href"":""https://supplies.individualfoodservice.com/Brands/DOLE""}"
"","NUTS PINE NUTS ""PIGNOLIAS"" KERNELS","G8506","","1/5#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8506.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8506","PACKER","","","","","","","{}"
"","SEEDS PUMPKIN 5LB ROASTED NO SALT","G5369","","1/5LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5369.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G5369","PACKER","","","","","","","{}"
"","COCONUT FLAKES SWEETENED 5LB","G8604","","1/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8604.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8604","PACKER","","","","","","","{}"
"","NUTS ALMONDS NATURAL SLICED 5LB","G8510","","1/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8510.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8510","PACKER","","","","","","","{}"
"","NUTS ALMONDS SLIVERED BLANCHED BLUE DMND","G8505","","1/4 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8505.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Nuts-And-Seeds/IFS-G8505","TORN & GLASSER","","","","","","","{}"
