"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","BUTTER LIQUID ALT PHASE ZT","G3403","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3403.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3403","VENTURA","","","","","","","{""image.1"":""3/1 GAL""}"
"","LARD GOLD COAST DEODORIZED","G35051","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g35051.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G35051","COAST","","","","","","","{""image.1"":""1/50 LBS""}"
"","LARD VIVA COAST DEODORIZED","G3505","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3505.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3505","VIVA","","","","","","","{""image.1"":""1/48 LBS""}"
"","MARGARINE LIQUID ZT","G366","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g366.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G366","GOLD N SWEET","","","","","","","{""image.1"":""2/17.5#""}"
"","OIL CANOLA FRYING ZERO CLR TRANS","G3454","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3454.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3454","MASTER CHEF","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL CANOLA LIQUID FRY CLR ZT","G3456","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3456.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3456","CHEF'S PRIDE","","","","","","","{""image.1"":""1/35 lbs""}"
"","OIL CANOLA SALAD NON GMO","G3623","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3623.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3623","PACKER","","","","","","","{""image.1"":""1/35#""}"
"","OIL CANOLA SALAD ZERO TRANS","G3619","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3619.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3619","MASTER CHEF","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL CANOLA SALAD ZERO TRANS","G3617","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3617.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3617","SUPERB","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL CANOLA SALAD ZT","G3626","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3626.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3626","OLD WORLD","","","","","","","{""image.1"":""1/35#""}"
"","OIL CANOLA/OLIVE BLEND 75/25","G3644","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3644.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3644","CAMPANIA","","","","","","","{""image.1"":""""}"
"","OIL CORN","G3599","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3599.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3599","MAGIC","","","","","","","{""image.1"":""1/35#""}"
"","OIL MINERAL EQIP FOOD GRADE L094-128","12157","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12157.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-12157","KASCO","","","","","","","{""image.1"":""1/GAL""}"
"","OIL OLIVE EXTRA VIRGIN 100%","G0552","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7218.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G0552","SANTINI","","","","","","","{""image.1"":""4/3 LITER""}"
"","OIL PAN & GRILL CARGILL","G3412","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3412.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3412","ULTIMA","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL PAN & GRILL ZT","G341","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g341.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G341","CHEF'S PRIDE","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL PEANUT","5982","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/5982.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-5982","VENTURA","","","","","","","{""image.1"":""1/35 LBS""}"
"","OIL SOYBEAN CLEAR FRY","18552","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/2129.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-18552","PACKER","","","","","","","{""image.1"":""1/35#""}"
"","OIL SOYBEAN CLEAR FRY SHORTENING","G76871","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g76871.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G76871","MASTER CHEF","","","","","","","{""image.1"":""1/35#""}"
"","RICE BRAN OIL NON GMO","42013","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/42013.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-42013","HEAVENLY CHEF","","","","","","","{""image.1"":""1/35#""}"
"","SHORTENING CANOLA CLEAR FRY","G34603","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g34603.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G34603","OLD WORLD","","","","","","","{""image.1"":""1/35#""}"
"","SHORTENING CREAMY SOYBEAN LIQUID ZT","G67027","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g67027.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G67027","MASTER CHEF","","","","","","","{""image.1"":""1/35#""}"
"","SHORTENING FLAVOR KING BLUE","G3502","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3502.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3502","FLAVOR KING","","","","","","","{""image.1"":""1/50 LBS""}"
"","SHORTENING FLAVOR KING RED","G3503","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3503.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3503","FLAVOR KING","","","","","","","{""image.1"":""1/50 LBS""}"
"","SHORTENING LIQUID SOY CREAMY FRY ZT","G3445","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3445.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3445","CHEF'S PRIDE","","","","","","","{""image.1"":""1/35 LBS""}"
"","SHORTENING PALM A/P NON GMO","G3465","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3465.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3465","OLERA","","","","","","","{""image.1"":""1/50 LBS""}"
"","SHORTENING SOY LIQUID CREAMY","G34491","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g34491.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G34491","SUPERB","","","","","","","{""image.1"":""1/35 LBS""}"
"","SHORTENING TALLOW A/V","G3270","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3270.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3270","ONNIE'S","","","","","","","{""image.1"":""1/50 LBS""}"
"","MARGARINE WHIPPED SALTED ZT","G3645","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3645.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-G3645","GOLD N SWEET","","","","","","","{""image.1"":""1/20 #""}"
"","OIL CANOLA SALAD","62682","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/62682.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Fats-And-Oils/IFS-62682","MAGIC","","","","","","","{""image.1"":""1/35#""}"
