"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","FLOUR #1 REGULAR WHITE MASECA","G496","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g496.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G496","AZTECA","","","","","","","{}"
"","FLOUR #1 TAMALE WHITE MASECA","G4988","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4988.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4988","PURPLE LABEL","","","","","","","{}"
"","FLOUR ALL PURPOSE BLEACHED ENRICHED","G479","","1/25 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g479.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G479","CAPITOL","","","","","","","{}"
"","FLOUR ALL PURPOSE HOTEL RESTAURANT BLEAC","G4852","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4852.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4852","ARDENT","","","","","","","{}"
"","FLOUR ALL PURPOSE HOTEL RESTAURANT BLEAC","G4850","","1/50 LB.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4850.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4850","ARDENT","","","","","","","{}"
"","FLOUR ALL PURPOSE HOTEL RESTAURANT ENRIC","G14314","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g14314.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G14314","GOLD MEDAL","","","","","","","{}"
"","FLOUR CAKE/PAST/BREAD UNBL CAMEO","G50802","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50802.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G50802","GOLD MEDAL","","","","","","","{}"
"","FLOUR HARVEST KING ENR UNBL","G53722","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g53722.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G53722","GOLD MEDAL","","","","","","","{}"
"","FLOUR HIGH GLUTEN BLEACHED KING KAISER","G4776","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4776.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4776","GOLD MEDAL","","","","","","","{}"
"","FLOUR HIGH GLUTEN BLEACHED SUPREME","G47701","","1/50 LB","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G47701","GOLD MEDAL","","","","","","","{}"
"","FLOUR HIGH GLUTEN UNBLEACHED KYROL","G4798","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4798.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4798","ARDENT","","","","","","","{}"
"","FLOUR MONDAKO BLEACHED ENRICHED","G4790","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4790.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4790","GRAIN CRAFT","","","","","","","{}"
"","FLOUR RICE FINE UNTREATED","G4767","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7468.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4767","GOLD MEDAL","","","","","","","{}"
"","FLOUR ALL PURPOSE SELF RISE GOLD MEDAL","G4770","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4770.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4770","GOLD MEDAL","","","","","","","{}"
"","FLOUR MASECA CORN WHITE","G4964","","10/4.4 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4964.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4964","MASECA","","","","","","","{}"
"","FLOUR MASECA SP# 0 WHITE CORN MASA","G505","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g505.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G505","AZTECA","","","","","","","{}"
"","FLOUR MASECA WHITE TORTILLA #0","G4972","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4972.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4972","MASECA","","","","","","","{}"
"","FLOUR SEMOLINA YELLOW #1","G4791","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4791.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4791","GOLD MEDAL","","","","","","","{}"
"","FLOUR TORTILLA WHITE WHEAT","G4896","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4896.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4896","LA SUPREMA","","","","","","","{}"
"","FLOUR HIGH GLUTEN ALL TRUMPS UNBLEACHED","G4777","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4777.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Flour/IFS-G4777","GOLD MEDAL","","","","","","","{}"
