"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","HOMINY JUANITA'S MEXICAN","G2495","","6/110 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2495.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G2495","JUANITA'S","","","","","","","{}"
"","HOMINY WHT #01234","G249","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g249.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G249","TEASDALE","","","","","","","{}"
"","CORN MEAL YELLOW BULK","G488","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g488.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G488","CAPITOL","","","","","","","{}"
"","GRAIN FARRO PEARLED","G4538","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4538.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4538","ROLAND","","","","","","","{}"
"","GRAIN QUINOA TRI COLOR ORGANIC PERU","G4237","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4237.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4237","PACKER","","","","","","","{}"
"","GRAIN BARLEY PEARL","G470","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g470.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G470","PACKER","","","","","","","{}"
"","GRAIN QUINOA WHITE ORGANIC PERUVIAN","G4236","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4236.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4236","PACKER","","","","","","","{}"
"","GRITS WHITE QUICK COOK","G4301","","12/2.5LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4301.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4301","QUAKER","","","","","","","{}"
"","GRAIN QUINOA RED ORGANIC PERUVIAN KOSHER","G4224","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4224.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4224","PACKER","","","","","","","{}"
"","COUSCOUS TOASTED ISRAELI","G72100","","4/5 LB ZIPLOC BAG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72100.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G72100","ROLAND","","","","","","","{}"
"","BRAN WHEAT 50LB","G7564","","1/50LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7564.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G7564","PACKER","","","","","","","{}"
"","WHEAT BULGUR # 3","G8524","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g8524.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G8524","PACKER","","","","","","","{}"
"","COUSCOUS PRE-COOKED 100% NATURAL","G72104","","20/17.5 CASE","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72104.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G72104","ROLAND","","","","","","","{}"
"","COUSCOUS TOASTED TRI COLOR ISRAELI","G72101","","2/5#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72101.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G72101","ROLAND","","","","","","","{}"
"","NOODLE SOBA BUCKWHEAT ORGANIC","G1239","","30/12.8 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1239.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G1239","ROLAND","","","","","","","{}"
"","OAT GRANOLA HONEY ALMOND NATURAL","40476","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/40476.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-40476","PACKER","","","","","","","{}"
"","OAT GROATS STEEL CUT #50","G7561","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7561.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G7561","MILLER'S GRAIN","","","","","","","{}"
"","OATS BUCKEYE QUICK ROLLED","22026","","1/50 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-22026","QUAKER","","","","","","","{}"
"","GRAIN BARLEY PEARL","24592","","1LB/BAG","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-24592","PACKER","","","","","","","{}"
"","CORN GRITS WHITE POLENTA","12857","","4/24 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12857.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-12857","BOB'S RED MILL","","","","","","","{}"
"","COUSCOUS NORTH AFRICAN","12947","","4/11#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12947.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-12947","AMBROSIA","","","","","","","{}"
"","COUSCOUS ORIGINAL","13221","","1/10#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/13221.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-13221","ROYAL","","","","","","","{}"
"","COUSCOUS SEMOLINA MOROCCAN","G72108","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72108.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G72108","ROLAND","","","","","","","{}"
"","GRAIN FARRO ORGANIC","40474","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/40474.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-40474","T&G","","","","","","","{}"
"","GRANOLA SESAME SEED ORGANIC","11536","","1/10 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11536.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-11536","OCEAN RANCH","","","","","","","{}"
"","GRITS QUAKER","10391","","1/5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10391.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-10391","QUAKER","","","","","","","{}"
"","GRITS WHITE QUICK COOK","15875","","12/24 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/15875.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-15875","QUAKER","","","","","","","{}"
"","HOMINY MAIZ MORADO","22717","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/22717.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-22717","TEASDALE","","","","","","","{}"
"","MIX MUESLI OLD COUNTRY STYLE","10863","","4/40 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/10863.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-10863","BOB'S RED MILL","","","","","","","{}"
"","OATMEAL 5 BERRY & APPLE WALNUT CUP","G4398","","12/2.6 OZ CUP","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7446.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4398","MODERN OATS","","","","","","","{}"
"","OATMEAL COCONUT ALMOND CUP","G4397","","12/CUP","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4397.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4397","MODERN OATS","","","","","","","{}"
"","OATMEAL MOCAFE BERRY & APPLE WALNUT","14534","","12/60 GRM CUP","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3065.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-14534","MOCAFE","","","","","","","{}"
"","OATMEAL MOCAFE COCONUT ALMOND & APPLE","14535","","12/60 GRM CUP","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-14535","MOCAFE","","","","","","","{}"
"","OATMEAL NUTS & SEEDS CUP","G4361","","12/CUPS","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4361","MODERN OATS","","","","","","","{}"
"","QUINOA RED","g4239","","2/5#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-g4239","DEL DESTINO","","","","","","","{}"
"","QUINOA TRI COLOR PREWASHED","G4247","","2/5#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G4247","ROLAND","","","","","","","{}"
"","QUINOA WHITE GRAIN PREWASHED","22501","","2/5 lbs","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-22501","ROLAND","","","","","","","{}"
"","STEEL CUT OATS PACKER 50LB","40487","","1/50 LBS","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-40487","PACKER","","","","","","","{}"
"","GRITS QUAKER QUICK","16106","","12/2.5 LB","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-16106","QUAKER","","","","","","","{}"
"","OATMEAL MOCAFE OATS VARIETY PACK","12316","","6/2.6 OZ CUP","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-12316","MOCAFE","","","","","","","{}"
"","OATS ROLLED ORGANIC REGULAR","G431","","1/50 LB","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-G431","PACKER","","","","","","","{}"
"","OATS ROLLED REGULAR","40475","","1/50 LBS","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-40475","PACKER","","","","","","","{}"
"","OATS ROLLED REGULAR","19857","","1/50#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-19857","HONEYVILLE","","","","","","","{}"
"","PARRO","12714","","1/PK","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-12714","PACKER","","","","","","","{}"
"","POTASSIUM SORBATE","16109","","1/50#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Grains/IFS-16109","PACKER","","","","","","","{}"
