"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","RICE BASMATI","G4756","","1/20#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4756.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4756","ROYAL","","","","","","","{}"
"","RICE BROWN LONG GRAIN","G476","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7464.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G476","PACKER","","","","","","","{}"
"","RICE CALROSE SHORT GRAIN STICKY","G4716","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4716.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4716","DIAMOND G","","","","","","","{}"
"","RICE CONVERTED ORIGINAL UNCLE BEN","G417","","1/25 LBS. BAG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g417.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G417","BENS ORIGINAL","","","","","","","{}"
"","RICE JASMINE THAI 4%","G7814","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7814.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G7814","TWIN TIGER","","","","","","","{}"
"","RICE JASMINE VIETNAMESE","g7817","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7817.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-g7817","SUNRISE","","","","","","","{}"
"","RICE LONG GRAIN FANCY 4%","G4714","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4714.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4714","RICELAND","","","","","","","{}"
"","RICE LONG GRAIN FANCY 4%","12395","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12395.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-12395","RICELAND","","","","","","","{}"
"","RICE PARBOILED","12699","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12699.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-12699","DELTA STAR","","","","","","","{}"
"","RICE PARBOILED LONG GRAIN CUBE","G4712","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4712.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4712","DELTA STAR","","","","","","","{}"
"","RICE BROWN MED GRAIN","G478","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g478.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G478","DIAMOND G","","","","","","","{}"
"","RICE JASMINE BLEND REINA","22652","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/22652.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-22652","REINA","","","","","","","{}"
"","RICE JASMINE THAI 4%","G7453","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7453.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G7453","AMBROSIA","","","","","","","{}"
"","RICE BASMATI","21262","","1/40#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/21262.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-21262","ROYAL","","","","","","","{}"
"","RICE BASMATI PARBOILED","G47523","","2/20#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g47523.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G47523","PACKER","","","","","","","{}"
"","RICE CONVERTED ORIGINAL UNCLE BEN","G416","","1/50 LBS. BAG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g416.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G416","BENS ORIGINAL","","","","","","","{}"
"","RICE JASMINE ORGANIC","G47284","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g47284.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G47284","PACKER","","","","","","","{}"
"","RICE JASMINE THAI","G4731","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4731.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4731","BUDDHA","","","","","","","{}"
"","RICE BASMATI","15301","","1/20#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/1265.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-15301","ADINA","","","","","","","{}"
"","RICE PILAF NEAR EAST RICE PILAF","g418","","6/2.25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g418.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-g418","NEAR EAST","","","","","","","{}"
"","RICE PILAF UNCLE BENS","G414","","6/36 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g414.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G414","BENS ORIGINAL","","","","","","","{}"
"","RICE ARBORIO","G72461","","12/2.2#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72461.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G72461","PACKER","","","","","","","{}"
"","RICE BROWN LONG GRAIN ORGANIC","G4741","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4741.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G4741","PACKER","","","","","","","{}"
"","RICE WILD BLEND","G3229","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g3229.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G3229","PRODUCERS","","","","","","","{}"
"","RICE ARBORIO SUPERFINO ROLAND","G72460","","4/11 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g72460.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Rice/IFS-G72460","ROLAND","","","","","","","{}"
