"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SALT GRANULATED EVAPORATED COOKING","G5961","","1/50 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5961.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G5961","TRU-FLO","","","","","","","{}"
"","SALT GRANULATED EVAPORATED COOKING","G596","","1/25 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g596.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G596","TRU-FLO","","","","","","","{}"
"","SALT KOSHER COARSE","G5967","","12/3 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5967.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G5967","MORTON","","","","","","","{}"
"","SALT PACKET .75 GRAM","G135","","3/1000/CASE","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g135.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G135","PACKER","","","","","","","{}"
"","SALT TABLE PLAIN IODIZED #0669","G5955","","24/26 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5955.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G5955","FLAVOR HOUSE","","","","","","","{}"
"","SALT WATER SOFTENER SOLAR XTR COARSE","G600","","1/50 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g600.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G600","SURE SOFT","","","","","","","{}"
"","SALT KOSHER DIAMOND CRYSTAL","22409","","9/3 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/22409.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-22409","DIAMOND CRYSTAL","","","","","","","{}"
"","SALT WATER CONDITIONING PELLETS CRYSTALS","G1241","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1241.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G1241","DIAMOND","","","","","","","{}"
"","GIUSTO NATURAL X-FINE SEA SALT 50# (50#/","13038","","1/50 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/13038.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-13038","GIUSTO","","","","","","","{}"
"","SEA SALT PAIL COARSE ROLAND","G70812","","1/12.5 KG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70812.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G70812","ROLAND","","","","","","","{}"
"","SALT FALK NATURAL FLAKES","19474","","10/4.4 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/19474.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-19474","FALK SALT","","","","","","","{}"
"","SALT PRETZEL","19480","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/19480.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-19480","CARGILL","","","","","","","{}"
"","SALT SEA FINE 12.5 KG","13030","","1/27.5#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/13030.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-13030","ROLAND","","","","","","","{}"
"","SALT TABLE NON IODIZED","G59551","","24/26 OZ.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g59551.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G59551","FLAVOR HOUSE","","","","","","","{}"
"","GARLIC SALT","G54427","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g54427.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G54427","KFK","","","","","","","{}"
"","SALT SEA FINE PAIL ITALIAN","G70817","","1/12.5 KG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70817.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G70817","DEL DESTINO","","","","","","","{}"
"","SALT SHAKERS ALMOND WHITE DISPOSABLE","G5965","","48/4 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g5965.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G5965","","","","","","","","{}"
"","SALT POPCORN REGULAR","23158","","12/35 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-23158","PACKER","","","","","","","{}"
"","SALT CELERY","12994","","1/19 OZ","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-12994","PACIFIC SPICE","","","","","","","{}"
"","SALT SEA EXTRA FINE","21457","","1/49#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-21457","PACIFIC SPICE","","","","","","","{}"
"","SALT WATER SOFTENER PELLETS","24728","","1/50#","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-24728","MORTON","","","","","","","{}"
"","FLAVACOL SEASONING SALT 35OZ CARTON 12CT","EQ-G2045","","1/12ct","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/eqg2045.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-EQ-G2045","FLAVACOL","","","","","","","{}"
"","FLEUR DE SEL ""FLOWER OF SALT GOURMET FRE","9695","","1/2 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/9695.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-9695","SAN FRANCISCO","","","","","","","{}"
"","SALT FALKSALT","G4528","","1/3.36 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7449.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G4528","FALKSALT","","","","","","","{}"
"","SALT KOSHER FINE","12127","","12/4#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12127.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-12127","DIAMOND CRYSTA","","","","","","","{}"
"","SALT KOSHER PURE AND NATURAL","G593","","12/3 LB.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g593.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G593","DIAMND CRYSTAL","","","","","","","{}"
"","SALT PINK HIMALAYAN","G621904","","6/36 oz","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g621904.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G621904","SAVOR","","","","","","","{}"
"","SALT SEA GREY CELTIC LIGHT","15160","","1/1#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3486.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-15160","PACKER","","","","","","","{}"
"","SALT SEA PURIFIED","14609","","1/50#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3119.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-14609","CARGILL","","","","","","","{}"
"","SALT SEA SHAKERS COARSE","G70814","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70814.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G70814","LA BALEINE","","","","","","","{}"
"","SALT TABLE PLAIN IODIZED","15757","","24/26 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/3806.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-15757","MORTON","","","","","","","{}"
"","ONION SALT","G57296","","1/50#","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-G57296","KFK","","","","","","","{}"
"","SALT SEA PURIFIED UNTREATED CARGILL","23776","","1/50 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-23776","CARGILL","","","","","","","{}"
"","SALT WATER SOFTENER PELLETS","24842","","1/44#","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-24842","MORTONS","","","","","","","{}"
"","SALT KOSHER COARSE","25701","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/25701.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-25701","FALKSALT","","","","","","","{}"
"","SALT KOSHER SEA SALT","25778","","12/3LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/25778.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Salt/IFS-25778","TRUE SALT","","","","","","","{}"
