"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SUGAR C&H LIGHT BROWN 1LB","G937","","24/1 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g937.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G937","C&H","","","","","","","{}"
"","SUGAR C&H WHITE GRANULATED 25LB","G9260","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9260.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9260","C&H","","","","","","","{}"
"","SUGAR C&H WHITE GRANULATED 50LB","G9270","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9270.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9270","C&H","","","","","","","{}"
"","SUGAR C&H WHITE PACKETS","G9355","","2000/1 GRM/CASE","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9355.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9355","C&H","","","","","","","{}"
"","SUGAR IN THE RAW 4.5 GR PKTS","G941","","1200/4.5 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g941.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G941","SUGAR IN RAW","","","","","","","{}"
"","SUGAR MEXICAN CANE WHITE GRANULATED","G9338","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9338.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9338","CANE STAR","","","","","","","{}"
"","SUGAR STEVIA IN RAW PKTS","G9444","","1000/1 GR","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9444.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9444","STEVIA","","","","","","","{}"
"","SWEETENER SPLENDA PACKETS","G9745","","2000/1 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9745.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9745","SPLENDA","","","","","","","{}"
"","SUGAR C&H DARK BROWN YELLOW D","G9268","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9268.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9268","C&H","","","","","","","{}"
"","SUGAR C&H POWDER 50LB","G944","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g944.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G944","C&H","","","","","","","{}"
"","SWEETENER SWEET N LOW PACKETS","G9787","","2000/1 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9787.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9787","SWEET N LOW","","","","","","","{}"
"","SUGAR C&H DARK BROWN 1LB","G9266","","24/1 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9266.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9266","C&H","","","","","","","{}"
"","SUGAR C&H POWDER 1LB","G936","","24/1 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g936.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G936","C&H","","","","","","","{}"
"","SUGAR C&H WHITE GRANULATED 4LB","G9267","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9267.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9267","C&H","","","","","","","{}"
"","SUGAR MEXICAN CANE ZULKA MORENA","G9285","","10/4 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7719.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9285","ZULKA MORENA","","","","","","","{}"
"","SWEETENER EQUAL PACKETS","G974","","2000/1GR","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g974.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G974","EQUAL","","","","","","","{}"
"","SUGAR BROWN PILONSILLO HARD MOLD","G9401","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9401.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9401","EL CAPIRO","","","","","","","{}"
"","SUGAR C&H BAKERS WHITE SUPER FINE 50LB","G9274","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9274.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9274","C&H","","","","","","","{}"
"","SWEETENER NJOY YELLOW VEND BAG","G83511","","6/1 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g83511.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G83511","N'JOY","","","","","","","{}"
"","SUGAR C&H CRYSTAL WHITE 25LB","G9272","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7718.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9272","C&H","","","","","","","{}"
"","SUGAR GOLDEN C LIGHT BROWN 50LB","12615","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12615.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-12615","C&H","","","","","","","{}"
"","SUGAR BROWN ROUGH CUT CUBES DEMERARA","G70834","","8/35 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70834.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G70834","ROLAND","","","","","","","{}"
"","SUGAR CRYSTALS CANISTER","G928","","24/20 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g928.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G928","HEART SMART","","","","","","","{}"
"","SUGAR IN THE RAW","G9443","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9443.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9443","SUGAR IN RAW","","","","","","","{}"
"","SUGAR PACKET RAW CANE FTA","G954","","1000/2.6 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g954.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G954","WHOLESOME","","","","","","","{}"
"","SWEETENER PINK PACKETS","G97879","","1/2000 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7727.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G97879","PACKER","","","","","","","{}"
"","SWEETENER SPLENDA STICKS","G485","","2000ct/1 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g485.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G485","SPLENDA","","","","","","","{}"
"","SWEETENER TRUVIA NATURAL","G9302","","1000CT/2 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9302.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9302","TRUVIA","","","","","","","{}"
"","SWEETENER YELLOW PACKETS","G97459","","1/2000 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7726.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G97459","PACKER","","","","","","","{}"
"","SUGAR CANE WHITE ORGANIC STICKS","G958","","2000/2.8 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7723.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G958","SUGAR FOODS","","","","","","","{}"
"","SUGAR CUBES CANE SUGAR","19880","","12/1 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/19880.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-19880","DOMINO","","","","","","","{}"
"","SUGAR PACKET ORGANIC FAIR TRADE","G955","","1000/2.6 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g955.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G955","WHOLESOME","","","","","","","{}"
"","SWEETENER BLUE PACKETS","G9749","","1/2000 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9749.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9749","PACKER","","","","","","","{}"
"","SUGAR C&H LIGHT BROWN GOLDEN C","G938","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g938.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G938","C&H","","","","","","","{}"
"","SUGAR CUBES BROWN IMPORTED","G708346","","6/17.6 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g708346.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G708346","ROLAND","","","","","","","{}"
"","SUGAR PACKET HOLDER/CADDY","13160","","1/EA","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/13160.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-13160","AMERICAN METAL","","","","","","","{}"
"","SUGAR WHT ROUGH CUT CUBES","G70836","","8/35 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g70836.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G70836","ROLAND","","","","","","","{}"
"","SWEETENER NJOY BLUE STICKS","G951","","2000/.5 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7722.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G951","N'JOY","","","","","","","{}"
"","SWEETENER SPLENDA GRANULATED","G9748","","8/9.7 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9748.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9748","SPLENDA","","","","","","","{}"
"","SWEETENER STEVIA RAW STICK","G9442","","2000/1 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9442.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9442","STEVIA","","","","","","","{}"
"","SUGAR CANE WHITE GRANULATED","15708","","1/50 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-15708","ENERGY","","","","","","","{}"
"","MOLASSES DARK BLACKSTRAP","G7366","","4/1 GALLON","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G7366","NATURAL FOODS","","","","","","","{}"
"","SUGAR CANE WHITE GRANULATED IC45","24626","","1/50 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-24626","PACKER","","","","","","","{}"
"","SUGAR TURBINADO ISLAND CRYSTALS DISP PAC","24061","","2/200CT","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-24061","ISLAND CRYSTAL","","","","","","","{}"
"","HONEY MIKE'S HOT HONEY 1 GAL","23853","","1/GAL","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-23853","MIKE'S","","","","","","","{}"
"","SUGAR BEET BRIGHT WHITE SPRECKLES","G933","","1/50# BAG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g933.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G933","SPRECKELS","","","","","","","{}"
"","SUGAR BROWN LIGHT ORGANIC","16524","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/4246.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-16524","WHOLESOME","","","","","","","{}"
"","SUGAR COCONUT ORGANIC","18359","","6/1 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/5070.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-18359","MADHAVA","","","","","","","{}"
"","SUGAR DEMERARA FAIR TRADE","G9263","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9263.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9263","WHOLESOME","","","","","","","{}"
"","SUGAR IN THE RAW PKT C&H 4.5 GRM","G9441","","1200/4.5 GRAM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9441.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9441","C&H","","","","","","","{}"
"","SUGAR MEXICAN CANE ZULKA","14457","","1/25 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/14457.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-14457","ZULKA MORENA","","","","","","","{}"
"","SUGAR PACKET HOLDER BLACK","12767","","12/CS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12767.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-12767","DURATUX","","","","","","","{}"
"","SUGAR PACKET STEEL HOLDER","12353","","1/EA","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/12353.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-12353","PACKER","","","","","","","{}"
"","SUGAR SUPPLEMENT DEXTROSE","G6359","","1/50 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g6359.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G6359","CLINTOES","","","","","","","{}"
"","SUGAR WHOLESOME DEMERARA RAW CAN","S1021","","50LB/CASE","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/s1021.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-S1021","TEAZONE","","","","","","","{}"
"","SWEETENER STEVIA STICKS","11333","","2000/.5 GRM","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/11333.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-11333","ECO STICK","","","","","","","{}"
"","SWEETNER PKTS PUREVIA GREEN SINGLE SERVE","G9446","","1000/.04ounce","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9446.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-G9446","PURE VIA","","","","","","","{}"
"","SWEETNER SWEET N LOW PACKETS","11788","","1/1250 CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/1030133.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-11788","SWEET N LOW","","","","","","","{}"
"","SR-50 ROYAL BRAND MEXICAN SUGAR CANE 50#","09693B","","Jan-50","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-09693B","NO BRAND","","","","","","","{}"
"","SUGAR BROWN PILOSNILLO HARD #3","17075","","1/25 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-17075","PACKER","","","","","","","{}"
"","SUGAR C&H GRANULATED SUGAR 1LB","23180","","24/1 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-23180","C&H","","","","","","","{}"
"","SUGAR CANE DEMERARA 2LB","21014","","12/2 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-21014","C&H","","","","","","","{}"
"","SUGAR PACKET GUCCI STEVIA","13095","","1/1000 CT","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-13095","C&H","","","","","","","{}"
"","SUGAR PACKET GUCCI WHITE CANE PRVT LABEL","13092","","1/2000 CT","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-13092","C&H","","","","","","","{}"
"","SUGAR TURBINADO BULK","22312","","1/25 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Sugar/IFS-22312","PACKER","","","","","","","{}"
