"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","CHILE CHIPOTLE IN ADOBO SAUCE","G25266","","24/7 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7322.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G25266","CAREY","","","","","","","{}"
"","CHILES CHIPOTLE WHOLE CAREY","G2520","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2520.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2520","CAREY","","","","","","","{}"
"","CHILES CHIPOTLE WHOLE IN ADOBO SAUCE","G2515","","6/#10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2515.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2515","CLEMENTE","","","","","","","{}"
"","CHILIES DICED GREEN","G2512","","6/#10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2512.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2512","DEL SOL","","","","","","","{}"
"","CHILIES WHOLE GREEN CALIFORNIA","G2529","","6/#10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2529.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2529","DEL SOL","","","","","","","{}"
"","JALAPENOS NACHO SLICED","G277","","6/#10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g277.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G277","DEL SOL","","","","","","","{}"
"","JALAPENOS RAJAS SLICED W/ESCABECHE","G2779","","6/#10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2779.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2779","DEL SOL","","","","","","","{}"
"","JALAPENOS RAJAS SLICED W/ESCABECHE","G25311","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g25311.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G25311","CAREY","","","","","","","{}"
"","JALAPENOS SLICED NACHO","G2545","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2545.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2545","LA COSTENA","","","","","","","{}"
"","JALAPENOS WHOLE EN ESCABECHE","G253","","6/10 CAN","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g253.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G253","CAREY","","","","","","","{}"
"","PEPPERS WHOLE YELLOW","G300","","4/1 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g300.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G300","DEL SOL","","","","","","","{}"
"","PICKLES 3/16 DILL CRINKLE CHIP","G60111","","","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g60111.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G60111","MRS KLEIN'S","","","","","","","{}"
"","TOMATILLO CRUSHED CAREY","G2188","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2188.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2188","CAREY","","","","","","","{}"
"","TOMATILLO CRUSHED GREEN","G2196","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2196.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2196","DEL SOL","","","","","","","{}"
"","TOMATILLO WHOLE GREEN","G2195","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2195.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2195","DEL SOL","","","","","","","{}"
"","TOMATILLO WHOLE GREEN CAREY","G2191","","6/#10","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g2191.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Commodities/Vegetables/IFS-G2191","CAREY","","","","","","","{}"
