"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","BREAD CRUMBS BLEND JAPANESE PANKO","G7607","","1/20# BAG","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7607.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G7607","UPPER CRUST","","","","","","","{}"
"","BREAD CRUMBS PANKO TOASTED","23739","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/23739.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-23739","KIKKOMAN","","","","","","","{}"
"","BREAD CRUMBS PANKO UNTOASTED","G50150","","1/25LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g50150.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G50150","KIKKOMAN","","","","","","","{}"
"","BREADING MIX DIXIE FRY","G491","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g491.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G491","DIXIE FRY","","","","","","","{}"
"","CRACKERMEAL FINE ONNIE'S LABEL","G483200","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g483200.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G483200","ONNIE'S","","","","","","","{}"
"","CROUTONS CHEESE & GARLIC HOMESTYLE","G7731","","4/2.5 LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g7731.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G7731","FRESH GOURMET","","","","","","","{}"
"","MIX PANCAKE BUTTRMLK KRUSTEAZ","G4801","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4801.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G4801","KRUSTEAZ","","","","","","","{}"
"","BATTER FISH & CHIP KRUSTEAZ","G4762","","1/25#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7466.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G4762","KRUSTEAZ","","","","","","","{}"
"","BATTER MIX FISH & CHIP","G4915","","1/25 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4915.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G4915","","","","","","","","{}"
"","BATTER TEMPURA KRUSTEAZ","G4761","","6/5 LBS.","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g4761.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Batter-And-Breading/IFS-G4761","KRUSTEAZ","","","","","","","{}"
