"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","MINTS STARLITE PEPPERMINT RED/WHT","G992","","5/5 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g992.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G992","QUALITY CANDY","","","","","","","{}"
"","MINTS SOFT PEPPERMINT PUFF","G9985","","5/5 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7734.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G9985","QUALITY CANDY","","","","","","","{}"
"","MINTS STARLITE SPI-C CINNAMON","G9982","","5/5 LBS","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9982.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G9982","QUALITY CANDY","","","","","","","{}"
"","MINTS STARLITE CHOCOLATE","G9983","","5/5#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9983.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G9983","QUALITY CANDY","","","","","","","{}"
"","MINTS STARLITE SPEARMINT GRN/WHT","G9981","","5/5#","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g9981.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G9981","QUALITY CANDY","","","","","","","{}"
"","CANDY MEXICAN BANDERILLA TAMA ROCA","G1980","","6/50CT","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/g1980.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-G1980","TOMA ROCA","","","","","","","{}"
"","CANDY STARBURST ORIGINAL","13153","","6/50 OZ","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/13153.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-13153","STARBURST","","","","","","","{}"
"","CANDY LOLLIPOPS ASSORTED","20870","","5/4 LB","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-20870","QUALITY CANDY","","","","","","","{}"
"","MARSHMALLOW MINI WHITE","24484","","12/16 OZ","","","","","https://d3gygecnvdjq5h.cloudfront.net/userfiles/products/no-image.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-24484","JET PUFFED","","","","","","","{}"
"","CANDY BUTTERSCOTCH 3LB","14406","","3/LB","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/2965.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Dry-Goods/Candy/IFS-14406","","","","","","","","{}"
